Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,2,0.4%
Failed,498,99.6%
,,
Fully Valid Paths,34,6.8%
Connected Paths,367,73.4%
Correct Start/End,110,22.0%
Non-Intersecting,443,88.6%
No Rule Violations,328,65.6%
,,
Avg Path Length,15.5 steps,
Min Path Length,1 steps,
Max Path Length,44 steps,
,,
Difficulty 1 Solved,0/86,0.0%
Difficulty 2 Solved,1/118,0.8%
Difficulty 3 Solved,1/121,0.8%
Difficulty 4 Solved,0/86,0.0%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,17602.9 seconds,
Avg Time per Puzzle,35.21 seconds,
Puzzles per Minute,1.7,
