Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,25,57.86,No,Yes
ebc9c10093a1255a,3,FAIL,25,54.11,No,Yes
ed40414d615431d6,3,FAIL,13,49.68,No,Yes
dce20e150e7fcced,5,FAIL,19,48.55,No,Yes
3fe8a85b768ae5b7,1,FAIL,12,44.73,No,Yes
1284a7249a4fa10f,3,FAIL,4,40.25,Yes,No
cbeb87b359947c42,3,FAIL,14,40.02,No,Yes
c80d64b5c5e39d7b,5,FAIL,21,38.87,Yes,No
24e8876585456ee5,5,FAIL,27,36.88,No,Yes
196a88635b1c83b4,4,FAIL,5,30.50,Yes,No
e82bd665d710bb75,2,FAIL,21,31.29,No,Yes
c6739963a7308111,3,PASS,8,26.42,Yes,No
953c10f2e4d6fd6,2,FAIL,12,25.01,No,Yes
d91761f3ba340d,4,FAIL,17,23.23,No,Yes
bc66c2e18fd6231b,3,FAIL,12,20.03,No,Yes
4b236c53ea5fbbdf,3,FAIL,5,15.92,Yes,No
5f9a92945a4ab62e,1,FAIL,8,14.19,No,Yes
860fbc1cfd446f7c,3,FAIL,23,14.37,No,Yes
5b5d43da944a752d,4,FAIL,13,10.37,Yes,No
971ad9f45d1bd53b,5,FAIL,20,9.29,Yes,No
5b3d4d35ac301050,2,FAIL,11,52.57,No,Yes
69a08c785ce5fcac,1,FAIL,9,49.24,No,Yes
a814bed4f6905ba4,5,FAIL,15,47.80,No,Yes
f32fe4e5b37fedaa,5,FAIL,10,44.46,Yes,No
3ba7fc567dd14312,3,FAIL,11,42.03,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,37.37,No,Yes
8635ff1b1bcf0c2e,5,FAIL,23,38.86,No,Yes
21df75919e7080e4,3,PASS,8,34.13,Yes,No
daa2db8c01da0bfa,5,FAIL,18,33.26,Yes,No
6443d25f8c289548,3,FAIL,3,27.85,Yes,No
91158b440e1d1942,5,FAIL,41,30.38,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,11,24.91,No,Yes
de0f40e0c4c5852a,4,FAIL,35,25.19,No,Yes
7c2cc9e25acdc10f,4,FAIL,9,19.36,Yes,No
146a216115846f70,5,FAIL,24,19.28,No,Yes
704931925890a56c,2,FAIL,13,15.54,No,Yes
22c41f4911d10461,3,FAIL,11,12.82,No,Yes
75761871763e88e3,2,FAIL,15,10.65,No,Yes
fee7fa98ecbf4534,1,PASS,6,6.42,Yes,No
3abef01e5d890e13,4,FAIL,15,6.07,No,Yes
a71c3513799bf094,2,FAIL,2,50.60,Yes,No
3b229c1d0453a603,3,FAIL,25,51.20,No,Yes
ba867d9c182c1124,1,FAIL,5,45.97,Yes,No
22ee8177bb6b927d,4,FAIL,17,45.62,No,Yes
200a2fdec77f69b6,1,PASS,9,41.76,Yes,No
4c7b5bd02c9270d,3,FAIL,1,37.53,No,Yes
efb560f2141edf82,1,PASS,3,35.43,Yes,No
b7b817f9033f188,5,FAIL,16,35.70,No,Yes
4cc3d963aecb0aec,3,FAIL,15,33.08,No,Yes
6a4a59d9017e80e2,4,FAIL,16,30.60,No,Yes
a483b2ad65b79823,4,FAIL,18,28.40,No,Yes
c611d73335c05ea3,3,FAIL,11,24.81,Yes,No
9fc7d6795a3be635,2,PASS,10,22.19,Yes,No
9b4f3b36495c1615,3,FAIL,16,20.93,No,Yes
1b62c846b90e5d1d,3,FAIL,10,17.12,Yes,No
934d99322aa22dff,1,FAIL,14,15.27,No,Yes
cd5b6b24c51fb69a,2,FAIL,2,10.58,No,Yes
bb9d7db6f55f1f1e,4,FAIL,10,9.84,Yes,No
d1e03bb313e747a9,1,FAIL,13,7.58,No,Yes
e1b6f8b19d2f4176,2,FAIL,18,5.97,Yes,No
c09ea70a605760d3,1,FAIL,15,52.59,No,Yes
58a0f5bca3ff514c,5,FAIL,28,51.36,Yes,No
625730bf3883005c,4,FAIL,11,46.80,No,Yes
8211b75bfb0c714d,1,PASS,11,44.27,Yes,No
12adf37a767b56ea,2,FAIL,18,43.09,No,Yes
4582b19904d9a029,1,FAIL,9,39.15,Yes,No
62035ff8ad16cb71,2,FAIL,18,38.20,Yes,No
5c3f4379847796c4,4,FAIL,8,33.81,Yes,No
bc71d833fad658fb,1,FAIL,3,30.25,Yes,No
77da6edaa689f44a,2,FAIL,6,28.43,Yes,No
7326259652efbc9d,4,FAIL,1,24.97,No,Yes
85f95e3fbcd76abb,3,FAIL,18,25.96,No,Yes
bb667cb09578b4a3,5,FAIL,25,24.28,No,Yes
ad8f394763490f26,3,FAIL,3,18.13,Yes,No
