Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,23,21.31,rules
ebc9c10093a1255a,3,FAIL,32,38.41,"intersecting, rules"
ed40414d615431d6,3,FAIL,8,18.07,rules
dce20e150e7fcced,5,FAIL,41,21.77,rules
3fe8a85b768ae5b7,1,FAIL,26,22.36,"intersecting, rules"
1284a7249a4fa10f,3,FAIL,27,20.06,rules
cbeb87b359947c42,3,FAIL,22,25.37,"intersecting, rules"
c80d64b5c5e39d7b,5,FAIL,34,20.85,None
24e8876585456ee5,5,FAIL,27,25.22,"intersecting, rules"
196a88635b1c83b4,4,FAIL,28,25.81,rules
e82bd665d710bb75,2,FAIL,11,17.54,rules
c6739963a7308111,3,FAIL,11,21.86,rules
953c10f2e4d6fd6,2,PASS,2,29.71,None
d91761f3ba340d,4,FAIL,14,18.40,rules
bc66c2e18fd6231b,3,FAIL,49,21.24,"intersecting, rules"
4b236c53ea5fbbdf,3,FAIL,20,24.87,"disconnected, rules"
5f9a92945a4ab62e,1,FAIL,10,20.48,rules
860fbc1cfd446f7c,3,FAIL,37,24.54,"disconnected, intersecting, rules"
5b5d43da944a752d,4,FAIL,14,25.19,rules
971ad9f45d1bd53b,5,FAIL,31,22.45,rules
5b3d4d35ac301050,2,FAIL,12,16.28,None
69a08c785ce5fcac,1,FAIL,14,15.36,"disconnected, rules"
a814bed4f6905ba4,5,FAIL,35,23.88,"intersecting, rules"
f32fe4e5b37fedaa,5,FAIL,45,15.50,"intersecting, rules"
3ba7fc567dd14312,3,FAIL,10,13.95,"start/end, rules"
7ce0b04c1a28cca6,1,FAIL,24,17.73,"disconnected, intersecting, rules"
8635ff1b1bcf0c2e,5,FAIL,10,18.77,rules
21df75919e7080e4,3,FAIL,9,12.46,None
daa2db8c01da0bfa,5,FAIL,11,13.28,None
6443d25f8c289548,3,FAIL,21,19.56,"disconnected, intersecting, rules"
91158b440e1d1942,5,FAIL,32,14.80,rules
1ba6ec5d1f0c3bc6,2,FAIL,26,14.78,"intersecting, rules"
de0f40e0c4c5852a,4,FAIL,24,13.09,rules
7c2cc9e25acdc10f,4,FAIL,37,12.63,"disconnected, rules"
146a216115846f70,5,FAIL,32,17.94,rules
704931925890a56c,2,FAIL,4,13.31,None
22c41f4911d10461,3,FAIL,22,18.67,rules
75761871763e88e3,2,FAIL,17,12.08,rules
fee7fa98ecbf4534,1,FAIL,7,13.46,rules
3abef01e5d890e13,4,FAIL,28,15.71,rules
a71c3513799bf094,2,FAIL,5,10.06,disconnected
3b229c1d0453a603,3,FAIL,33,12.59,"intersecting, rules"
ba867d9c182c1124,1,FAIL,14,15.50,rules
22ee8177bb6b927d,4,FAIL,24,15.72,rules
200a2fdec77f69b6,1,FAIL,12,22.48,rules
4c7b5bd02c9270d,3,FAIL,19,14.60,rules
efb560f2141edf82,1,FAIL,10,10.73,rules
b7b817f9033f188,5,FAIL,26,21.02,"disconnected, rules"
4cc3d963aecb0aec,3,FAIL,15,16.10,"disconnected, rules"
6a4a59d9017e80e2,4,FAIL,9,18.19,rules
a483b2ad65b79823,4,FAIL,16,16.69,"start/end, rules"
c611d73335c05ea3,3,FAIL,14,17.24,rules
9fc7d6795a3be635,2,FAIL,17,13.50,"disconnected, intersecting, rules"
9b4f3b36495c1615,3,FAIL,11,12.75,None
1b62c846b90e5d1d,3,FAIL,15,21.31,"start/end, disconnected, rules"
934d99322aa22dff,1,FAIL,8,10.59,"disconnected, rules"
cd5b6b24c51fb69a,2,FAIL,15,15.75,rules
bb9d7db6f55f1f1e,4,FAIL,19,17.10,"start/end, rules"
d1e03bb313e747a9,1,FAIL,18,21.37,"intersecting, rules"
e1b6f8b19d2f4176,2,FAIL,19,16.51,rules
c09ea70a605760d3,1,FAIL,19,17.71,"intersecting, rules"
58a0f5bca3ff514c,5,FAIL,35,15.20,"intersecting, rules"
625730bf3883005c,4,FAIL,19,23.13,rules
8211b75bfb0c714d,1,FAIL,12,10.33,None
12adf37a767b56ea,2,FAIL,23,20.62,"disconnected, rules"
4582b19904d9a029,1,FAIL,10,14.09,rules
62035ff8ad16cb71,2,FAIL,33,15.40,rules
5c3f4379847796c4,4,FAIL,20,16.17,"disconnected, rules"
bc71d833fad658fb,1,FAIL,18,14.90,rules
77da6edaa689f44a,2,FAIL,11,13.98,rules
7326259652efbc9d,4,FAIL,17,20.73,rules
85f95e3fbcd76abb,3,FAIL,38,28.87,"intersecting, rules"
bb667cb09578b4a3,5,FAIL,13,13.37,rules
ad8f394763490f26,3,FAIL,13,15.12,"disconnected, rules"
3d1c8a00f582892,3,FAIL,11,15.17,"intersecting, rules"
b10c07139b1aa490,1,FAIL,10,9.11,"disconnected, rules"
5d259263ec5a5c9e,4,FAIL,16,17.27,"intersecting, rules"
62d5ef592f8f91fc,3,FAIL,31,17.80,"intersecting, rules"
be49f0eca3cd4c32,1,FAIL,24,46.08,rules
220246750ec56ccb,2,FAIL,8,18.59,rules
f425a63fc423ced0,3,FAIL,18,14.25,"disconnected, intersecting, rules"
b3e3c52cd5223942,5,FAIL,22,15.83,rules
ce576f59fcd8e5b5,4,FAIL,29,26.83,"disconnected, intersecting, rules"
d71204c97803d9a,4,FAIL,15,14.40,rules
cc4ff7682e293a1b,2,FAIL,26,23.97,"intersecting, rules"
b25e33c50909fc03,2,FAIL,8,22.84,None
f271fc95525040b1,5,FAIL,23,22.31,"disconnected, rules"
9390c84b6360b4bb,1,FAIL,9,20.69,rules
a454bd9c3ad0168a,5,FAIL,37,18.12,"intersecting, rules"
db130c08db23e907,1,FAIL,12,14.13,rules
5c59a67541d92c71,5,FAIL,15,16.65,rules
745deea1055373eb,3,FAIL,32,15.73,"disconnected, rules"
440d97e917325fb0,3,FAIL,27,34.36,"intersecting, rules"
dbd181183bb9f775,4,FAIL,50,17.41,"intersecting, rules"
fef8e390bd7a2a7a,5,FAIL,26,22.44,"disconnected, rules"
3987c3fc8d33089e,3,FAIL,37,23.76,"disconnected, intersecting, rules"
851365be4fc5c5e,2,FAIL,11,21.41,"disconnected, rules"
e20e6b6a00158bdc,5,FAIL,37,16.84,"disconnected, intersecting, rules"
841b2d97bb365b8b,4,FAIL,17,15.20,"disconnected, intersecting, rules"
b4d66071dc728f44,2,FAIL,9,19.78,"disconnected, intersecting, rules"
1e7c5367fa438e3b,5,FAIL,24,13.60,rules
b8eb6f7dd1cc9b86,1,FAIL,17,19.54,"disconnected, rules"
1796837aa68c2b76,3,FAIL,21,16.69,"disconnected, intersecting, rules"
598f03a76e659bbd,3,FAIL,25,21.43,"disconnected, intersecting, rules"
a8ea92dd47f4186b,2,FAIL,20,12.06,rules
a305fe218d16e612,4,FAIL,32,14.86,rules
d58e426a05bbebe0,4,FAIL,57,19.83,"intersecting, rules"
95baf8b98ab6874,5,FAIL,9,19.94,None
d72e6e1a7317b676,4,FAIL,14,11.25,rules
b2888d9633744522,3,FAIL,19,15.82,rules
fb69acc1bff1c7b5,2,FAIL,23,16.04,"intersecting, rules"
1b23ec5dcd81c575,2,FAIL,25,20.37,"intersecting, rules"
dedb9695c830d9a1,5,FAIL,11,26.89,None
94e6829bc5fe599b,4,FAIL,52,15.84,"disconnected, intersecting, rules"
7f61e30cde11dfd2,5,FAIL,16,12.99,rules
ac07176ade6d4fcc,2,FAIL,50,14.93,"disconnected, intersecting, rules"
aecb916b87a88a32,3,FAIL,18,17.39,rules
6a3a112c0f2e831b,5,FAIL,21,18.86,rules
e836ae53a1a6b880,5,FAIL,22,11.53,rules
58d9c6f1f97d78c1,2,FAIL,23,20.08,None
10bea253035c791c,2,FAIL,18,15.13,"disconnected, intersecting, rules"
5569f16359d15a33,5,FAIL,23,20.31,rules
d4af13ed1d455209,1,FAIL,14,10.91,rules
4efa50053369c63c,3,FAIL,14,24.45,rules
4088920d22fbc15a,2,FAIL,15,21.37,None
9ecc1e98360e6c0d,3,FAIL,21,18.98,rules
8b47902d43ed5c7,3,FAIL,11,14.71,rules
6911f7c1419318bb,4,FAIL,11,11.75,rules
ed62498f9a7cf7a5,4,FAIL,18,17.43,rules
4b518615758126ef,3,FAIL,11,19.18,None
a2a967199664a80,4,FAIL,6,51.28,None
93c544fa7b73dc1a,4,FAIL,40,23.23,"disconnected, rules"
b54da7bdff2713e1,2,FAIL,27,14.11,"disconnected, rules"
2c5ddc804e5b35ba,1,FAIL,9,11.53,rules
241a28965ab741d,1,FAIL,11,13.40,rules
4a5c32111bf61aae,5,FAIL,3,21.04,None
65171c970b77339e,2,FAIL,22,12.27,rules
70c971586d6ab721,1,FAIL,19,18.77,rules
dd196820fff0f585,2,FAIL,6,11.58,rules
683d3d2b64d8d1fb,4,FAIL,20,22.04,rules
3ca9fa7e19e2188c,4,FAIL,15,13.73,rules
581706995f65f93d,5,FAIL,33,17.16,"disconnected, intersecting, rules"
8f5dd8ca7b23f826,4,FAIL,2,13.27,None
4c6a9d610b717d17,3,FAIL,25,19.98,rules
f701ba6827f8ceff,2,FAIL,16,16.04,"disconnected, rules"
24dd9a735b612dc1,3,FAIL,14,17.05,"start/end, rules"
138e21433d2e6a52,2,FAIL,19,13.82,rules
72a1fec5c73b6560,4,FAIL,13,18.47,None
86c16115d5cda6a0,5,FAIL,20,18.91,rules
2790e863a5831db9,3,FAIL,18,13.86,rules
ab298046d34718be,5,FAIL,10,19.96,rules
ad8274727f965b1c,1,FAIL,17,15.40,"disconnected, rules"
a722e79130881da0,2,FAIL,15,18.51,rules
9435f4bc2b1cf34d,1,FAIL,14,15.42,"disconnected, rules"
2e4b26ec1c401cbe,4,FAIL,20,13.24,rules
8b308dfba88e4ac,3,FAIL,26,24.15,rules
701d6d1daff25a25,2,FAIL,21,10.91,"intersecting, rules"
f42b8d86bfb89096,1,FAIL,25,18.87,"disconnected, intersecting, rules"
c4341ab9fd5c439c,1,FAIL,7,17.85,rules
97be11048bb04a30,3,FAIL,8,16.05,None
7f403db698db059f,1,FAIL,14,14.34,rules
9e892fbdd6f4c4a9,2,FAIL,8,9.85,rules
b7672ba95aff4ff6,5,FAIL,13,24.02,None
e0e6857dd441101b,2,FAIL,25,17.96,"start/end, disconnected, intersecting, rules"
a12c7a055e6395a2,2,FAIL,10,11.67,"disconnected, rules"
e8f814f726cb4612,5,FAIL,24,11.02,None
fc19c4a5e89d29f4,4,FAIL,21,17.36,rules
4ec9d16a5a573d4e,2,FAIL,2,20.20,None
8bbb1046d8c49095,1,FAIL,9,14.56,rules
8e231f18dc7d476f,5,FAIL,22,12.91,rules
50ed62dcb0f1bce3,4,FAIL,37,27.31,"intersecting, rules"
154515f7b4e4fe2b,2,PASS,3,17.06,None
1a43bd0f8e35bd1d,2,FAIL,27,15.97,"intersecting, rules"
281ee792644831c5,2,FAIL,15,24.59,None
c881c033239a38de,3,FAIL,34,20.52,rules
a92cdc81d7a94775,5,FAIL,13,22.92,None
9283bfdf68bc92a8,2,FAIL,12,12.70,rules
b7cbcba402c57078,2,FAIL,9,11.99,rules
11846421c28ce2aa,4,FAIL,14,12.44,None
2a0e2b1240764998,4,FAIL,17,12.14,rules
577d6771b88eca36,3,FAIL,33,15.15,"intersecting, rules"
9c31840855436adc,5,FAIL,24,16.19,rules
495da6f2a1c1f750,5,FAIL,33,14.31,"start/end, intersecting, rules"
544628c3b3077982,5,FAIL,14,16.85,"disconnected, rules"
95bd7bebb5849554,2,FAIL,22,18.46,"intersecting, rules"
5daa7098e5e15b8a,3,FAIL,12,20.83,rules
2d360e53c1cbf48e,2,FAIL,25,13.73,rules
ad210a7535f9228a,3,PASS,2,12.35,None
4d1f8e4f341d8ba,2,FAIL,19,17.98,"intersecting, rules"
c0bf87685a69078a,2,FAIL,12,15.51,"intersecting, rules"
e155b38ad467ae03,5,FAIL,27,11.14,rules
525f7011d139f68e,1,FAIL,13,30.10,rules
85ace8079f2972ab,3,FAIL,15,19.07,"start/end, rules"
d79be6059dc29292,2,FAIL,18,16.53,"start/end, disconnected, rules"
bc2d315cd19b8b76,3,FAIL,10,12.67,rules
336018fab47f526a,2,FAIL,13,11.44,rules
9a0559017cacdd9c,1,FAIL,8,18.83,rules
5d4260bea3b7d613,1,FAIL,8,16.46,rules
14738c1f0e0cf17e,2,FAIL,25,18.40,rules
23f41583d9fe02ee,2,FAIL,13,14.30,None
58acf96418610e19,5,FAIL,39,23.90,"intersecting, rules"
624d40ea5ad58707,2,FAIL,13,11.35,None
9ec88d42d75e54fd,3,FAIL,7,18.60,rules
476e3c927a845ee2,3,FAIL,8,18.03,rules
664bfd4472be694f,2,FAIL,16,17.95,"intersecting, rules"
caa32446dc7ead46,2,FAIL,11,29.68,rules
4fda11641a1a910d,2,FAIL,14,13.36,rules
3e3df50762cc36ec,5,FAIL,26,20.74,rules
25d54c7266e20657,1,FAIL,16,21.54,rules
6989cd6ab3949a4f,3,FAIL,24,16.67,"intersecting, rules"
590618124bd8505f,1,FAIL,18,26.13,"intersecting, rules"
a467089dbb60a183,2,FAIL,8,10.25,rules
d7085f61b66ce173,3,FAIL,9,13.34,rules
f435579761647ddf,3,FAIL,16,13.78,rules
feae5b1edd06f1d8,3,FAIL,24,12.41,"intersecting, rules"
d68b4a78a6f0565e,4,FAIL,17,14.71,"disconnected, rules"
4aef1ec8290c118,3,FAIL,12,20.50,rules
274e23e5326cd99e,3,FAIL,28,19.13,"disconnected, intersecting, rules"
cea6e767c4288aaa,5,FAIL,22,17.63,rules
a4c2176205e2a4a2,5,FAIL,21,10.65,rules
a3e158fe8036aa90,1,FAIL,11,20.90,"disconnected, rules"
98325269e7bc1977,2,FAIL,18,19.31,rules
8dc55e8d130ea293,3,FAIL,18,16.49,rules
e090440b02df7219,3,FAIL,11,18.18,rules
f758efc83c595b04,3,FAIL,19,22.03,"intersecting, rules"
ac7626649901d917,5,FAIL,13,14.94,disconnected
cb28e0534aa0b063,2,FAIL,44,16.21,"intersecting, rules"
b7b14b2fbd23c24b,1,FAIL,15,13.20,"disconnected, rules"
f7c670905617d0e2,3,FAIL,14,11.39,rules
cc060a01c6f06fab,1,FAIL,9,13.32,rules
a8a6d541abcb65e9,5,FAIL,36,16.32,"disconnected, intersecting, rules"
703d0229f69d6415,5,FAIL,14,17.78,rules
608f0139a3c6e1de,3,FAIL,8,21.68,rules
83e85cc51ea9b2fb,5,FAIL,32,14.40,rules
899bbb366dc44689,3,FAIL,7,14.65,rules
c8b18eeabcd973f1,1,FAIL,3,22.88,None
da30abc42943f24c,3,PASS,9,18.14,None
e399bce353272491,5,FAIL,14,11.50,"intersecting, rules"
7306458c0105872e,5,FAIL,22,19.83,"intersecting, rules"
e605eb2515ac4bfe,5,FAIL,17,15.45,None
2f52e830064190c4,1,FAIL,16,14.76,"disconnected, rules"
226fd6aa76fd90b5,3,FAIL,31,12.68,"intersecting, rules"
70bb35cbdc82f22d,4,FAIL,25,12.98,"disconnected, rules"
c92372bd94215032,3,FAIL,12,15.18,None
7490b794631b985e,5,FAIL,31,14.78,rules
82877e44b5aa0795,1,FAIL,5,16.61,"disconnected, rules"
5f0427651d0b984c,2,FAIL,22,15.95,"intersecting, rules"
a6aca58a3edafcc2,3,FAIL,16,11.69,"disconnected, rules"
b9f806a3aba3a370,5,FAIL,33,17.08,"intersecting, rules"
6663c8ddf3565b3f,5,FAIL,14,19.42,"start/end, disconnected, rules"
df855ae9d3a12db5,2,FAIL,25,14.89,rules
fea07309116da353,3,FAIL,12,16.07,rules
10aae2671ff44dc2,5,FAIL,20,17.36,rules
b40b772a9ef00980,1,FAIL,10,13.72,rules
cf9dfd87180659b,4,FAIL,13,27.35,"disconnected, intersecting, rules"
c2f1726c32030b96,2,FAIL,12,8.42,None
51b9bb5cdf4abfef,3,FAIL,34,12.50,"intersecting, rules"
820399c7eebb39c2,3,FAIL,15,10.50,rules
58fff3d41575caab,4,FAIL,20,18.59,rules
fed3e5eff97750d6,2,FAIL,18,14.54,"disconnected, rules"
fa1114b465eb178,2,FAIL,13,17.18,rules
611f87b14c17edb2,4,FAIL,24,15.43,"disconnected, intersecting, rules"
d182949e859cba4f,2,FAIL,14,13.80,"disconnected, rules"
cdb63ede036474c5,4,FAIL,17,17.00,rules
851fd63e172dbba0,4,FAIL,14,10.14,"disconnected, rules"
4de04b3c4d15b5d5,3,FAIL,16,14.73,rules
95916b71a3f794ff,2,FAIL,22,17.07,rules
e960398c9fbd29fe,3,FAIL,6,17.14,rules
9a5dbca10f5418db,2,FAIL,21,38.45,"intersecting, rules"
857ae50f99d9f3ac,2,FAIL,14,14.39,rules
a2106593071eb66a,4,FAIL,17,19.33,rules
95fc27b34533357d,5,FAIL,57,20.04,"intersecting, rules"
27a3f4a05594287b,2,FAIL,17,16.48,rules
8676d8ef338255d2,4,FAIL,26,14.41,rules
519594536d60e115,2,FAIL,17,18.55,"intersecting, rules"
cecbbabf056d148c,3,FAIL,11,15.08,rules
9cddf98975ee77a2,3,FAIL,10,10.04,rules
969355c609397327,4,FAIL,12,16.52,rules
92e56e8b713d5c9d,5,FAIL,23,19.54,"intersecting, rules"
13363083e52f42ac,5,FAIL,59,19.23,"intersecting, rules"
d22b1d7fd116be8b,3,FAIL,22,20.25,rules
1bf8d47b32b9b719,3,FAIL,86,36.88,"disconnected, intersecting, rules"
d170cc270db4f272,1,FAIL,13,14.21,rules
8f1f819d287a3bb2,4,FAIL,1,22.56,start/end
e10bd3e5d6963967,3,FAIL,21,23.71,"intersecting, rules"
5b6ee1f3e4e114a7,3,FAIL,5,15.70,rules
2691c37dd4b921ae,4,FAIL,37,17.05,"intersecting, rules"
1d13ef360a0d5ca5,1,FAIL,25,11.64,"intersecting, rules"
1f85eacd72d02d23,5,FAIL,15,14.17,rules
9b274fcf3ed44212,1,FAIL,9,15.05,rules
df15fe6ed4dd7df0,3,FAIL,14,16.92,rules
52df57cc84fbc153,5,FAIL,77,16.94,"intersecting, rules"
cef4eaa4525b4d4a,1,FAIL,7,16.53,rules
2cdfbd4a9f364513,2,FAIL,13,20.72,rules
1ef0bc42f42911b,5,FAIL,30,15.08,rules
c94de1c651355827,3,FAIL,11,12.33,rules
5faeb260f219d74a,3,FAIL,12,12.91,rules
f50e2570d6d028f4,3,FAIL,2,12.92,None
8c2ad5e4cfbbc016,4,FAIL,37,20.36,"intersecting, rules"
dea5ab3b33019569,4,FAIL,26,16.59,rules
22f2c48bcc4ce64f,2,FAIL,14,12.87,"disconnected, rules"
6be507c084e691cb,2,FAIL,12,27.60,"disconnected, rules"
7952d255b6ea209c,4,FAIL,32,16.52,"intersecting, rules"
ebcbfd4fa2867c42,2,FAIL,21,19.01,"intersecting, rules"
3a6ba4ffd84fc4c1,5,FAIL,2,22.55,None
93a638921305725f,4,FAIL,29,21.76,"intersecting, rules"
8ea34b6d23b4761e,2,FAIL,9,6.54,None
88fa0972b417c260,5,FAIL,21,12.98,"disconnected, rules"
6eab214d450d4dbe,4,FAIL,17,18.49,rules
66af5fa2c849be82,4,FAIL,19,22.38,"disconnected, rules"
3b9f7395fef14327,5,FAIL,27,17.57,rules
f8999f1ddbc4e969,2,FAIL,12,16.57,None
8d5f970e2d32d4eb,3,FAIL,28,16.53,rules
2ba08168d4f94e2f,3,FAIL,23,19.53,"disconnected, rules"
442360e781344ca6,3,FAIL,11,19.93,rules
293100f44e836546,3,FAIL,15,11.25,rules
4d7a1a66baaf63ae,2,FAIL,23,18.41,"disconnected, intersecting, rules"
f6b6da2cfd79bf8d,4,FAIL,9,11.77,None
f92812f4de72ff65,2,FAIL,20,13.92,"intersecting, rules"
6309fe9234408d09,3,FAIL,9,13.51,"disconnected, rules"
fcddbcaebe33803e,5,FAIL,18,20.00,"intersecting, rules"
51464a9c8a314377,5,FAIL,24,21.40,"disconnected, intersecting, rules"
a4bf7550aba66cda,1,FAIL,25,37.34,"intersecting, rules"
a022c119975a7c52,3,FAIL,31,26.74,rules
1a068875a3e6faef,2,FAIL,21,16.38,rules
4fe157e88b75d1c6,4,FAIL,21,14.44,rules
39e018c085e923c6,4,FAIL,34,19.48,"intersecting, rules"
f8e018c187532e55,2,FAIL,1,16.10,start/end
209102523fe9cb33,3,PASS,9,15.63,None
1a54d6e78eb31f57,3,FAIL,25,13.65,"intersecting, rules"
9725866ac2281eec,4,FAIL,31,16.47,rules
6bd50bbc57f0da07,3,FAIL,20,12.51,rules
dee9e7fb15309f84,2,FAIL,29,18.66,"intersecting, rules"
86902220d12d703f,4,FAIL,29,23.42,"intersecting, rules"
4eb57609ef1ee631,1,FAIL,13,20.45,rules
2f79e45518965eb9,4,FAIL,25,17.32,rules
56d5533533454616,4,FAIL,14,15.91,None
49e1d44abd319766,5,FAIL,15,11.44,rules
b4236ee204ca4ebd,1,FAIL,10,18.80,rules
bd50007a27ec4c42,5,FAIL,13,11.57,None
46e5ace860a947c,5,FAIL,44,23.02,"intersecting, rules"
65de230f331a4c45,3,FAIL,17,16.47,rules
208cf4346af75ddb,1,FAIL,2,22.30,None
90fd5c8fc5c892bc,2,FAIL,14,12.10,rules
451e601ab40d68ce,3,FAIL,21,17.19,rules
c57d2afd719e3f0a,2,FAIL,12,11.13,"disconnected, rules"
788033d48bdb93a4,2,FAIL,7,16.92,rules
1ea856e2b1a1fe37,2,FAIL,12,19.96,"disconnected, rules"
ce2b4e5ce355a816,1,FAIL,7,15.52,rules
a8367944d1ed9ac,5,FAIL,13,13.28,rules
afa4e2bcc5412771,2,FAIL,9,19.72,"start/end, rules"
fe0ba1ad7aff48c5,1,FAIL,7,17.44,rules
e776bbdf9faf8a36,3,FAIL,10,13.54,None
1b3d9f4f52d85b56,2,FAIL,17,11.86,rules
b142fbbeb41041b7,5,FAIL,39,16.68,"intersecting, rules"
5f53135de8b1954a,2,FAIL,2,11.45,None
62c72bfb2683d204,5,FAIL,43,20.20,"intersecting, rules"
6f9050409662ade1,1,FAIL,7,22.18,None
5ad45782c4d247fd,3,FAIL,10,18.08,rules
ad84c6fc0204a477,2,FAIL,19,12.70,"intersecting, rules"
6f26802c8e80c94b,2,FAIL,23,24.36,rules
2a959752e36b0310,3,FAIL,49,32.04,"disconnected, intersecting, rules"
8ce6a69f4a2bf7f8,1,FAIL,14,17.28,rules
a388bae91e3687fc,1,FAIL,3,18.49,None
52a0c371bcb62cb9,1,FAIL,10,11.38,"disconnected, rules"
307a49ad7e092e92,1,FAIL,15,20.29,rules
a75d02e340d80895,4,FAIL,15,17.35,rules
dfc4068c3d885844,3,FAIL,19,19.21,rules
8ab3bd25684da05b,4,FAIL,22,22.12,rules
14cfe9b24820e86d,3,FAIL,41,17.53,"intersecting, rules"
44be3c34e106de01,3,FAIL,40,15.84,"intersecting, rules"
6515cfe93ce509e,3,FAIL,28,16.40,"start/end, rules"
97a8f474dbded2a7,5,FAIL,44,12.91,rules
723c768ba214cf52,3,FAIL,4,14.62,None
45119a0d8ec60ee4,4,PASS,7,10.51,None
f10cb5a22d358c0e,4,FAIL,32,12.96,"intersecting, rules"
7f0b58b125996cef,1,FAIL,9,14.64,None
d891fc0de00c39ae,4,FAIL,39,18.71,"intersecting, rules"
f92885c46014bd68,1,FAIL,20,17.47,"disconnected, rules"
d276fc6b3d2511e2,1,FAIL,18,17.05,"intersecting, rules"
fab463aae2041518,1,FAIL,24,18.82,"intersecting, rules"
de3e9c0b4fe6d32e,5,FAIL,15,15.82,None
c42545022c2f958a,2,FAIL,15,20.33,rules
5bd4eba15bbb1174,3,FAIL,23,15.40,"disconnected, rules"
77078b45b62cd8dc,2,FAIL,50,23.29,"intersecting, rules"
9dd10d6188ee053c,5,FAIL,28,17.91,"intersecting, rules"
e6f85b7321c058cc,4,FAIL,21,15.66,"intersecting, rules"
15ba4ccf6e2bee00,4,FAIL,10,18.51,"disconnected, rules"
81b285fa0fa2bafa,3,FAIL,29,18.51,rules
42bfcaee82187611,4,FAIL,9,12.43,rules
51d09f953078db61,4,FAIL,37,16.20,"intersecting, rules"
199107ddf5bc64ff,5,FAIL,26,20.19,"intersecting, rules"
437a193bf1a65f04,5,FAIL,37,21.02,"intersecting, rules"
36cb3f329a6ce01d,1,FAIL,16,14.34,"intersecting, rules"
afae70e7d540f75d,4,FAIL,10,11.93,rules
a59bf17b740b01fd,5,FAIL,16,17.58,rules
51acec8bf877a466,4,FAIL,14,18.56,rules
