Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,26,4903.87,Yes,No
ebc9c10093a1255a,3,FAIL,25,5043.90,No,Yes
ed40414d615431d6,3,FAIL,7,2053.22,Yes,No
dce20e150e7fcced,5,FAIL,22,5002.78,Yes,No
3fe8a85b768ae5b7,1,FAIL,7,1681.08,Yes,No
1284a7249a4fa10f,3,FAIL,12,2869.23,Yes,No
cbeb87b359947c42,3,FAIL,9,2644.07,Yes,No
c80d64b5c5e39d7b,5,FAIL,22,4618.22,No,Yes
24e8876585456ee5,5,FAIL,19,4157.41,No,Yes
196a88635b1c83b4,4,FAIL,17,4120.22,Yes,No
e82bd665d710bb75,2,PASS,18,3275.40,Yes,No
c6739963a7308111,3,FAIL,8,2199.66,Yes,No
953c10f2e4d6fd6,2,FAIL,11,2042.90,Yes,No
d91761f3ba340d,4,FAIL,12,2834.59,No,Yes
bc66c2e18fd6231b,3,PASS,16,3699.29,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,1444.87,Yes,No
5f9a92945a4ab62e,1,FAIL,13,3026.71,Yes,No
860fbc1cfd446f7c,3,FAIL,19,4200.85,No,Yes
5b5d43da944a752d,4,FAIL,17,3937.04,Yes,No
971ad9f45d1bd53b,5,FAIL,20,4463.56,Yes,No
5b3d4d35ac301050,2,FAIL,13,3149.02,Yes,No
69a08c785ce5fcac,1,PASS,6,1610.65,Yes,No
a814bed4f6905ba4,5,FAIL,14,3324.71,Yes,No
f32fe4e5b37fedaa,5,FAIL,29,5707.24,No,Yes
3ba7fc567dd14312,3,FAIL,10,2376.00,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,3460.06,Yes,No
8635ff1b1bcf0c2e,5,FAIL,7,1398.58,No,Yes
21df75919e7080e4,3,FAIL,12,2751.76,Yes,No
daa2db8c01da0bfa,5,FAIL,14,3364.59,Yes,No
6443d25f8c289548,3,FAIL,3,611.06,Yes,No
91158b440e1d1942,5,FAIL,13,2816.67,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,21,3509.20,No,Yes
de0f40e0c4c5852a,4,FAIL,33,6452.73,No,Yes
7c2cc9e25acdc10f,4,FAIL,11,3070.38,Yes,No
146a216115846f70,5,FAIL,15,3546.86,Yes,No
704931925890a56c,2,FAIL,9,1781.30,Yes,No
22c41f4911d10461,3,FAIL,37,6910.10,No,Yes
75761871763e88e3,2,FAIL,10,2001.47,Yes,No
fee7fa98ecbf4534,1,PASS,6,1266.19,Yes,No
3abef01e5d890e13,4,FAIL,15,3614.42,Yes,No
a71c3513799bf094,2,FAIL,23,4615.70,No,Yes
3b229c1d0453a603,3,FAIL,6,1135.91,Yes,No
ba867d9c182c1124,1,FAIL,5,1353.78,Yes,No
22ee8177bb6b927d,4,FAIL,21,4204.84,Yes,No
200a2fdec77f69b6,1,FAIL,8,1853.38,No,Yes
4c7b5bd02c9270d,3,FAIL,12,2780.30,Yes,No
efb560f2141edf82,1,PASS,3,546.39,Yes,No
b7b817f9033f188,5,FAIL,11,2404.60,Yes,No
4cc3d963aecb0aec,3,FAIL,11,2717.73,Yes,No
6a4a59d9017e80e2,4,FAIL,4,944.33,Yes,No
a483b2ad65b79823,4,FAIL,20,3827.34,Yes,No
c611d73335c05ea3,3,FAIL,9,1891.85,No,Yes
9fc7d6795a3be635,2,PASS,14,2717.97,Yes,No
9b4f3b36495c1615,3,FAIL,20,4225.61,Yes,No
1b62c846b90e5d1d,3,FAIL,12,2445.61,Yes,No
934d99322aa22dff,1,FAIL,7,1870.58,No,Yes
