Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,23,3618.65,No,Yes
ebc9c10093a1255a,3,FAIL,14,3048.61,No,Yes
ed40414d615431d6,3,FAIL,12,2596.46,Yes,No
dce20e150e7fcced,5,FAIL,15,2383.32,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,264.45,Yes,No
1284a7249a4fa10f,3,FAIL,15,2201.01,No,Yes
cbeb87b359947c42,3,FAIL,17,2818.47,No,Yes
c80d64b5c5e39d7b,5,FAIL,7,1317.27,No,Yes
24e8876585456ee5,5,FAIL,13,2052.13,No,Yes
196a88635b1c83b4,4,FAIL,10,1945.20,No,Yes
e82bd665d710bb75,2,FAIL,12,2372.63,No,Yes
c6739963a7308111,3,FAIL,8,1671.63,Yes,No
953c10f2e4d6fd6,2,FAIL,16,2977.24,No,Yes
d91761f3ba340d,4,FAIL,25,3898.27,Yes,No
bc66c2e18fd6231b,3,FAIL,12,2313.32,No,Yes
4b236c53ea5fbbdf,3,FAIL,14,2862.25,No,Yes
5f9a92945a4ab62e,1,FAIL,11,2412.34,No,Yes
860fbc1cfd446f7c,3,FAIL,1,318.68,Yes,No
5b5d43da944a752d,4,FAIL,11,2352.73,No,Yes
971ad9f45d1bd53b,5,FAIL,17,2737.95,Yes,No
5b3d4d35ac301050,2,FAIL,12,2727.64,No,Yes
69a08c785ce5fcac,1,FAIL,6,1587.54,No,Yes
a814bed4f6905ba4,5,FAIL,11,1994.31,No,Yes
f32fe4e5b37fedaa,5,FAIL,6,1046.71,Yes,No
3ba7fc567dd14312,3,FAIL,16,2941.79,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,430.84,No,Yes
8635ff1b1bcf0c2e,5,FAIL,19,3230.82,No,Yes
21df75919e7080e4,3,FAIL,7,1312.92,No,Yes
daa2db8c01da0bfa,5,FAIL,19,2995.73,Yes,No
6443d25f8c289548,3,FAIL,3,351.91,Yes,No
91158b440e1d1942,5,FAIL,13,2380.95,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,14,2591.92,No,Yes
de0f40e0c4c5852a,4,FAIL,19,2799.98,No,Yes
7c2cc9e25acdc10f,4,FAIL,16,3301.62,No,Yes
146a216115846f70,5,FAIL,10,1853.10,No,Yes
704931925890a56c,2,FAIL,19,3305.28,No,Yes
22c41f4911d10461,3,FAIL,7,1240.70,No,Yes
75761871763e88e3,2,FAIL,17,2692.42,No,Yes
fee7fa98ecbf4534,1,FAIL,7,1837.62,No,Yes
3abef01e5d890e13,4,FAIL,7,1126.51,No,Yes
a71c3513799bf094,2,FAIL,2,312.30,Yes,No
3b229c1d0453a603,3,FAIL,14,3272.27,No,Yes
ba867d9c182c1124,1,FAIL,18,3143.25,Yes,No
22ee8177bb6b927d,4,FAIL,26,3999.14,No,Yes
200a2fdec77f69b6,1,PASS,9,1610.09,Yes,No
4c7b5bd02c9270d,3,FAIL,17,3116.77,No,Yes
efb560f2141edf82,1,FAIL,18,3032.87,Yes,No
b7b817f9033f188,5,FAIL,26,3751.54,No,Yes
4cc3d963aecb0aec,3,FAIL,7,1271.06,No,Yes
6a4a59d9017e80e2,4,FAIL,24,3457.73,No,Yes
a483b2ad65b79823,4,FAIL,22,3538.98,No,Yes
c611d73335c05ea3,3,FAIL,17,2708.35,Yes,No
9fc7d6795a3be635,2,PASS,10,2074.95,Yes,No
9b4f3b36495c1615,3,FAIL,14,2527.60,No,Yes
