Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,21,970.38,No,Yes
ebc9c10093a1255a,3,FAIL,8,382.34,No,Yes
ed40414d615431d6,3,FAIL,5,231.98,Yes,No
dce20e150e7fcced,5,FAIL,18,668.73,Yes,No
3fe8a85b768ae5b7,1,FAIL,32,1021.47,No,Yes
1284a7249a4fa10f,3,FAIL,8,384.11,Yes,No
cbeb87b359947c42,3,FAIL,19,737.83,Yes,No
c80d64b5c5e39d7b,5,FAIL,12,560.96,Yes,No
24e8876585456ee5,5,FAIL,28,1035.38,Yes,No
196a88635b1c83b4,4,FAIL,25,990.15,Yes,No
e82bd665d710bb75,2,FAIL,22,821.51,Yes,No
c6739963a7308111,3,PASS,8,285.73,Yes,No
953c10f2e4d6fd6,2,FAIL,19,631.51,Yes,No
d91761f3ba340d,4,FAIL,17,696.66,Yes,No
bc66c2e18fd6231b,3,FAIL,18,653.00,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,201.70,Yes,No
5f9a92945a4ab62e,1,FAIL,9,397.91,Yes,No
860fbc1cfd446f7c,3,FAIL,21,892.29,No,Yes
5b5d43da944a752d,4,FAIL,12,476.37,No,Yes
971ad9f45d1bd53b,5,FAIL,12,663.27,Yes,No
5b3d4d35ac301050,2,PASS,11,362.50,Yes,No
69a08c785ce5fcac,1,PASS,6,204.99,Yes,No
a814bed4f6905ba4,5,FAIL,14,560.28,Yes,No
f32fe4e5b37fedaa,5,FAIL,10,451.16,Yes,No
3ba7fc567dd14312,3,FAIL,10,362.02,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,482.41,Yes,No
8635ff1b1bcf0c2e,5,FAIL,15,474.28,Yes,No
21df75919e7080e4,3,PASS,8,354.67,Yes,No
daa2db8c01da0bfa,5,FAIL,14,496.54,Yes,No
6443d25f8c289548,3,FAIL,3,156.98,Yes,No
91158b440e1d1942,5,FAIL,11,361.28,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,21,657.10,No,Yes
de0f40e0c4c5852a,4,FAIL,19,781.59,Yes,No
7c2cc9e25acdc10f,4,FAIL,9,357.81,Yes,No
146a216115846f70,5,FAIL,19,727.09,Yes,No
704931925890a56c,2,FAIL,9,298.12,Yes,No
22c41f4911d10461,3,FAIL,17,508.55,Yes,No
75761871763e88e3,2,FAIL,10,375.47,Yes,No
fee7fa98ecbf4534,1,PASS,6,110.45,Yes,No
3abef01e5d890e13,4,FAIL,23,700.35,Yes,No
a71c3513799bf094,2,FAIL,29,809.15,No,Yes
3b229c1d0453a603,3,FAIL,6,242.25,Yes,No
ba867d9c182c1124,1,FAIL,5,193.59,Yes,No
22ee8177bb6b927d,4,FAIL,21,564.01,Yes,No
200a2fdec77f69b6,1,FAIL,7,385.57,Yes,No
4c7b5bd02c9270d,3,FAIL,8,295.52,Yes,No
efb560f2141edf82,1,PASS,3,121.04,Yes,No
b7b817f9033f188,5,FAIL,11,507.76,Yes,No
4cc3d963aecb0aec,3,FAIL,13,544.02,Yes,No
6a4a59d9017e80e2,4,FAIL,4,153.83,Yes,No
a483b2ad65b79823,4,FAIL,24,629.74,Yes,No
c611d73335c05ea3,3,FAIL,19,666.91,Yes,No
9fc7d6795a3be635,2,PASS,10,297.87,Yes,No
9b4f3b36495c1615,3,FAIL,10,407.78,Yes,No
1b62c846b90e5d1d,3,FAIL,12,417.36,Yes,No
934d99322aa22dff,1,FAIL,14,370.26,Yes,No
cd5b6b24c51fb69a,2,FAIL,10,390.84,Yes,No
bb9d7db6f55f1f1e,4,FAIL,26,962.26,Yes,No
d1e03bb313e747a9,1,FAIL,13,359.16,No,Yes
e1b6f8b19d2f4176,2,FAIL,18,470.61,Yes,No
c09ea70a605760d3,1,FAIL,15,680.11,No,Yes
58a0f5bca3ff514c,5,FAIL,20,649.20,Yes,No
625730bf3883005c,4,FAIL,24,690.50,Yes,No
8211b75bfb0c714d,1,PASS,11,312.47,Yes,No
12adf37a767b56ea,2,FAIL,4,206.54,Yes,No
4582b19904d9a029,1,FAIL,9,279.82,Yes,No
62035ff8ad16cb71,2,FAIL,11,443.33,No,Yes
5c3f4379847796c4,4,FAIL,8,250.22,Yes,No
bc71d833fad658fb,1,FAIL,15,515.65,Yes,No
77da6edaa689f44a,2,FAIL,6,214.55,Yes,No
7326259652efbc9d,4,FAIL,24,681.93,No,Yes
85f95e3fbcd76abb,3,FAIL,23,767.39,Yes,No
bb667cb09578b4a3,5,FAIL,12,496.75,Yes,No
ad8f394763490f26,3,FAIL,3,205.04,Yes,No
3d1c8a00f582892,3,FAIL,12,513.09,No,Yes
b10c07139b1aa490,1,PASS,10,329.98,Yes,No
5d259263ec5a5c9e,4,FAIL,11,447.33,No,Yes
62d5ef592f8f91fc,3,FAIL,10,323.37,Yes,No
be49f0eca3cd4c32,1,FAIL,13,515.44,Yes,No
220246750ec56ccb,2,FAIL,3,160.12,Yes,No
f425a63fc423ced0,3,FAIL,6,274.77,Yes,No
b3e3c52cd5223942,5,FAIL,21,876.06,No,Yes
ce576f59fcd8e5b5,4,FAIL,15,549.18,Yes,No
d71204c97803d9a,4,FAIL,18,548.37,Yes,No
cc4ff7682e293a1b,2,FAIL,17,464.35,Yes,No
b25e33c50909fc03,2,FAIL,7,177.43,Yes,No
f271fc95525040b1,5,FAIL,17,570.75,Yes,No
9390c84b6360b4bb,1,PASS,16,523.81,Yes,No
a454bd9c3ad0168a,5,FAIL,21,908.02,No,Yes
db130c08db23e907,1,FAIL,27,1012.22,Yes,No
5c59a67541d92c71,5,FAIL,24,868.35,Yes,No
745deea1055373eb,3,FAIL,19,694.98,No,Yes
440d97e917325fb0,3,FAIL,10,404.08,Yes,No
dbd181183bb9f775,4,FAIL,25,824.71,Yes,No
fef8e390bd7a2a7a,5,FAIL,24,661.23,Yes,No
3987c3fc8d33089e,3,FAIL,20,707.21,No,Yes
851365be4fc5c5e,2,PASS,1,45.32,Yes,No
e20e6b6a00158bdc,5,FAIL,38,1324.10,No,Yes
841b2d97bb365b8b,4,FAIL,17,668.45,No,Yes
b4d66071dc728f44,2,FAIL,13,486.68,Yes,No
1e7c5367fa438e3b,5,FAIL,8,416.69,No,Yes
b8eb6f7dd1cc9b86,1,PASS,13,552.95,Yes,No
1796837aa68c2b76,3,FAIL,25,1033.74,No,Yes
598f03a76e659bbd,3,FAIL,11,474.07,No,Yes
a8ea92dd47f4186b,2,FAIL,22,820.38,No,Yes
a305fe218d16e612,4,FAIL,23,724.28,No,Yes
d58e426a05bbebe0,4,FAIL,11,525.81,No,Yes
95baf8b98ab6874,5,FAIL,8,327.16,Yes,No
d72e6e1a7317b676,4,FAIL,19,752.87,Yes,No
