Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,27,993.15,No,Yes
ebc9c10093a1255a,3,FAIL,9,407.76,Yes,No
ed40414d615431d6,3,FAIL,11,369.44,No,Yes
dce20e150e7fcced,5,FAIL,18,608.23,Yes,No
3fe8a85b768ae5b7,1,FAIL,23,833.49,Yes,No
1284a7249a4fa10f,3,FAIL,8,427.42,Yes,No
cbeb87b359947c42,3,FAIL,19,789.07,Yes,No
c80d64b5c5e39d7b,5,FAIL,32,978.62,Yes,No
24e8876585456ee5,5,FAIL,28,1049.74,Yes,No
196a88635b1c83b4,4,FAIL,13,505.95,Yes,No
e82bd665d710bb75,2,PASS,18,714.73,Yes,No
c6739963a7308111,3,PASS,8,288.85,Yes,No
953c10f2e4d6fd6,2,FAIL,16,631.70,No,Yes
d91761f3ba340d,4,FAIL,16,634.52,No,Yes
bc66c2e18fd6231b,3,FAIL,16,499.83,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,198.08,Yes,No
5f9a92945a4ab62e,1,FAIL,7,277.03,Yes,No
860fbc1cfd446f7c,3,FAIL,19,718.36,No,Yes
5b5d43da944a752d,4,FAIL,13,537.51,Yes,No
971ad9f45d1bd53b,5,FAIL,17,755.29,No,Yes
5b3d4d35ac301050,2,PASS,11,433.89,Yes,No
69a08c785ce5fcac,1,PASS,10,380.35,Yes,No
a814bed4f6905ba4,5,FAIL,18,774.71,Yes,No
f32fe4e5b37fedaa,5,FAIL,19,760.94,No,Yes
3ba7fc567dd14312,3,FAIL,14,980.46,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,633.49,Yes,No
8635ff1b1bcf0c2e,5,FAIL,13,551.28,Yes,No
21df75919e7080e4,3,PASS,8,339.31,Yes,No
daa2db8c01da0bfa,5,FAIL,10,450.75,Yes,No
6443d25f8c289548,3,FAIL,5,281.80,Yes,No
91158b440e1d1942,5,FAIL,9,373.97,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,13,600.48,Yes,No
de0f40e0c4c5852a,4,FAIL,7,881.05,Yes,No
7c2cc9e25acdc10f,4,FAIL,11,447.30,Yes,No
146a216115846f70,5,FAIL,15,627.45,Yes,No
704931925890a56c,2,FAIL,7,401.54,No,Yes
22c41f4911d10461,3,FAIL,24,790.51,Yes,No
75761871763e88e3,2,FAIL,10,438.56,Yes,No
fee7fa98ecbf4534,1,PASS,6,206.09,Yes,No
3abef01e5d890e13,4,FAIL,21,746.84,Yes,No
a71c3513799bf094,2,FAIL,21,787.12,No,Yes
3b229c1d0453a603,3,FAIL,6,315.36,Yes,No
ba867d9c182c1124,1,FAIL,9,375.28,Yes,No
22ee8177bb6b927d,4,FAIL,10,412.18,No,Yes
200a2fdec77f69b6,1,PASS,9,335.70,Yes,No
4c7b5bd02c9270d,3,FAIL,8,305.09,Yes,No
efb560f2141edf82,1,PASS,3,167.45,Yes,No
b7b817f9033f188,5,FAIL,26,792.33,No,Yes
4cc3d963aecb0aec,3,FAIL,11,361.95,Yes,No
6a4a59d9017e80e2,4,FAIL,4,221.82,Yes,No
a483b2ad65b79823,4,FAIL,16,521.46,Yes,No
c611d73335c05ea3,3,FAIL,15,533.12,Yes,No
9fc7d6795a3be635,2,PASS,10,321.79,Yes,No
9b4f3b36495c1615,3,FAIL,10,505.26,Yes,No
1b62c846b90e5d1d,3,FAIL,12,325.85,Yes,No
934d99322aa22dff,1,FAIL,14,389.88,Yes,No
cd5b6b24c51fb69a,2,FAIL,11,453.62,No,Yes
bb9d7db6f55f1f1e,4,FAIL,39,1287.68,No,Yes
d1e03bb313e747a9,1,PASS,15,441.61,Yes,No
e1b6f8b19d2f4176,2,FAIL,18,494.73,Yes,No
c09ea70a605760d3,1,FAIL,16,614.35,Yes,No
58a0f5bca3ff514c,5,FAIL,17,599.80,No,Yes
625730bf3883005c,4,FAIL,16,540.97,No,Yes
8211b75bfb0c714d,1,PASS,11,355.63,Yes,No
12adf37a767b56ea,2,FAIL,4,189.43,Yes,No
4582b19904d9a029,1,FAIL,9,379.75,Yes,No
62035ff8ad16cb71,2,FAIL,22,817.11,Yes,No
5c3f4379847796c4,4,FAIL,8,365.44,Yes,No
bc71d833fad658fb,1,FAIL,18,698.17,No,Yes
77da6edaa689f44a,2,FAIL,6,242.52,Yes,No
7326259652efbc9d,4,FAIL,28,840.27,No,Yes
85f95e3fbcd76abb,3,FAIL,26,984.89,No,Yes
bb667cb09578b4a3,5,FAIL,16,511.27,Yes,No
ad8f394763490f26,3,FAIL,7,290.86,Yes,No
3d1c8a00f582892,3,FAIL,12,427.20,Yes,No
b10c07139b1aa490,1,PASS,10,311.14,Yes,No
5d259263ec5a5c9e,4,FAIL,7,359.85,Yes,No
62d5ef592f8f91fc,3,FAIL,10,318.92,Yes,No
be49f0eca3cd4c32,1,FAIL,8,252.09,No,Yes
220246750ec56ccb,2,FAIL,9,327.52,Yes,No
f425a63fc423ced0,3,FAIL,6,250.50,Yes,No
b3e3c52cd5223942,5,FAIL,21,719.72,No,Yes
ce576f59fcd8e5b5,4,FAIL,15,564.32,Yes,No
d71204c97803d9a,4,FAIL,22,699.24,Yes,No
cc4ff7682e293a1b,2,PASS,11,360.57,Yes,No
b25e33c50909fc03,2,FAIL,7,267.42,Yes,No
f271fc95525040b1,5,FAIL,21,624.64,No,Yes
9390c84b6360b4bb,1,PASS,16,351.68,Yes,No
a454bd9c3ad0168a,5,FAIL,14,711.21,Yes,No
db130c08db23e907,1,FAIL,19,770.61,Yes,No
5c59a67541d92c71,5,FAIL,20,700.34,No,Yes
745deea1055373eb,3,FAIL,16,381.00,Yes,No
440d97e917325fb0,3,PASS,14,458.01,Yes,No
dbd181183bb9f775,4,FAIL,21,722.82,Yes,No
fef8e390bd7a2a7a,5,FAIL,24,667.29,Yes,No
3987c3fc8d33089e,3,FAIL,16,628.84,No,Yes
851365be4fc5c5e,2,FAIL,7,198.82,Yes,No
e20e6b6a00158bdc,5,FAIL,28,935.99,Yes,No
841b2d97bb365b8b,4,FAIL,17,671.26,No,Yes
b4d66071dc728f44,2,FAIL,13,485.73,Yes,No
1e7c5367fa438e3b,5,FAIL,31,946.92,Yes,No
b8eb6f7dd1cc9b86,1,PASS,13,368.53,Yes,No
1796837aa68c2b76,3,FAIL,15,522.35,No,Yes
598f03a76e659bbd,3,FAIL,11,521.11,Yes,No
a8ea92dd47f4186b,2,FAIL,24,822.40,No,Yes
a305fe218d16e612,4,FAIL,15,561.82,No,Yes
d58e426a05bbebe0,4,FAIL,16,475.99,Yes,No
95baf8b98ab6874,5,FAIL,17,645.04,No,Yes
d72e6e1a7317b676,4,FAIL,7,292.58,Yes,No
b2888d9633744522,3,FAIL,18,695.33,Yes,No
fb69acc1bff1c7b5,2,FAIL,6,315.68,Yes,No
1b23ec5dcd81c575,2,FAIL,29,842.39,No,Yes
dedb9695c830d9a1,5,FAIL,10,418.89,Yes,No
94e6829bc5fe599b,4,FAIL,2,99.75,Yes,No
7f61e30cde11dfd2,5,FAIL,17,657.52,Yes,No
ac07176ade6d4fcc,2,FAIL,11,531.65,No,Yes
aecb916b87a88a32,3,FAIL,16,528.44,No,Yes
6a3a112c0f2e831b,5,FAIL,18,649.28,No,Yes
e836ae53a1a6b880,5,FAIL,11,406.25,Yes,No
58d9c6f1f97d78c1,2,FAIL,14,493.42,No,Yes
10bea253035c791c,2,FAIL,16,602.80,No,Yes
5569f16359d15a33,5,FAIL,26,942.00,Yes,No
d4af13ed1d455209,1,FAIL,19,755.81,No,Yes
4efa50053369c63c,3,FAIL,11,490.32,No,Yes
4088920d22fbc15a,2,FAIL,14,474.02,Yes,No
9ecc1e98360e6c0d,3,FAIL,30,803.84,No,Yes
8b47902d43ed5c7,3,FAIL,7,316.63,Yes,No
6911f7c1419318bb,4,FAIL,12,482.04,Yes,No
ed62498f9a7cf7a5,4,FAIL,21,685.56,Yes,No
4b518615758126ef,3,FAIL,6,251.50,Yes,No
a2a967199664a80,4,FAIL,5,199.60,Yes,No
93c544fa7b73dc1a,4,FAIL,22,732.67,Yes,No
b54da7bdff2713e1,2,FAIL,8,268.45,Yes,No
2c5ddc804e5b35ba,1,PASS,16,480.24,Yes,No
241a28965ab741d,1,PASS,6,292.96,Yes,No
4a5c32111bf61aae,5,FAIL,20,954.19,No,Yes
65171c970b77339e,2,FAIL,15,588.93,No,Yes
70c971586d6ab721,1,FAIL,14,561.85,No,Yes
dd196820fff0f585,2,FAIL,5,281.84,Yes,No
683d3d2b64d8d1fb,4,FAIL,23,740.81,Yes,No
3ca9fa7e19e2188c,4,PASS,12,426.96,Yes,No
581706995f65f93d,5,FAIL,31,848.41,Yes,No
8f5dd8ca7b23f826,4,FAIL,1,73.84,Yes,No
4c6a9d610b717d17,3,FAIL,16,549.91,Yes,No
f701ba6827f8ceff,2,FAIL,18,672.69,No,Yes
24dd9a735b612dc1,3,FAIL,10,404.92,Yes,No
138e21433d2e6a52,2,PASS,16,457.85,Yes,No
72a1fec5c73b6560,4,FAIL,2,89.91,Yes,No
86c16115d5cda6a0,5,FAIL,43,1355.87,No,Yes
2790e863a5831db9,3,FAIL,13,501.00,Yes,No
ab298046d34718be,5,FAIL,7,233.98,Yes,No
ad8274727f965b1c,1,FAIL,26,836.67,No,Yes
a722e79130881da0,2,FAIL,18,545.69,Yes,No
9435f4bc2b1cf34d,1,PASS,20,528.78,Yes,No
2e4b26ec1c401cbe,4,FAIL,7,222.90,Yes,No
8b308dfba88e4ac,3,FAIL,1,63.56,Yes,No
701d6d1daff25a25,2,FAIL,8,293.69,Yes,No
f42b8d86bfb89096,1,FAIL,13,502.89,Yes,No
c4341ab9fd5c439c,1,FAIL,1,52.06,No,Yes
97be11048bb04a30,3,FAIL,9,253.35,Yes,No
7f403db698db059f,1,PASS,9,304.81,Yes,No
9e892fbdd6f4c4a9,2,FAIL,11,493.55,Yes,No
b7672ba95aff4ff6,5,FAIL,16,616.85,Yes,No
e0e6857dd441101b,2,FAIL,16,469.46,Yes,No
a12c7a055e6395a2,2,FAIL,7,312.84,No,Yes
e8f814f726cb4612,5,FAIL,9,456.22,Yes,No
fc19c4a5e89d29f4,4,FAIL,12,542.29,Yes,No
4ec9d16a5a573d4e,2,FAIL,15,495.51,Yes,No
8bbb1046d8c49095,1,FAIL,6,236.96,Yes,No
8e231f18dc7d476f,5,FAIL,19,767.06,No,Yes
50ed62dcb0f1bce3,4,FAIL,14,364.31,Yes,No
154515f7b4e4fe2b,2,PASS,2,100.87,Yes,No
1a43bd0f8e35bd1d,2,FAIL,18,634.96,Yes,No
281ee792644831c5,2,FAIL,27,797.21,No,Yes
c881c033239a38de,3,FAIL,10,352.32,Yes,No
a92cdc81d7a94775,5,FAIL,12,329.29,Yes,No
9283bfdf68bc92a8,2,FAIL,9,319.25,Yes,No
b7cbcba402c57078,2,FAIL,12,474.16,Yes,No
11846421c28ce2aa,4,FAIL,23,692.76,Yes,No
2a0e2b1240764998,4,FAIL,6,247.53,Yes,No
577d6771b88eca36,3,FAIL,18,696.92,Yes,No
9c31840855436adc,5,FAIL,12,520.94,No,Yes
495da6f2a1c1f750,5,FAIL,20,787.62,No,Yes
544628c3b3077982,5,FAIL,19,618.92,Yes,No
95bd7bebb5849554,2,FAIL,11,481.88,No,Yes
5daa7098e5e15b8a,3,FAIL,13,419.61,Yes,No
2d360e53c1cbf48e,2,FAIL,20,971.73,No,Yes
ad210a7535f9228a,3,FAIL,11,382.13,Yes,No
