Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,27,1510.11,No,Yes
ebc9c10093a1255a,3,FAIL,21,1102.67,No,Yes
ed40414d615431d6,3,FAIL,7,402.61,Yes,No
dce20e150e7fcced,5,FAIL,18,942.98,Yes,No
3fe8a85b768ae5b7,1,FAIL,19,859.32,Yes,No
1284a7249a4fa10f,3,FAIL,8,491.71,Yes,No
cbeb87b359947c42,3,FAIL,11,599.52,Yes,No
c80d64b5c5e39d7b,5,FAIL,19,1111.92,Yes,No
24e8876585456ee5,5,FAIL,32,1636.28,Yes,No
196a88635b1c83b4,4,FAIL,9,738.00,Yes,No
e82bd665d710bb75,2,PASS,18,867.71,Yes,No
c6739963a7308111,3,FAIL,8,507.71,Yes,No
953c10f2e4d6fd6,2,FAIL,19,812.27,Yes,No
d91761f3ba340d,4,FAIL,13,639.23,Yes,No
bc66c2e18fd6231b,3,FAIL,14,701.03,Yes,No
4b236c53ea5fbbdf,3,FAIL,30,1506.63,No,Yes
5f9a92945a4ab62e,1,PASS,7,372.00,Yes,No
860fbc1cfd446f7c,3,FAIL,19,1099.52,Yes,No
5b5d43da944a752d,4,FAIL,13,675.40,Yes,No
971ad9f45d1bd53b,5,FAIL,15,658.25,No,Yes
5b3d4d35ac301050,2,FAIL,15,902.91,Yes,No
69a08c785ce5fcac,1,PASS,6,337.90,Yes,No
a814bed4f6905ba4,5,FAIL,14,837.86,Yes,No
f32fe4e5b37fedaa,5,FAIL,19,1070.40,No,Yes
3ba7fc567dd14312,3,FAIL,10,572.70,Yes,No
7ce0b04c1a28cca6,1,PASS,24,980.03,Yes,No
8635ff1b1bcf0c2e,5,FAIL,11,651.60,No,Yes
21df75919e7080e4,3,PASS,8,609.26,Yes,No
daa2db8c01da0bfa,5,FAIL,10,577.94,Yes,No
6443d25f8c289548,3,FAIL,3,163.11,Yes,No
91158b440e1d1942,5,FAIL,13,462.11,Yes,No
1ba6ec5d1f0c3bc6,2,PASS,17,919.16,Yes,No
de0f40e0c4c5852a,4,FAIL,15,845.26,Yes,No
7c2cc9e25acdc10f,4,FAIL,11,787.82,Yes,No
146a216115846f70,5,FAIL,18,1053.51,No,Yes
704931925890a56c,2,FAIL,23,1250.49,No,Yes
22c41f4911d10461,3,FAIL,35,1483.71,Yes,No
75761871763e88e3,2,FAIL,10,485.04,Yes,No
fee7fa98ecbf4534,1,PASS,6,275.20,Yes,No
3abef01e5d890e13,4,FAIL,19,963.83,Yes,No
a71c3513799bf094,2,FAIL,22,1397.40,Yes,No
3b229c1d0453a603,3,FAIL,14,690.18,Yes,No
ba867d9c182c1124,1,FAIL,13,662.67,Yes,No
22ee8177bb6b927d,4,FAIL,12,787.86,No,Yes
200a2fdec77f69b6,1,PASS,9,521.72,Yes,No
4c7b5bd02c9270d,3,FAIL,8,581.46,Yes,No
efb560f2141edf82,1,FAIL,7,337.67,Yes,No
b7b817f9033f188,5,FAIL,14,1027.67,No,Yes
4cc3d963aecb0aec,3,FAIL,17,880.49,Yes,No
6a4a59d9017e80e2,4,FAIL,8,458.50,Yes,No
a483b2ad65b79823,4,FAIL,18,860.48,Yes,No
c611d73335c05ea3,3,FAIL,15,880.43,Yes,No
9fc7d6795a3be635,2,PASS,10,214.58,Yes,No
9b4f3b36495c1615,3,FAIL,14,832.32,No,Yes
1b62c846b90e5d1d,3,FAIL,14,776.90,Yes,No
934d99322aa22dff,1,FAIL,14,453.22,Yes,No
cd5b6b24c51fb69a,2,FAIL,2,287.49,No,Yes
bb9d7db6f55f1f1e,4,FAIL,26,1932.60,Yes,No
d1e03bb313e747a9,1,FAIL,13,845.43,No,Yes
e1b6f8b19d2f4176,2,FAIL,18,845.97,Yes,No
c09ea70a605760d3,1,PASS,20,824.18,Yes,No
58a0f5bca3ff514c,5,FAIL,13,690.83,No,Yes
625730bf3883005c,4,FAIL,21,973.92,No,Yes
8211b75bfb0c714d,1,PASS,11,301.04,Yes,No
12adf37a767b56ea,2,FAIL,8,399.82,Yes,No
4582b19904d9a029,1,FAIL,9,497.38,Yes,No
62035ff8ad16cb71,2,FAIL,19,1050.07,No,Yes
5c3f4379847796c4,4,FAIL,8,370.22,Yes,No
bc71d833fad658fb,1,FAIL,7,438.08,Yes,No
77da6edaa689f44a,2,FAIL,13,889.22,No,Yes
7326259652efbc9d,4,FAIL,16,814.95,Yes,No
85f95e3fbcd76abb,3,FAIL,24,1344.50,No,Yes
bb667cb09578b4a3,5,FAIL,20,908.16,Yes,No
ad8f394763490f26,3,FAIL,7,424.53,No,Yes
3d1c8a00f582892,3,FAIL,6,327.36,Yes,No
b10c07139b1aa490,1,PASS,10,410.29,Yes,No
5d259263ec5a5c9e,4,FAIL,11,529.41,Yes,No
62d5ef592f8f91fc,3,FAIL,10,419.08,Yes,No
be49f0eca3cd4c32,1,FAIL,13,839.04,Yes,No
220246750ec56ccb,2,FAIL,3,145.78,Yes,No
f425a63fc423ced0,3,FAIL,6,531.46,Yes,No
b3e3c52cd5223942,5,FAIL,23,1404.47,Yes,No
ce576f59fcd8e5b5,4,FAIL,23,1291.22,Yes,No
d71204c97803d9a,4,FAIL,18,1011.93,Yes,No
cc4ff7682e293a1b,2,PASS,15,714.48,Yes,No
b25e33c50909fc03,2,FAIL,7,213.07,Yes,No
f271fc95525040b1,5,FAIL,27,1346.94,Yes,No
9390c84b6360b4bb,1,PASS,16,355.79,Yes,No
a454bd9c3ad0168a,5,FAIL,25,1741.83,No,Yes
db130c08db23e907,1,FAIL,23,1618.69,No,Yes
5c59a67541d92c71,5,FAIL,24,1348.59,Yes,No
745deea1055373eb,3,FAIL,12,467.48,Yes,No
440d97e917325fb0,3,FAIL,10,558.48,Yes,No
dbd181183bb9f775,4,FAIL,25,1065.57,Yes,No
fef8e390bd7a2a7a,5,FAIL,32,1356.70,Yes,No
3987c3fc8d33089e,3,FAIL,21,1166.92,Yes,No
851365be4fc5c5e,2,PASS,1,104.66,Yes,No
e20e6b6a00158bdc,5,FAIL,27,1261.37,Yes,No
841b2d97bb365b8b,4,FAIL,11,802.43,Yes,No
b4d66071dc728f44,2,FAIL,15,708.31,Yes,No
1e7c5367fa438e3b,5,FAIL,19,1005.26,Yes,No
b8eb6f7dd1cc9b86,1,PASS,15,568.05,Yes,No
1796837aa68c2b76,3,FAIL,13,695.66,Yes,No
598f03a76e659bbd,3,FAIL,15,714.69,Yes,No
a8ea92dd47f4186b,2,FAIL,21,993.24,Yes,No
a305fe218d16e612,4,FAIL,15,859.13,No,Yes
d58e426a05bbebe0,4,FAIL,16,894.97,Yes,No
95baf8b98ab6874,5,FAIL,12,791.63,Yes,No
d72e6e1a7317b676,4,FAIL,14,1302.98,No,Yes
b2888d9633744522,3,FAIL,10,472.41,Yes,No
fb69acc1bff1c7b5,2,PASS,16,909.24,Yes,No
1b23ec5dcd81c575,2,FAIL,25,1336.01,No,Yes
dedb9695c830d9a1,5,FAIL,10,513.67,Yes,No
94e6829bc5fe599b,4,FAIL,2,148.77,Yes,No
7f61e30cde11dfd2,5,FAIL,7,405.86,No,Yes
ac07176ade6d4fcc,2,FAIL,34,1345.71,Yes,No
aecb916b87a88a32,3,FAIL,15,828.74,Yes,No
6a3a112c0f2e831b,5,FAIL,18,1018.64,Yes,No
e836ae53a1a6b880,5,FAIL,17,1081.78,Yes,No
58d9c6f1f97d78c1,2,FAIL,18,1001.62,No,Yes
10bea253035c791c,2,FAIL,18,1145.53,Yes,No
5569f16359d15a33,5,FAIL,68,3347.38,No,Yes
d4af13ed1d455209,1,FAIL,16,1215.37,No,Yes
4efa50053369c63c,3,FAIL,11,598.67,Yes,No
4088920d22fbc15a,2,FAIL,14,849.53,Yes,No
9ecc1e98360e6c0d,3,FAIL,16,816.78,Yes,No
8b47902d43ed5c7,3,FAIL,6,523.89,Yes,No
6911f7c1419318bb,4,FAIL,14,671.98,Yes,No
ed62498f9a7cf7a5,4,FAIL,21,1070.66,Yes,No
4b518615758126ef,3,FAIL,10,817.79,Yes,No
a2a967199664a80,4,FAIL,23,1596.77,No,Yes
93c544fa7b73dc1a,4,FAIL,20,1348.76,Yes,No
b54da7bdff2713e1,2,FAIL,11,813.72,No,Yes
2c5ddc804e5b35ba,1,FAIL,7,773.57,No,Yes
241a28965ab741d,1,PASS,10,465.85,Yes,No
4a5c32111bf61aae,5,FAIL,24,1563.51,No,Yes
65171c970b77339e,2,FAIL,19,1040.55,No,Yes
70c971586d6ab721,1,FAIL,14,1051.13,Yes,No
dd196820fff0f585,2,FAIL,11,770.52,Yes,No
683d3d2b64d8d1fb,4,FAIL,27,1502.05,Yes,No
3ca9fa7e19e2188c,4,PASS,12,602.61,Yes,No
581706995f65f93d,5,FAIL,23,1335.83,No,Yes
8f5dd8ca7b23f826,4,FAIL,7,317.52,Yes,No
4c6a9d610b717d17,3,FAIL,20,1004.71,Yes,No
f701ba6827f8ceff,2,FAIL,22,1543.14,No,Yes
24dd9a735b612dc1,3,PASS,12,803.05,Yes,No
138e21433d2e6a52,2,PASS,20,762.40,Yes,No
72a1fec5c73b6560,4,FAIL,10,842.22,No,Yes
