Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,48,3424.48,Yes,No
ebc9c10093a1255a,3,FAIL,35,2172.91,Yes,No
ed40414d615431d6,3,FAIL,7,667.47,Yes,No
dce20e150e7fcced,5,FAIL,26,1681.89,Yes,No
3fe8a85b768ae5b7,1,FAIL,17,1094.82,Yes,No
1284a7249a4fa10f,3,FAIL,4,253.65,Yes,No
cbeb87b359947c42,3,FAIL,9,505.35,Yes,No
c80d64b5c5e39d7b,5,FAIL,21,1281.55,Yes,No
24e8876585456ee5,5,FAIL,36,3094.39,Yes,No
196a88635b1c83b4,4,FAIL,17,1277.75,Yes,No
e82bd665d710bb75,2,FAIL,46,2984.09,Yes,No
c6739963a7308111,3,FAIL,12,927.35,Yes,No
953c10f2e4d6fd6,2,PASS,3,130.53,Yes,No
d91761f3ba340d,4,FAIL,37,2248.95,Yes,No
bc66c2e18fd6231b,3,FAIL,14,1241.56,Yes,No
4b236c53ea5fbbdf,3,FAIL,9,681.53,Yes,No
5f9a92945a4ab62e,1,PASS,9,640.77,Yes,No
860fbc1cfd446f7c,3,FAIL,100,5115.73,No,Yes
5b5d43da944a752d,4,PASS,11,813.30,Yes,No
971ad9f45d1bd53b,5,FAIL,24,1418.11,Yes,No
5b3d4d35ac301050,2,PASS,13,866.40,Yes,No
69a08c785ce5fcac,1,PASS,8,538.63,Yes,No
a814bed4f6905ba4,5,FAIL,18,1202.79,Yes,No
f32fe4e5b37fedaa,5,FAIL,10,646.50,Yes,No
3ba7fc567dd14312,3,FAIL,14,1011.65,Yes,No
7ce0b04c1a28cca6,1,FAIL,20,1261.57,Yes,No
8635ff1b1bcf0c2e,5,FAIL,73,5098.13,Yes,No
21df75919e7080e4,3,FAIL,10,626.30,Yes,No
daa2db8c01da0bfa,5,FAIL,10,695.22,Yes,No
6443d25f8c289548,3,FAIL,3,229.79,Yes,No
91158b440e1d1942,5,FAIL,11,841.50,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,91,4162.39,Yes,No
de0f40e0c4c5852a,4,FAIL,11,797.46,Yes,No
7c2cc9e25acdc10f,4,FAIL,9,967.67,Yes,No
146a216115846f70,5,FAIL,15,925.66,Yes,No
704931925890a56c,2,FAIL,5,306.17,Yes,No
22c41f4911d10461,3,FAIL,13,683.15,Yes,No
75761871763e88e3,2,FAIL,12,640.64,Yes,No
fee7fa98ecbf4534,1,PASS,8,336.66,Yes,No
3abef01e5d890e13,4,FAIL,29,1541.41,Yes,No
a71c3513799bf094,2,FAIL,8,587.13,Yes,No
3b229c1d0453a603,3,FAIL,18,1156.47,Yes,No
ba867d9c182c1124,1,FAIL,9,518.52,Yes,No
22ee8177bb6b927d,4,FAIL,35,2128.78,Yes,No
200a2fdec77f69b6,1,PASS,11,749.45,Yes,No
4c7b5bd02c9270d,3,FAIL,8,495.28,Yes,No
efb560f2141edf82,1,PASS,3,220.35,Yes,No
b7b817f9033f188,5,FAIL,21,1449.73,Yes,No
4cc3d963aecb0aec,3,FAIL,27,1793.25,Yes,No
6a4a59d9017e80e2,4,FAIL,12,850.77,Yes,No
a483b2ad65b79823,4,FAIL,28,1787.81,Yes,No
c611d73335c05ea3,3,FAIL,21,1362.02,Yes,No
9fc7d6795a3be635,2,PASS,10,606.18,Yes,No
9b4f3b36495c1615,3,FAIL,10,600.38,Yes,No
1b62c846b90e5d1d,3,FAIL,18,1200.87,Yes,No
934d99322aa22dff,1,FAIL,20,1612.45,Yes,No
cd5b6b24c51fb69a,2,FAIL,32,2036.87,Yes,No
bb9d7db6f55f1f1e,4,FAIL,100,5982.47,No,Yes
d1e03bb313e747a9,1,PASS,19,1540.27,Yes,No
e1b6f8b19d2f4176,2,FAIL,22,1274.73,Yes,No
c09ea70a605760d3,1,FAIL,20,976.59,Yes,No
58a0f5bca3ff514c,5,FAIL,24,1374.29,Yes,No
625730bf3883005c,4,FAIL,22,1234.29,Yes,No
8211b75bfb0c714d,1,PASS,11,543.77,Yes,No
12adf37a767b56ea,2,FAIL,8,730.50,Yes,No
4582b19904d9a029,1,PASS,11,593.83,Yes,No
62035ff8ad16cb71,2,FAIL,96,5272.06,Yes,No
5c3f4379847796c4,4,FAIL,10,804.08,Yes,No
bc71d833fad658fb,1,FAIL,19,1177.72,Yes,No
77da6edaa689f44a,2,FAIL,8,581.69,Yes,No
7326259652efbc9d,4,FAIL,14,1143.64,Yes,No
85f95e3fbcd76abb,3,FAIL,57,4168.13,Yes,No
bb667cb09578b4a3,5,FAIL,20,1463.68,Yes,No
ad8f394763490f26,3,FAIL,17,1133.94,Yes,No
3d1c8a00f582892,3,FAIL,8,627.27,Yes,No
b10c07139b1aa490,1,FAIL,10,732.72,Yes,No
5d259263ec5a5c9e,4,FAIL,23,1573.91,Yes,No
62d5ef592f8f91fc,3,FAIL,14,676.80,Yes,No
be49f0eca3cd4c32,1,FAIL,100,5863.38,No,Yes
220246750ec56ccb,2,FAIL,5,247.50,Yes,No
f425a63fc423ced0,3,FAIL,8,403.77,Yes,No
b3e3c52cd5223942,5,FAIL,45,3122.65,Yes,No
ce576f59fcd8e5b5,4,FAIL,15,1434.76,Yes,No
d71204c97803d9a,4,FAIL,24,1598.53,Yes,No
cc4ff7682e293a1b,2,PASS,15,670.76,Yes,No
b25e33c50909fc03,2,FAIL,9,389.35,Yes,No
f271fc95525040b1,5,FAIL,27,1855.12,Yes,No
9390c84b6360b4bb,1,PASS,16,919.58,Yes,No
a454bd9c3ad0168a,5,FAIL,32,2568.01,Yes,No
db130c08db23e907,1,FAIL,19,1344.12,Yes,No
5c59a67541d92c71,5,FAIL,34,2439.94,Yes,No
745deea1055373eb,3,FAIL,16,725.48,Yes,No
440d97e917325fb0,3,PASS,8,531.41,Yes,No
dbd181183bb9f775,4,FAIL,29,1783.69,Yes,No
fef8e390bd7a2a7a,5,FAIL,32,2030.20,Yes,No
3987c3fc8d33089e,3,FAIL,55,3517.01,Yes,No
851365be4fc5c5e,2,PASS,3,348.12,Yes,No
e20e6b6a00158bdc,5,FAIL,37,2834.88,Yes,No
841b2d97bb365b8b,4,FAIL,17,1243.72,Yes,No
b4d66071dc728f44,2,FAIL,19,1462.29,Yes,No
1e7c5367fa438e3b,5,FAIL,21,1261.13,Yes,No
b8eb6f7dd1cc9b86,1,PASS,13,837.91,Yes,No
1796837aa68c2b76,3,FAIL,19,1351.14,Yes,No
598f03a76e659bbd,3,FAIL,13,1313.09,Yes,No
a8ea92dd47f4186b,2,FAIL,31,2060.12,Yes,No
a305fe218d16e612,4,FAIL,21,1672.04,Yes,No
d58e426a05bbebe0,4,FAIL,20,1450.17,Yes,No
95baf8b98ab6874,5,FAIL,10,798.49,Yes,No
d72e6e1a7317b676,4,FAIL,100,6367.54,No,Yes
b2888d9633744522,3,FAIL,16,892.48,Yes,No
fb69acc1bff1c7b5,2,FAIL,24,2004.53,Yes,No
1b23ec5dcd81c575,2,FAIL,28,1840.01,Yes,No
dedb9695c830d9a1,5,FAIL,18,1423.16,Yes,No
94e6829bc5fe599b,4,FAIL,6,365.44,Yes,No
7f61e30cde11dfd2,5,FAIL,13,1131.56,Yes,No
ac07176ade6d4fcc,2,FAIL,28,2414.12,Yes,No
aecb916b87a88a32,3,FAIL,17,1232.46,Yes,No
6a3a112c0f2e831b,5,FAIL,20,1754.69,Yes,No
e836ae53a1a6b880,5,FAIL,25,2088.88,Yes,No
58d9c6f1f97d78c1,2,FAIL,32,2333.50,Yes,No
10bea253035c791c,2,FAIL,14,801.71,Yes,No
5569f16359d15a33,5,FAIL,30,1754.72,Yes,No
d4af13ed1d455209,1,FAIL,17,1070.05,Yes,No
4efa50053369c63c,3,FAIL,11,564.23,Yes,No
4088920d22fbc15a,2,FAIL,14,890.99,Yes,No
9ecc1e98360e6c0d,3,FAIL,56,2687.64,Yes,No
8b47902d43ed5c7,3,FAIL,12,1069.63,Yes,No
6911f7c1419318bb,4,FAIL,12,778.62,Yes,No
ed62498f9a7cf7a5,4,FAIL,19,1137.63,Yes,No
4b518615758126ef,3,FAIL,6,444.02,Yes,No
a2a967199664a80,4,FAIL,17,1530.23,Yes,No
93c544fa7b73dc1a,4,FAIL,26,1682.01,Yes,No
b54da7bdff2713e1,2,FAIL,8,549.99,Yes,No
2c5ddc804e5b35ba,1,FAIL,18,1270.47,Yes,No
241a28965ab741d,1,PASS,8,569.65,Yes,No
4a5c32111bf61aae,5,FAIL,10,1003.06,Yes,No
65171c970b77339e,2,PASS,17,1184.33,Yes,No
70c971586d6ab721,1,FAIL,10,749.51,Yes,No
dd196820fff0f585,2,FAIL,11,763.96,Yes,No
683d3d2b64d8d1fb,4,FAIL,25,1544.81,Yes,No
3ca9fa7e19e2188c,4,FAIL,24,1415.72,Yes,No
581706995f65f93d,5,FAIL,45,2780.94,Yes,No
8f5dd8ca7b23f826,4,FAIL,9,672.29,Yes,No
4c6a9d610b717d17,3,FAIL,20,1469.32,Yes,No
f701ba6827f8ceff,2,FAIL,17,1093.37,Yes,No
24dd9a735b612dc1,3,FAIL,10,690.50,Yes,No
138e21433d2e6a52,2,PASS,24,1256.20,Yes,No
72a1fec5c73b6560,4,FAIL,8,585.16,Yes,No
86c16115d5cda6a0,5,FAIL,29,2624.73,Yes,No
2790e863a5831db9,3,FAIL,19,979.20,Yes,No
ab298046d34718be,5,FAIL,43,2823.49,Yes,No
ad8274727f965b1c,1,FAIL,100,5183.51,No,Yes
a722e79130881da0,2,FAIL,16,850.41,Yes,No
9435f4bc2b1cf34d,1,PASS,20,1574.22,Yes,No
2e4b26ec1c401cbe,4,FAIL,7,503.21,Yes,No
8b308dfba88e4ac,3,FAIL,57,2994.03,Yes,No
701d6d1daff25a25,2,FAIL,10,691.17,Yes,No
f42b8d86bfb89096,1,FAIL,9,665.01,Yes,No
c4341ab9fd5c439c,1,PASS,12,651.63,Yes,No
97be11048bb04a30,3,FAIL,9,708.87,Yes,No
7f403db698db059f,1,PASS,17,876.49,Yes,No
9e892fbdd6f4c4a9,2,FAIL,13,927.58,Yes,No
b7672ba95aff4ff6,5,FAIL,24,1638.06,Yes,No
e0e6857dd441101b,2,FAIL,20,1413.06,Yes,No
a12c7a055e6395a2,2,FAIL,14,782.57,Yes,No
e8f814f726cb4612,5,FAIL,23,1786.12,Yes,No
fc19c4a5e89d29f4,4,FAIL,26,1846.12,Yes,No
4ec9d16a5a573d4e,2,FAIL,1,90.70,Yes,No
8bbb1046d8c49095,1,FAIL,10,543.22,Yes,No
8e231f18dc7d476f,5,FAIL,19,1211.79,Yes,No
50ed62dcb0f1bce3,4,FAIL,10,460.74,Yes,No
154515f7b4e4fe2b,2,PASS,2,174.17,Yes,No
1a43bd0f8e35bd1d,2,FAIL,20,1372.38,Yes,No
281ee792644831c5,2,FAIL,100,4958.04,No,Yes
c881c033239a38de,3,FAIL,15,882.12,Yes,No
a92cdc81d7a94775,5,FAIL,12,876.77,Yes,No
9283bfdf68bc92a8,2,FAIL,9,479.02,Yes,No
b7cbcba402c57078,2,FAIL,12,670.87,Yes,No
11846421c28ce2aa,4,FAIL,53,2594.80,Yes,No
2a0e2b1240764998,4,FAIL,6,455.22,Yes,No
577d6771b88eca36,3,FAIL,16,1073.38,Yes,No
9c31840855436adc,5,FAIL,21,2090.62,Yes,No
495da6f2a1c1f750,5,FAIL,100,5373.43,No,Yes
544628c3b3077982,5,FAIL,23,1577.72,Yes,No
95bd7bebb5849554,2,FAIL,47,2853.15,Yes,No
5daa7098e5e15b8a,3,FAIL,11,607.43,Yes,No
2d360e53c1cbf48e,2,FAIL,100,5530.71,No,Yes
ad210a7535f9228a,3,PASS,1,81.19,Yes,No
4d1f8e4f341d8ba,2,FAIL,28,1684.45,Yes,No
c0bf87685a69078a,2,FAIL,13,914.58,Yes,No
e155b38ad467ae03,5,FAIL,12,843.25,Yes,No
525f7011d139f68e,1,FAIL,20,1911.98,Yes,No
85ace8079f2972ab,3,FAIL,22,1513.03,Yes,No
d79be6059dc29292,2,FAIL,27,1681.98,Yes,No
bc2d315cd19b8b76,3,FAIL,23,1642.59,Yes,No
336018fab47f526a,2,FAIL,12,810.60,Yes,No
9a0559017cacdd9c,1,FAIL,25,1688.07,Yes,No
5d4260bea3b7d613,1,PASS,7,395.45,Yes,No
14738c1f0e0cf17e,2,FAIL,6,531.47,Yes,No
23f41583d9fe02ee,2,FAIL,18,1409.44,Yes,No
58acf96418610e19,5,FAIL,28,2069.57,Yes,No
624d40ea5ad58707,2,FAIL,28,1696.06,Yes,No
9ec88d42d75e54fd,3,FAIL,8,626.15,Yes,No
476e3c927a845ee2,3,FAIL,13,947.03,Yes,No
664bfd4472be694f,2,FAIL,13,853.31,Yes,No
caa32446dc7ead46,2,FAIL,10,773.82,Yes,No
4fda11641a1a910d,2,FAIL,29,1619.83,Yes,No
3e3df50762cc36ec,5,FAIL,21,1285.01,Yes,No
25d54c7266e20657,1,FAIL,23,1911.22,Yes,No
6989cd6ab3949a4f,3,FAIL,100,4389.12,No,Yes
590618124bd8505f,1,FAIL,9,832.26,Yes,No
a467089dbb60a183,2,FAIL,9,819.89,Yes,No
d7085f61b66ce173,3,FAIL,12,827.56,Yes,No
f435579761647ddf,3,FAIL,11,593.52,Yes,No
feae5b1edd06f1d8,3,FAIL,13,948.64,Yes,No
d68b4a78a6f0565e,4,FAIL,20,1608.49,Yes,No
4aef1ec8290c118,3,FAIL,17,1284.25,Yes,No
274e23e5326cd99e,3,FAIL,18,1166.93,Yes,No
cea6e767c4288aaa,5,FAIL,9,697.45,Yes,No
a4c2176205e2a4a2,5,FAIL,32,2064.79,Yes,No
a3e158fe8036aa90,1,FAIL,100,5548.50,No,Yes
98325269e7bc1977,2,FAIL,5,456.88,Yes,No
8dc55e8d130ea293,3,FAIL,100,4798.20,No,Yes
e090440b02df7219,3,PASS,14,1178.53,Yes,No
f758efc83c595b04,3,FAIL,26,1723.67,Yes,No
ac7626649901d917,5,FAIL,14,772.07,Yes,No
cb28e0534aa0b063,2,FAIL,23,1650.64,Yes,No
b7b14b2fbd23c24b,1,FAIL,35,2501.85,Yes,No
f7c670905617d0e2,3,FAIL,15,1040.79,Yes,No
cc060a01c6f06fab,1,FAIL,10,835.75,Yes,No
a8a6d541abcb65e9,5,FAIL,13,1085.81,Yes,No
703d0229f69d6415,5,FAIL,27,1595.94,Yes,No
608f0139a3c6e1de,3,FAIL,29,2313.24,Yes,No
83e85cc51ea9b2fb,5,FAIL,43,2998.76,Yes,No
899bbb366dc44689,3,FAIL,30,2410.27,Yes,No
c8b18eeabcd973f1,1,FAIL,26,2409.09,Yes,No
da30abc42943f24c,3,FAIL,8,678.88,Yes,No
e399bce353272491,5,FAIL,3,332.34,Yes,No
7306458c0105872e,5,FAIL,19,1354.77,Yes,No
e605eb2515ac4bfe,5,FAIL,16,1014.65,Yes,No
2f52e830064190c4,1,FAIL,10,877.57,Yes,No
226fd6aa76fd90b5,3,FAIL,38,2872.22,Yes,No
70bb35cbdc82f22d,4,FAIL,13,1061.15,Yes,No
c92372bd94215032,3,FAIL,11,807.33,Yes,No
7490b794631b985e,5,FAIL,32,2190.14,Yes,No
82877e44b5aa0795,1,FAIL,9,481.98,Yes,No
5f0427651d0b984c,2,FAIL,7,522.65,Yes,No
a6aca58a3edafcc2,3,FAIL,100,5885.57,No,Yes
b9f806a3aba3a370,5,FAIL,74,3669.56,Yes,No
6663c8ddf3565b3f,5,FAIL,16,1005.69,Yes,No
df855ae9d3a12db5,2,FAIL,22,1720.68,Yes,No
fea07309116da353,3,FAIL,9,766.16,Yes,No
10aae2671ff44dc2,5,FAIL,49,3633.92,Yes,No
b40b772a9ef00980,1,PASS,13,763.39,Yes,No
cf9dfd87180659b,4,FAIL,100,6275.40,No,Yes
c2f1726c32030b96,2,FAIL,13,795.67,Yes,No
51b9bb5cdf4abfef,3,FAIL,63,4093.66,Yes,No
820399c7eebb39c2,3,FAIL,10,670.72,Yes,No
58fff3d41575caab,4,FAIL,100,5711.04,No,Yes
fed3e5eff97750d6,2,FAIL,13,1466.46,Yes,No
fa1114b465eb178,2,FAIL,26,2027.70,Yes,No
611f87b14c17edb2,4,FAIL,17,1252.26,Yes,No
d182949e859cba4f,2,FAIL,10,505.47,Yes,No
cdb63ede036474c5,4,FAIL,18,1231.85,Yes,No
851fd63e172dbba0,4,FAIL,7,332.33,Yes,No
4de04b3c4d15b5d5,3,FAIL,15,1265.52,Yes,No
95916b71a3f794ff,2,FAIL,9,660.55,Yes,No
e960398c9fbd29fe,3,FAIL,23,1811.92,Yes,No
9a5dbca10f5418db,2,FAIL,18,1292.05,Yes,No
857ae50f99d9f3ac,2,FAIL,19,1737.64,Yes,No
a2106593071eb66a,4,FAIL,10,892.42,Yes,No
95fc27b34533357d,5,FAIL,16,1109.10,Yes,No
27a3f4a05594287b,2,FAIL,16,776.77,Yes,No
8676d8ef338255d2,4,FAIL,31,1903.11,Yes,No
519594536d60e115,2,FAIL,16,1147.69,Yes,No
cecbbabf056d148c,3,FAIL,16,1046.36,Yes,No
9cddf98975ee77a2,3,FAIL,21,7933.12,Yes,No
969355c609397327,4,FAIL,13,1212.34,Yes,No
92e56e8b713d5c9d,5,FAIL,28,1575.99,Yes,No
13363083e52f42ac,5,FAIL,24,1977.02,Yes,No
d22b1d7fd116be8b,3,FAIL,43,3065.11,Yes,No
1bf8d47b32b9b719,3,FAIL,28,1916.65,Yes,No
d170cc270db4f272,1,FAIL,100,4547.44,No,Yes
8f1f819d287a3bb2,4,FAIL,4,362.97,Yes,No
e10bd3e5d6963967,3,FAIL,16,1068.03,Yes,No
5b6ee1f3e4e114a7,3,FAIL,18,1465.18,Yes,No
2691c37dd4b921ae,4,FAIL,22,1522.79,Yes,No
1d13ef360a0d5ca5,1,FAIL,2,164.57,Yes,No
1f85eacd72d02d23,5,FAIL,22,1708.09,Yes,No
9b274fcf3ed44212,1,FAIL,12,1007.65,Yes,No
df15fe6ed4dd7df0,3,FAIL,17,986.47,Yes,No
52df57cc84fbc153,5,FAIL,100,6819.09,No,Yes
cef4eaa4525b4d4a,1,FAIL,24,1960.10,Yes,No
2cdfbd4a9f364513,2,PASS,16,893.84,Yes,No
1ef0bc42f42911b,5,FAIL,11,947.30,Yes,No
c94de1c651355827,3,FAIL,12,1141.03,Yes,No
