Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,18,2856.17,Yes,No
ebc9c10093a1255a,3,FAIL,7,1116.33,Yes,No
ed40414d615431d6,3,FAIL,7,1384.03,Yes,No
dce20e150e7fcced,5,FAIL,18,2656.32,Yes,No
3fe8a85b768ae5b7,1,FAIL,7,1235.20,Yes,No
1284a7249a4fa10f,3,FAIL,8,1608.73,Yes,No
cbeb87b359947c42,3,FAIL,9,1358.97,Yes,No
c80d64b5c5e39d7b,5,FAIL,11,1820.68,Yes,No
24e8876585456ee5,5,FAIL,12,2305.82,Yes,No
196a88635b1c83b4,4,FAIL,7,1515.59,Yes,No
e82bd665d710bb75,2,FAIL,14,2020.05,Yes,No
c6739963a7308111,3,PASS,8,958.96,Yes,No
953c10f2e4d6fd6,2,PASS,1,202.11,Yes,No
d91761f3ba340d,4,FAIL,13,1935.01,Yes,No
bc66c2e18fd6231b,3,FAIL,10,1478.00,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,924.52,Yes,No
5f9a92945a4ab62e,1,PASS,7,1080.71,Yes,No
860fbc1cfd446f7c,3,FAIL,17,2644.93,Yes,No
5b5d43da944a752d,4,PASS,9,1390.01,Yes,No
971ad9f45d1bd53b,5,FAIL,12,1887.45,Yes,No
5b3d4d35ac301050,2,PASS,13,1880.96,Yes,No
69a08c785ce5fcac,1,PASS,6,879.54,Yes,No
a814bed4f6905ba4,5,FAIL,18,2599.83,Yes,No
f32fe4e5b37fedaa,5,FAIL,8,1280.12,Yes,No
3ba7fc567dd14312,3,FAIL,10,1587.00,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,2298.31,Yes,No
8635ff1b1bcf0c2e,5,FAIL,11,2022.37,Yes,No
21df75919e7080e4,3,PASS,10,1574.74,Yes,No
daa2db8c01da0bfa,5,FAIL,10,1748.50,Yes,No
6443d25f8c289548,3,FAIL,5,1006.39,Yes,No
91158b440e1d1942,5,FAIL,11,2001.76,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,15,2299.25,Yes,No
de0f40e0c4c5852a,4,FAIL,7,1221.00,Yes,No
7c2cc9e25acdc10f,4,FAIL,100,12888.55,No,Yes
146a216115846f70,5,FAIL,11,1702.92,Yes,No
704931925890a56c,2,FAIL,5,946.37,Yes,No
22c41f4911d10461,3,FAIL,13,2009.59,Yes,No
75761871763e88e3,2,FAIL,14,2172.32,Yes,No
fee7fa98ecbf4534,1,PASS,6,723.41,Yes,No
3abef01e5d890e13,4,FAIL,17,2644.33,Yes,No
a71c3513799bf094,2,FAIL,6,1122.22,Yes,No
3b229c1d0453a603,3,FAIL,8,1167.96,Yes,No
ba867d9c182c1124,1,FAIL,9,1412.75,Yes,No
22ee8177bb6b927d,4,FAIL,19,3017.27,Yes,No
200a2fdec77f69b6,1,FAIL,43,5478.41,Yes,No
4c7b5bd02c9270d,3,FAIL,8,1313.57,Yes,No
efb560f2141edf82,1,PASS,3,422.73,Yes,No
b7b817f9033f188,5,FAIL,25,3748.43,Yes,No
4cc3d963aecb0aec,3,FAIL,11,1825.94,Yes,No
6a4a59d9017e80e2,4,FAIL,4,559.41,Yes,No
a483b2ad65b79823,4,FAIL,20,2807.87,Yes,No
c611d73335c05ea3,3,FAIL,13,2109.06,Yes,No
9fc7d6795a3be635,2,PASS,10,1418.49,Yes,No
9b4f3b36495c1615,3,FAIL,10,1824.35,Yes,No
1b62c846b90e5d1d,3,FAIL,10,1397.86,Yes,No
934d99322aa22dff,1,FAIL,8,1161.68,Yes,No
cd5b6b24c51fb69a,2,FAIL,30,3825.77,Yes,No
bb9d7db6f55f1f1e,4,FAIL,22,3468.53,Yes,No
d1e03bb313e747a9,1,FAIL,9,1740.20,Yes,No
e1b6f8b19d2f4176,2,FAIL,18,2637.29,Yes,No
c09ea70a605760d3,1,FAIL,14,2422.08,Yes,No
58a0f5bca3ff514c,5,FAIL,16,1850.76,Yes,No
625730bf3883005c,4,FAIL,12,1688.10,Yes,No
8211b75bfb0c714d,1,PASS,11,1205.86,Yes,No
12adf37a767b56ea,2,FAIL,4,691.17,Yes,No
4582b19904d9a029,1,FAIL,9,1239.63,Yes,No
62035ff8ad16cb71,2,FAIL,16,2483.26,Yes,No
5c3f4379847796c4,4,FAIL,12,1818.35,Yes,No
bc71d833fad658fb,1,FAIL,7,1305.83,Yes,No
77da6edaa689f44a,2,FAIL,6,1070.28,Yes,No
7326259652efbc9d,4,FAIL,32,4113.65,Yes,No
85f95e3fbcd76abb,3,FAIL,11,1744.61,Yes,No
bb667cb09578b4a3,5,FAIL,10,1825.70,Yes,No
ad8f394763490f26,3,FAIL,7,1075.02,Yes,No
3d1c8a00f582892,3,FAIL,6,1091.62,Yes,No
b10c07139b1aa490,1,PASS,10,1408.68,Yes,No
5d259263ec5a5c9e,4,FAIL,11,1958.47,Yes,No
62d5ef592f8f91fc,3,FAIL,10,1507.92,Yes,No
be49f0eca3cd4c32,1,FAIL,15,2324.88,Yes,No
220246750ec56ccb,2,FAIL,3,525.69,Yes,No
f425a63fc423ced0,3,FAIL,8,1342.38,Yes,No
b3e3c52cd5223942,5,FAIL,17,2567.10,Yes,No
ce576f59fcd8e5b5,4,FAIL,15,2627.14,Yes,No
d71204c97803d9a,4,FAIL,22,2862.90,Yes,No
cc4ff7682e293a1b,2,PASS,11,1538.98,Yes,No
b25e33c50909fc03,2,FAIL,7,860.16,Yes,No
f271fc95525040b1,5,FAIL,19,3021.77,Yes,No
9390c84b6360b4bb,1,FAIL,100,14022.06,No,Yes
a454bd9c3ad0168a,5,FAIL,10,1767.81,Yes,No
db130c08db23e907,1,FAIL,17,2844.45,Yes,No
5c59a67541d92c71,5,FAIL,12,1638.49,Yes,No
745deea1055373eb,3,FAIL,12,1878.08,Yes,No
440d97e917325fb0,3,FAIL,6,1034.53,Yes,No
dbd181183bb9f775,4,FAIL,37,5698.28,Yes,No
fef8e390bd7a2a7a,5,FAIL,18,2356.28,Yes,No
3987c3fc8d33089e,3,FAIL,15,2357.68,Yes,No
851365be4fc5c5e,2,PASS,3,467.83,Yes,No
e20e6b6a00158bdc,5,FAIL,15,2460.33,Yes,No
841b2d97bb365b8b,4,FAIL,13,2253.64,Yes,No
b4d66071dc728f44,2,FAIL,15,2388.96,Yes,No
1e7c5367fa438e3b,5,FAIL,19,2725.85,Yes,No
b8eb6f7dd1cc9b86,1,PASS,13,2287.52,Yes,No
1796837aa68c2b76,3,FAIL,31,4664.18,Yes,No
598f03a76e659bbd,3,FAIL,11,1978.16,Yes,No
a8ea92dd47f4186b,2,FAIL,21,3043.09,Yes,No
a305fe218d16e612,4,FAIL,15,2372.55,Yes,No
d58e426a05bbebe0,4,FAIL,14,2500.62,Yes,No
95baf8b98ab6874,5,FAIL,6,1021.31,Yes,No
d72e6e1a7317b676,4,FAIL,19,3258.77,Yes,No
b2888d9633744522,3,FAIL,20,2998.43,Yes,No
fb69acc1bff1c7b5,2,FAIL,8,1454.97,Yes,No
1b23ec5dcd81c575,2,FAIL,16,2775.47,Yes,No
dedb9695c830d9a1,5,FAIL,10,1665.77,Yes,No
94e6829bc5fe599b,4,FAIL,2,316.25,Yes,No
7f61e30cde11dfd2,5,FAIL,15,2370.36,Yes,No
ac07176ade6d4fcc,2,FAIL,6,1168.95,Yes,No
aecb916b87a88a32,3,FAIL,5,650.62,Yes,No
6a3a112c0f2e831b,5,FAIL,14,2586.82,Yes,No
e836ae53a1a6b880,5,FAIL,11,1810.35,Yes,No
58d9c6f1f97d78c1,2,FAIL,36,5017.01,Yes,No
10bea253035c791c,2,FAIL,18,3001.27,Yes,No
5569f16359d15a33,5,FAIL,26,4295.17,Yes,No
d4af13ed1d455209,1,FAIL,11,1937.86,Yes,No
4efa50053369c63c,3,FAIL,9,1304.70,Yes,No
4088920d22fbc15a,2,FAIL,10,1693.31,Yes,No
9ecc1e98360e6c0d,3,FAIL,8,1197.23,Yes,No
8b47902d43ed5c7,3,FAIL,6,1207.84,Yes,No
6911f7c1419318bb,4,FAIL,12,2235.34,Yes,No
ed62498f9a7cf7a5,4,FAIL,13,2133.44,Yes,No
4b518615758126ef,3,FAIL,6,1170.68,Yes,No
a2a967199664a80,4,FAIL,5,788.31,Yes,No
93c544fa7b73dc1a,4,FAIL,16,2204.78,Yes,No
b54da7bdff2713e1,2,FAIL,8,1171.92,Yes,No
2c5ddc804e5b35ba,1,FAIL,18,3071.82,Yes,No
241a28965ab741d,1,PASS,6,918.77,Yes,No
4a5c32111bf61aae,5,FAIL,2,511.24,Yes,No
65171c970b77339e,2,FAIL,9,1395.64,Yes,No
70c971586d6ab721,1,FAIL,10,1833.71,Yes,No
dd196820fff0f585,2,FAIL,9,1603.83,Yes,No
683d3d2b64d8d1fb,4,FAIL,15,2376.17,Yes,No
3ca9fa7e19e2188c,4,PASS,12,1768.88,Yes,No
581706995f65f93d,5,FAIL,9,1438.89,Yes,No
8f5dd8ca7b23f826,4,FAIL,7,1166.04,Yes,No
4c6a9d610b717d17,3,FAIL,20,2951.54,Yes,No
f701ba6827f8ceff,2,FAIL,5,719.20,Yes,No
24dd9a735b612dc1,3,FAIL,12,1702.20,Yes,No
138e21433d2e6a52,2,PASS,22,3094.84,Yes,No
