Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,100,3096.16,No,Yes
ebc9c10093a1255a,3,FAIL,13,633.13,Yes,No
ed40414d615431d6,3,FAIL,17,690.69,Yes,No
dce20e150e7fcced,5,FAIL,82,2097.50,Yes,No
3fe8a85b768ae5b7,1,FAIL,23,1041.66,Yes,No
1284a7249a4fa10f,3,FAIL,4,269.06,Yes,No
cbeb87b359947c42,3,FAIL,47,1800.68,Yes,No
c80d64b5c5e39d7b,5,FAIL,45,1463.46,Yes,No
24e8876585456ee5,5,FAIL,100,3156.36,No,Yes
196a88635b1c83b4,4,FAIL,15,591.60,Yes,No
e82bd665d710bb75,2,FAIL,16,851.03,Yes,No
c6739963a7308111,3,FAIL,10,519.41,Yes,No
953c10f2e4d6fd6,2,PASS,3,110.63,Yes,No
d91761f3ba340d,4,FAIL,59,2114.89,Yes,No
bc66c2e18fd6231b,3,FAIL,10,553.50,Yes,No
4b236c53ea5fbbdf,3,FAIL,19,910.46,Yes,No
5f9a92945a4ab62e,1,FAIL,11,672.88,Yes,No
860fbc1cfd446f7c,3,FAIL,100,3158.50,No,Yes
5b5d43da944a752d,4,FAIL,27,985.77,Yes,No
971ad9f45d1bd53b,5,FAIL,8,334.72,Yes,No
5b3d4d35ac301050,2,FAIL,100,3727.34,No,Yes
69a08c785ce5fcac,1,PASS,8,449.43,Yes,No
a814bed4f6905ba4,5,FAIL,68,2643.59,Yes,No
f32fe4e5b37fedaa,5,FAIL,12,579.62,Yes,No
3ba7fc567dd14312,3,FAIL,66,2101.91,Yes,No
7ce0b04c1a28cca6,1,FAIL,14,1203.87,Yes,No
8635ff1b1bcf0c2e,5,FAIL,100,3262.24,No,Yes
21df75919e7080e4,3,PASS,8,381.29,Yes,No
daa2db8c01da0bfa,5,FAIL,14,677.55,Yes,No
6443d25f8c289548,3,FAIL,5,233.27,Yes,No
91158b440e1d1942,5,FAIL,23,738.71,Yes,No
1ba6ec5d1f0c3bc6,2,PASS,65,2528.33,Yes,No
de0f40e0c4c5852a,4,FAIL,100,3275.90,No,Yes
7c2cc9e25acdc10f,4,FAIL,31,1255.78,Yes,No
146a216115846f70,5,FAIL,100,2340.93,No,Yes
704931925890a56c,2,FAIL,11,629.10,Yes,No
22c41f4911d10461,3,FAIL,69,2450.80,Yes,No
75761871763e88e3,2,FAIL,100,2966.62,No,Yes
fee7fa98ecbf4534,1,PASS,16,867.18,Yes,No
3abef01e5d890e13,4,FAIL,100,2962.08,No,Yes
a71c3513799bf094,2,FAIL,4,184.14,Yes,No
3b229c1d0453a603,3,FAIL,10,630.40,Yes,No
ba867d9c182c1124,1,FAIL,15,651.31,Yes,No
22ee8177bb6b927d,4,FAIL,17,729.88,Yes,No
200a2fdec77f69b6,1,FAIL,13,1152.38,Yes,No
4c7b5bd02c9270d,3,FAIL,26,900.75,Yes,No
efb560f2141edf82,1,PASS,9,361.45,Yes,No
b7b817f9033f188,5,FAIL,100,3394.22,No,Yes
4cc3d963aecb0aec,3,FAIL,29,1235.05,Yes,No
6a4a59d9017e80e2,4,FAIL,60,1926.46,Yes,No
a483b2ad65b79823,4,FAIL,92,3261.58,Yes,No
c611d73335c05ea3,3,FAIL,21,831.73,Yes,No
9fc7d6795a3be635,2,PASS,16,716.93,Yes,No
9b4f3b36495c1615,3,FAIL,60,2161.84,Yes,No
1b62c846b90e5d1d,3,FAIL,28,806.53,Yes,No
934d99322aa22dff,1,FAIL,100,4008.01,No,Yes
cd5b6b24c51fb69a,2,FAIL,40,1705.01,Yes,No
bb9d7db6f55f1f1e,4,FAIL,14,598.10,Yes,No
d1e03bb313e747a9,1,FAIL,100,4021.87,No,Yes
e1b6f8b19d2f4176,2,FAIL,20,541.87,Yes,No
c09ea70a605760d3,1,FAIL,23,928.26,Yes,No
58a0f5bca3ff514c,5,FAIL,24,650.74,Yes,No
625730bf3883005c,4,FAIL,21,800.94,Yes,No
8211b75bfb0c714d,1,PASS,15,755.48,Yes,No
12adf37a767b56ea,2,FAIL,12,730.31,Yes,No
4582b19904d9a029,1,FAIL,15,744.21,Yes,No
62035ff8ad16cb71,2,FAIL,16,833.04,Yes,No
5c3f4379847796c4,4,FAIL,14,533.47,Yes,No
bc71d833fad658fb,1,FAIL,13,737.75,Yes,No
77da6edaa689f44a,2,FAIL,24,915.78,Yes,No
7326259652efbc9d,4,FAIL,16,857.83,Yes,No
85f95e3fbcd76abb,3,FAIL,23,1076.74,Yes,No
bb667cb09578b4a3,5,FAIL,100,2490.20,No,Yes
ad8f394763490f26,3,FAIL,5,275.05,Yes,No
3d1c8a00f582892,3,FAIL,100,2905.95,No,Yes
b10c07139b1aa490,1,PASS,32,1256.92,Yes,No
5d259263ec5a5c9e,4,FAIL,33,1435.92,Yes,No
62d5ef592f8f91fc,3,FAIL,24,1108.47,Yes,No
be49f0eca3cd4c32,1,FAIL,19,1126.20,Yes,No
220246750ec56ccb,2,FAIL,3,120.25,Yes,No
f425a63fc423ced0,3,FAIL,10,542.32,Yes,No
b3e3c52cd5223942,5,FAIL,17,671.08,Yes,No
ce576f59fcd8e5b5,4,FAIL,67,2472.73,Yes,No
d71204c97803d9a,4,FAIL,100,3082.44,No,Yes
cc4ff7682e293a1b,2,FAIL,100,2782.63,No,Yes
b25e33c50909fc03,2,FAIL,13,390.71,Yes,No
f271fc95525040b1,5,FAIL,100,2956.67,No,Yes
9390c84b6360b4bb,1,PASS,24,1371.56,Yes,No
a454bd9c3ad0168a,5,FAIL,88,2771.44,Yes,No
db130c08db23e907,1,PASS,35,1683.41,Yes,No
5c59a67541d92c71,5,FAIL,12,373.39,Yes,No
745deea1055373eb,3,FAIL,20,694.87,Yes,No
440d97e917325fb0,3,FAIL,10,723.55,Yes,No
dbd181183bb9f775,4,FAIL,29,831.13,Yes,No
fef8e390bd7a2a7a,5,FAIL,22,959.69,Yes,No
3987c3fc8d33089e,3,FAIL,19,627.55,Yes,No
851365be4fc5c5e,2,PASS,5,179.90,Yes,No
e20e6b6a00158bdc,5,FAIL,19,547.39,Yes,No
841b2d97bb365b8b,4,FAIL,79,2639.54,Yes,No
b4d66071dc728f44,2,FAIL,21,931.68,Yes,No
1e7c5367fa438e3b,5,FAIL,27,861.26,Yes,No
b8eb6f7dd1cc9b86,1,PASS,31,2592.23,Yes,No
1796837aa68c2b76,3,FAIL,29,1844.12,Yes,No
598f03a76e659bbd,3,FAIL,23,1376.44,Yes,No
a8ea92dd47f4186b,2,FAIL,55,2266.25,Yes,No
a305fe218d16e612,4,FAIL,23,1107.96,Yes,No
d58e426a05bbebe0,4,FAIL,30,1693.09,Yes,No
95baf8b98ab6874,5,FAIL,18,1202.34,Yes,No
d72e6e1a7317b676,4,FAIL,100,3174.94,No,Yes
b2888d9633744522,3,FAIL,26,1068.97,Yes,No
fb69acc1bff1c7b5,2,FAIL,12,546.24,Yes,No
1b23ec5dcd81c575,2,FAIL,100,4084.85,No,Yes
dedb9695c830d9a1,5,FAIL,100,3125.77,No,Yes
94e6829bc5fe599b,4,FAIL,20,707.90,Yes,No
7f61e30cde11dfd2,5,FAIL,23,1097.70,Yes,No
ac07176ade6d4fcc,2,FAIL,17,1207.93,Yes,No
aecb916b87a88a32,3,FAIL,13,1691.70,Yes,No
6a3a112c0f2e831b,5,FAIL,100,3217.56,No,Yes
e836ae53a1a6b880,5,FAIL,100,3677.95,No,Yes
58d9c6f1f97d78c1,2,FAIL,100,5981.98,No,Yes
10bea253035c791c,2,FAIL,12,548.87,Yes,No
5569f16359d15a33,5,FAIL,30,1052.86,Yes,No
d4af13ed1d455209,1,FAIL,21,1083.55,Yes,No
4efa50053369c63c,3,FAIL,7,244.51,Yes,No
4088920d22fbc15a,2,FAIL,18,1088.92,Yes,No
9ecc1e98360e6c0d,3,FAIL,100,2926.64,No,Yes
8b47902d43ed5c7,3,FAIL,12,493.42,Yes,No
6911f7c1419318bb,4,FAIL,60,2180.28,Yes,No
ed62498f9a7cf7a5,4,FAIL,13,340.19,Yes,No
4b518615758126ef,3,FAIL,10,491.20,Yes,No
a2a967199664a80,4,FAIL,9,306.35,Yes,No
93c544fa7b73dc1a,4,FAIL,8,301.18,Yes,No
b54da7bdff2713e1,2,FAIL,28,1128.79,Yes,No
2c5ddc804e5b35ba,1,FAIL,52,2658.97,Yes,No
241a28965ab741d,1,FAIL,2,104.52,Yes,No
4a5c32111bf61aae,5,FAIL,2,106.47,Yes,No
65171c970b77339e,2,FAIL,100,3561.77,No,Yes
70c971586d6ab721,1,FAIL,66,3001.09,Yes,No
dd196820fff0f585,2,FAIL,5,412.67,Yes,No
683d3d2b64d8d1fb,4,FAIL,49,1978.73,Yes,No
3ca9fa7e19e2188c,4,PASS,24,792.54,Yes,No
581706995f65f93d,5,FAIL,3,112.94,Yes,No
8f5dd8ca7b23f826,4,FAIL,1,60.70,Yes,No
4c6a9d610b717d17,3,FAIL,56,1692.75,Yes,No
f701ba6827f8ceff,2,FAIL,47,2014.56,Yes,No
24dd9a735b612dc1,3,FAIL,14,637.02,Yes,No
138e21433d2e6a52,2,FAIL,16,705.91,Yes,No
72a1fec5c73b6560,4,FAIL,92,2925.40,Yes,No
86c16115d5cda6a0,5,FAIL,25,887.77,Yes,No
2790e863a5831db9,3,FAIL,25,1071.85,Yes,No
ab298046d34718be,5,FAIL,15,568.91,Yes,No
ad8274727f965b1c,1,FAIL,100,4184.09,No,Yes
a722e79130881da0,2,FAIL,26,1147.09,Yes,No
9435f4bc2b1cf34d,1,FAIL,4,377.79,Yes,No
2e4b26ec1c401cbe,4,FAIL,29,1036.47,Yes,No
8b308dfba88e4ac,3,FAIL,19,902.28,Yes,No
701d6d1daff25a25,2,FAIL,10,366.47,Yes,No
f42b8d86bfb89096,1,FAIL,7,468.23,Yes,No
c4341ab9fd5c439c,1,PASS,28,1201.26,Yes,No
97be11048bb04a30,3,FAIL,15,584.26,Yes,No
7f403db698db059f,1,PASS,13,480.18,Yes,No
9e892fbdd6f4c4a9,2,FAIL,33,1276.88,Yes,No
b7672ba95aff4ff6,5,FAIL,24,889.20,Yes,No
e0e6857dd441101b,2,FAIL,44,1938.45,Yes,No
a12c7a055e6395a2,2,FAIL,36,1208.12,Yes,No
e8f814f726cb4612,5,FAIL,100,3319.70,No,Yes
fc19c4a5e89d29f4,4,FAIL,87,2719.54,Yes,No
4ec9d16a5a573d4e,2,FAIL,1,68.37,Yes,No
8bbb1046d8c49095,1,FAIL,14,641.18,Yes,No
8e231f18dc7d476f,5,FAIL,100,2912.48,No,Yes
50ed62dcb0f1bce3,4,FAIL,16,622.71,Yes,No
154515f7b4e4fe2b,2,PASS,4,261.58,Yes,No
1a43bd0f8e35bd1d,2,FAIL,16,763.73,Yes,No
281ee792644831c5,2,FAIL,100,3133.06,No,Yes
c881c033239a38de,3,FAIL,33,1261.55,Yes,No
a92cdc81d7a94775,5,FAIL,18,709.90,Yes,No
9283bfdf68bc92a8,2,FAIL,11,546.11,Yes,No
b7cbcba402c57078,2,FAIL,16,742.89,Yes,No
11846421c28ce2aa,4,FAIL,27,1055.71,Yes,No
2a0e2b1240764998,4,FAIL,12,644.51,Yes,No
577d6771b88eca36,3,FAIL,16,678.80,Yes,No
9c31840855436adc,5,FAIL,25,1305.54,Yes,No
495da6f2a1c1f750,5,FAIL,7,544.54,Yes,No
544628c3b3077982,5,FAIL,13,629.86,Yes,No
95bd7bebb5849554,2,FAIL,100,3836.30,No,Yes
5daa7098e5e15b8a,3,FAIL,17,1937.85,Yes,No
2d360e53c1cbf48e,2,FAIL,58,3103.70,Yes,No
ad210a7535f9228a,3,FAIL,7,401.74,Yes,No
4d1f8e4f341d8ba,2,FAIL,60,2826.11,Yes,No
c0bf87685a69078a,2,FAIL,9,652.90,Yes,No
e155b38ad467ae03,5,FAIL,30,1198.88,Yes,No
525f7011d139f68e,1,FAIL,70,4127.48,Yes,No
85ace8079f2972ab,3,FAIL,100,3150.72,No,Yes
d79be6059dc29292,2,FAIL,21,1368.31,Yes,No
bc2d315cd19b8b76,3,PASS,3,143.23,Yes,No
336018fab47f526a,2,FAIL,52,2972.79,Yes,No
9a0559017cacdd9c,1,FAIL,9,721.58,Yes,No
5d4260bea3b7d613,1,PASS,7,357.01,Yes,No
14738c1f0e0cf17e,2,FAIL,26,1048.93,Yes,No
23f41583d9fe02ee,2,FAIL,24,1085.42,Yes,No
58acf96418610e19,5,FAIL,62,2605.02,Yes,No
624d40ea5ad58707,2,FAIL,14,842.68,Yes,No
9ec88d42d75e54fd,3,FAIL,100,4364.57,No,Yes
476e3c927a845ee2,3,FAIL,19,1230.04,Yes,No
664bfd4472be694f,2,FAIL,100,3563.96,No,Yes
caa32446dc7ead46,2,FAIL,100,4400.67,No,Yes
4fda11641a1a910d,2,FAIL,29,1584.19,Yes,No
