Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,43,136.76,rules
ebc9c10093a1255a,3,FAIL,26,167.95,rules
ed40414d615431d6,3,FAIL,14,267.37,"disconnected, intersecting, rules"
dce20e150e7fcced,5,FAIL,37,225.61,rules
3fe8a85b768ae5b7,1,FAIL,20,177.89,None
1284a7249a4fa10f,3,FAIL,7,194.99,rules
cbeb87b359947c42,3,FAIL,26,231.44,"intersecting, rules"
c80d64b5c5e39d7b,5,FAIL,24,216.09,None
24e8876585456ee5,5,FAIL,37,185.25,None
196a88635b1c83b4,4,FAIL,28,168.85,rules
e82bd665d710bb75,2,FAIL,11,204.52,rules
c6739963a7308111,3,PASS,9,185.67,None
953c10f2e4d6fd6,2,FAIL,20,236.39,"intersecting, rules"
d91761f3ba340d,4,FAIL,13,215.01,"start/end, rules"
bc66c2e18fd6231b,3,FAIL,16,196.18,"disconnected, rules"
4b236c53ea5fbbdf,3,FAIL,6,226.05,None
5f9a92945a4ab62e,1,FAIL,10,79.51,rules
860fbc1cfd446f7c,3,FAIL,34,1356.46,rules
5b5d43da944a752d,4,PASS,12,195.45,None
971ad9f45d1bd53b,5,FAIL,19,114.95,rules
5b3d4d35ac301050,2,FAIL,26,221.91,rules
69a08c785ce5fcac,1,FAIL,21,173.48,"intersecting, rules"
a814bed4f6905ba4,5,FAIL,15,259.89,rules
f32fe4e5b37fedaa,5,FAIL,2,238.69,disconnected
3ba7fc567dd14312,3,FAIL,21,215.64,rules
7ce0b04c1a28cca6,1,FAIL,17,265.28,rules
8635ff1b1bcf0c2e,5,FAIL,56,147.37,"intersecting, rules"
21df75919e7080e4,3,FAIL,9,102.45,rules
daa2db8c01da0bfa,5,FAIL,11,333.38,rules
6443d25f8c289548,3,FAIL,4,181.17,rules
91158b440e1d1942,5,FAIL,10,216.82,None
1ba6ec5d1f0c3bc6,2,FAIL,18,176.62,None
de0f40e0c4c5852a,4,FAIL,17,213.53,"disconnected, intersecting, rules"
7c2cc9e25acdc10f,4,FAIL,31,224.55,"start/end, intersecting, rules"
146a216115846f70,5,FAIL,34,209.00,rules
704931925890a56c,2,FAIL,30,1351.18,"intersecting, rules"
22c41f4911d10461,3,FAIL,22,213.46,rules
75761871763e88e3,2,FAIL,39,177.01,"disconnected, intersecting, rules"
fee7fa98ecbf4534,1,FAIL,7,52.80,rules
3abef01e5d890e13,4,FAIL,34,192.14,"intersecting, rules"
a71c3513799bf094,2,FAIL,29,190.05,"intersecting, rules"
3b229c1d0453a603,3,FAIL,17,196.90,"disconnected, intersecting, rules"
ba867d9c182c1124,1,FAIL,14,112.61,rules
22ee8177bb6b927d,4,FAIL,32,168.97,rules
200a2fdec77f69b6,1,PASS,10,88.36,None
4c7b5bd02c9270d,3,FAIL,19,204.06,"intersecting, rules"
efb560f2141edf82,1,FAIL,22,295.58,rules
b7b817f9033f188,5,FAIL,16,277.17,rules
4cc3d963aecb0aec,3,FAIL,14,138.27,rules
6a4a59d9017e80e2,4,FAIL,21,203.58,rules
a483b2ad65b79823,4,FAIL,15,235.43,None
c611d73335c05ea3,3,FAIL,14,173.83,rules
9fc7d6795a3be635,2,PASS,11,201.74,None
9b4f3b36495c1615,3,FAIL,11,167.40,rules
1b62c846b90e5d1d,3,FAIL,13,231.49,None
934d99322aa22dff,1,FAIL,15,204.47,"disconnected, intersecting, rules"
cd5b6b24c51fb69a,2,FAIL,21,258.48,rules
bb9d7db6f55f1f1e,4,FAIL,41,113.13,rules
d1e03bb313e747a9,1,FAIL,12,262.68,None
e1b6f8b19d2f4176,2,FAIL,31,224.00,"intersecting, rules"
c09ea70a605760d3,1,FAIL,15,121.32,rules
58a0f5bca3ff514c,5,FAIL,17,267.82,rules
625730bf3883005c,4,FAIL,25,167.17,rules
8211b75bfb0c714d,1,FAIL,10,227.50,"start/end, disconnected, intersecting"
12adf37a767b56ea,2,FAIL,7,185.83,None
4582b19904d9a029,1,FAIL,24,238.04,rules
62035ff8ad16cb71,2,FAIL,19,176.97,rules
5c3f4379847796c4,4,FAIL,15,212.68,rules
bc71d833fad658fb,1,FAIL,16,130.57,rules
77da6edaa689f44a,2,FAIL,13,271.35,"intersecting, rules"
7326259652efbc9d,4,FAIL,21,261.08,rules
85f95e3fbcd76abb,3,FAIL,33,263.00,"disconnected, intersecting, rules"
bb667cb09578b4a3,5,FAIL,9,204.75,None
ad8f394763490f26,3,FAIL,17,202.54,"disconnected, intersecting, rules"
3d1c8a00f582892,3,FAIL,9,272.20,None
b10c07139b1aa490,1,FAIL,17,228.02,rules
5d259263ec5a5c9e,4,FAIL,22,239.78,"intersecting, rules"
62d5ef592f8f91fc,3,FAIL,23,226.84,rules
be49f0eca3cd4c32,1,FAIL,24,80.61,rules
220246750ec56ccb,2,FAIL,24,185.45,rules
f425a63fc423ced0,3,FAIL,7,126.70,rules
b3e3c52cd5223942,5,FAIL,29,212.70,"disconnected, rules"
ce576f59fcd8e5b5,4,FAIL,30,112.08,rules
d71204c97803d9a,4,FAIL,17,142.29,rules
cc4ff7682e293a1b,2,FAIL,42,163.10,"intersecting, rules"
b25e33c50909fc03,2,FAIL,8,183.34,None
f271fc95525040b1,5,FAIL,14,230.32,rules
9390c84b6360b4bb,1,FAIL,7,61.72,rules
a454bd9c3ad0168a,5,FAIL,45,206.90,"intersecting, rules"
db130c08db23e907,1,FAIL,24,138.59,rules
5c59a67541d92c71,5,FAIL,65,206.88,"disconnected, intersecting, rules"
745deea1055373eb,3,FAIL,18,205.02,"disconnected, rules"
440d97e917325fb0,3,FAIL,13,177.66,rules
dbd181183bb9f775,4,FAIL,26,212.53,rules
fef8e390bd7a2a7a,5,FAIL,19,180.41,rules
3987c3fc8d33089e,3,FAIL,18,155.27,None
851365be4fc5c5e,2,FAIL,14,137.31,rules
e20e6b6a00158bdc,5,FAIL,26,153.65,"start/end, disconnected, intersecting, rules"
841b2d97bb365b8b,4,FAIL,22,231.61,rules
b4d66071dc728f44,2,FAIL,16,205.96,rules
1e7c5367fa438e3b,5,FAIL,16,138.90,None
b8eb6f7dd1cc9b86,1,PASS,16,89.35,None
1796837aa68c2b76,3,FAIL,18,257.37,rules
598f03a76e659bbd,3,FAIL,18,224.50,rules
a8ea92dd47f4186b,2,FAIL,32,143.94,"intersecting, rules"
a305fe218d16e612,4,FAIL,20,118.54,"intersecting, rules"
d58e426a05bbebe0,4,FAIL,35,184.14,rules
95baf8b98ab6874,5,FAIL,33,207.46,"intersecting, rules"
d72e6e1a7317b676,4,FAIL,6,222.19,rules
b2888d9633744522,3,FAIL,16,160.19,"disconnected, rules"
fb69acc1bff1c7b5,2,FAIL,7,220.96,rules
1b23ec5dcd81c575,2,FAIL,25,152.40,rules
dedb9695c830d9a1,5,FAIL,21,143.96,rules
94e6829bc5fe599b,4,FAIL,67,214.48,"start/end, intersecting, rules"
7f61e30cde11dfd2,5,FAIL,18,218.12,rules
ac07176ade6d4fcc,2,FAIL,15,189.59,rules
aecb916b87a88a32,3,FAIL,12,228.19,rules
6a3a112c0f2e831b,5,FAIL,27,202.62,rules
e836ae53a1a6b880,5,FAIL,22,266.95,"intersecting, rules"
58d9c6f1f97d78c1,2,FAIL,23,171.15,rules
10bea253035c791c,2,FAIL,15,196.78,"intersecting, rules"
5569f16359d15a33,5,FAIL,24,187.22,start/end
d4af13ed1d455209,1,FAIL,16,231.85,rules
4efa50053369c63c,3,FAIL,18,220.77,rules
4088920d22fbc15a,2,FAIL,14,160.80,disconnected
9ecc1e98360e6c0d,3,FAIL,21,144.85,"intersecting, rules"
8b47902d43ed5c7,3,FAIL,17,108.27,rules
6911f7c1419318bb,4,FAIL,27,271.91,"intersecting, rules"
ed62498f9a7cf7a5,4,FAIL,14,264.76,rules
4b518615758126ef,3,FAIL,14,175.60,"disconnected, intersecting, rules"
a2a967199664a80,4,FAIL,28,124.90,"intersecting, rules"
93c544fa7b73dc1a,4,FAIL,42,213.68,"disconnected, intersecting, rules"
b54da7bdff2713e1,2,FAIL,17,172.43,rules
2c5ddc804e5b35ba,1,FAIL,17,193.22,rules
241a28965ab741d,1,FAIL,19,197.12,"intersecting, rules"
4a5c32111bf61aae,5,FAIL,6,142.71,"start/end, rules"
65171c970b77339e,2,FAIL,18,290.43,"disconnected, intersecting"
70c971586d6ab721,1,FAIL,19,204.63,intersecting
dd196820fff0f585,2,FAIL,14,249.54,"intersecting, rules"
683d3d2b64d8d1fb,4,FAIL,58,283.06,"disconnected, intersecting, rules"
3ca9fa7e19e2188c,4,FAIL,15,200.98,rules
581706995f65f93d,5,FAIL,30,228.66,rules
8f5dd8ca7b23f826,4,FAIL,32,171.89,rules
4c6a9d610b717d17,3,FAIL,25,218.77,rules
f701ba6827f8ceff,2,FAIL,28,211.25,"intersecting, rules"
24dd9a735b612dc1,3,FAIL,17,159.23,rules
138e21433d2e6a52,2,PASS,17,152.81,None
72a1fec5c73b6560,4,FAIL,17,1432.92,"disconnected, rules"
86c16115d5cda6a0,5,FAIL,38,141.51,"intersecting, rules"
2790e863a5831db9,3,FAIL,18,187.59,rules
ab298046d34718be,5,FAIL,12,204.83,rules
ad8274727f965b1c,1,FAIL,35,211.34,"intersecting, rules"
a722e79130881da0,2,FAIL,23,347.27,"disconnected, rules"
9435f4bc2b1cf34d,1,FAIL,5,173.07,None
2e4b26ec1c401cbe,4,FAIL,42,213.29,"intersecting, rules"
8b308dfba88e4ac,3,FAIL,22,223.67,"intersecting, rules"
701d6d1daff25a25,2,FAIL,23,117.15,rules
f42b8d86bfb89096,1,FAIL,10,250.53,None
c4341ab9fd5c439c,1,PASS,13,104.06,None
97be11048bb04a30,3,FAIL,22,160.17,rules
7f403db698db059f,1,PASS,10,101.16,None
9e892fbdd6f4c4a9,2,FAIL,16,179.13,None
b7672ba95aff4ff6,5,FAIL,21,143.31,rules
e0e6857dd441101b,2,FAIL,11,286.70,None
a12c7a055e6395a2,2,FAIL,17,123.46,None
e8f814f726cb4612,5,FAIL,8,198.67,rules
fc19c4a5e89d29f4,4,FAIL,27,195.22,rules
4ec9d16a5a573d4e,2,FAIL,14,215.43,rules
8bbb1046d8c49095,1,FAIL,9,114.72,rules
8e231f18dc7d476f,5,FAIL,28,169.43,rules
50ed62dcb0f1bce3,4,FAIL,18,197.91,"disconnected, rules"
154515f7b4e4fe2b,2,PASS,3,68.46,None
1a43bd0f8e35bd1d,2,FAIL,21,176.51,rules
281ee792644831c5,2,FAIL,25,229.37,"intersecting, rules"
c881c033239a38de,3,FAIL,28,213.06,rules
a92cdc81d7a94775,5,FAIL,15,199.89,rules
9283bfdf68bc92a8,2,FAIL,13,176.38,"disconnected, rules"
b7cbcba402c57078,2,FAIL,25,235.24,rules
11846421c28ce2aa,4,FAIL,34,202.09,"intersecting, rules"
2a0e2b1240764998,4,FAIL,19,234.89,rules
577d6771b88eca36,3,FAIL,48,281.43,"disconnected, intersecting, rules"
9c31840855436adc,5,FAIL,14,18.18,rules
495da6f2a1c1f750,5,FAIL,10,191.09,start/end
544628c3b3077982,5,FAIL,14,179.03,rules
95bd7bebb5849554,2,FAIL,26,145.55,"intersecting, rules"
