Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,34,1534.97,Yes,No
ebc9c10093a1255a,3,FAIL,27,1318.65,No,Yes
ed40414d615431d6,3,FAIL,7,452.51,No,Yes
dce20e150e7fcced,5,FAIL,22,789.17,Yes,No
3fe8a85b768ae5b7,1,FAIL,18,894.33,No,Yes
1284a7249a4fa10f,3,FAIL,8,428.08,Yes,No
cbeb87b359947c42,3,FAIL,9,477.36,Yes,No
c80d64b5c5e39d7b,5,FAIL,11,341.23,Yes,No
24e8876585456ee5,5,FAIL,21,954.94,No,Yes
196a88635b1c83b4,4,FAIL,9,540.53,Yes,No
e82bd665d710bb75,2,FAIL,14,794.25,Yes,No
c6739963a7308111,3,PASS,8,269.24,Yes,No
953c10f2e4d6fd6,2,FAIL,12,582.75,No,Yes
d91761f3ba340d,4,FAIL,13,608.09,Yes,No
bc66c2e18fd6231b,3,FAIL,16,746.00,No,Yes
4b236c53ea5fbbdf,3,FAIL,5,337.08,Yes,No
5f9a92945a4ab62e,1,FAIL,7,317.13,Yes,No
860fbc1cfd446f7c,3,FAIL,25,1021.47,No,Yes
5b5d43da944a752d,4,FAIL,8,353.26,No,Yes
971ad9f45d1bd53b,5,FAIL,28,983.12,Yes,No
5b3d4d35ac301050,2,FAIL,15,825.41,Yes,No
69a08c785ce5fcac,1,PASS,6,446.44,Yes,No
a814bed4f6905ba4,5,FAIL,13,822.73,No,Yes
f32fe4e5b37fedaa,5,FAIL,6,333.16,Yes,No
3ba7fc567dd14312,3,FAIL,8,364.89,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,140.88,No,Yes
8635ff1b1bcf0c2e,5,FAIL,18,885.42,Yes,No
21df75919e7080e4,3,FAIL,12,525.73,Yes,No
daa2db8c01da0bfa,5,FAIL,14,913.25,Yes,No
6443d25f8c289548,3,FAIL,3,120.96,Yes,No
91158b440e1d1942,5,FAIL,19,778.37,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,21,859.82,Yes,No
de0f40e0c4c5852a,4,FAIL,7,543.07,Yes,No
7c2cc9e25acdc10f,4,FAIL,15,909.96,Yes,No
146a216115846f70,5,FAIL,15,784.36,Yes,No
704931925890a56c,2,FAIL,3,303.38,Yes,No
22c41f4911d10461,3,FAIL,19,936.56,Yes,No
75761871763e88e3,2,FAIL,10,514.63,Yes,No
fee7fa98ecbf4534,1,PASS,6,225.48,Yes,No
3abef01e5d890e13,4,FAIL,27,1149.39,No,Yes
a71c3513799bf094,2,FAIL,13,866.34,No,Yes
3b229c1d0453a603,3,FAIL,14,732.96,Yes,No
ba867d9c182c1124,1,FAIL,10,476.95,Yes,No
22ee8177bb6b927d,4,FAIL,11,421.38,Yes,No
200a2fdec77f69b6,1,PASS,9,393.40,Yes,No
4c7b5bd02c9270d,3,FAIL,1,58.84,No,Yes
efb560f2141edf82,1,FAIL,15,780.83,Yes,No
b7b817f9033f188,5,FAIL,28,1391.24,No,Yes
4cc3d963aecb0aec,3,FAIL,13,640.11,No,Yes
6a4a59d9017e80e2,4,FAIL,18,899.12,Yes,No
a483b2ad65b79823,4,FAIL,22,948.20,Yes,No
c611d73335c05ea3,3,FAIL,15,793.29,Yes,No
9fc7d6795a3be635,2,FAIL,13,522.46,No,Yes
9b4f3b36495c1615,3,FAIL,20,860.00,Yes,No
1b62c846b90e5d1d,3,FAIL,14,640.18,Yes,No
934d99322aa22dff,1,PASS,16,830.35,Yes,No
cd5b6b24c51fb69a,2,FAIL,12,617.19,No,Yes
bb9d7db6f55f1f1e,4,FAIL,19,866.80,No,Yes
d1e03bb313e747a9,1,FAIL,13,854.13,No,Yes
e1b6f8b19d2f4176,2,FAIL,13,603.62,No,Yes
c09ea70a605760d3,1,FAIL,12,864.86,Yes,No
58a0f5bca3ff514c,5,FAIL,24,1044.20,Yes,No
625730bf3883005c,4,FAIL,24,949.15,No,Yes
8211b75bfb0c714d,1,PASS,11,519.41,Yes,No
12adf37a767b56ea,2,FAIL,4,246.41,Yes,No
4582b19904d9a029,1,FAIL,9,447.76,Yes,No
62035ff8ad16cb71,2,FAIL,15,834.46,No,Yes
5c3f4379847796c4,4,FAIL,27,1200.12,No,Yes
bc71d833fad658fb,1,FAIL,9,483.75,Yes,No
77da6edaa689f44a,2,FAIL,15,783.43,No,Yes
7326259652efbc9d,4,FAIL,30,1419.55,Yes,No
85f95e3fbcd76abb,3,FAIL,22,1015.02,No,Yes
bb667cb09578b4a3,5,FAIL,15,756.92,No,Yes
ad8f394763490f26,3,FAIL,9,463.21,No,Yes
3d1c8a00f582892,3,FAIL,14,843.17,Yes,No
b10c07139b1aa490,1,FAIL,18,1010.15,Yes,No
5d259263ec5a5c9e,4,FAIL,9,461.34,Yes,No
62d5ef592f8f91fc,3,FAIL,17,1079.78,No,Yes
be49f0eca3cd4c32,1,FAIL,8,452.83,No,Yes
