Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,18,3.6%
Failed,482,96.4%
,,
Fully Valid Paths,70,14.0%
Connected Paths,416,83.2%
Correct Start/End,480,96.0%
Non-Intersecting,357,71.4%
No Rule Violations,96,19.2%
,,
Avg Path Length,19.3 steps,
Min Path Length,2 steps,
Max Path Length,67 steps,
,,
Difficulty 1 Solved,8/86,9.3%
Difficulty 2 Solved,7/118,5.9%
Difficulty 3 Solved,2/121,1.7%
Difficulty 4 Solved,1/86,1.2%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,104283.9 seconds,
Avg Time per Puzzle,208.57 seconds,
Puzzles per Minute,0.3,
