Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,50,29.49,"disconnected, rules"
ebc9c10093a1255a,3,FAIL,16,26.78,"start/end, disconnected"
ed40414d615431d6,3,FAIL,12,23.09,"intersecting, rules"
dce20e150e7fcced,5,FAIL,19,31.02,rules
3fe8a85b768ae5b7,1,FAIL,3,29.10,start/end
1284a7249a4fa10f,3,FAIL,13,33.43,rules
cbeb87b359947c42,3,FAIL,14,29.96,rules
c80d64b5c5e39d7b,5,FAIL,18,26.78,rules
24e8876585456ee5,5,FAIL,5,28.79,None
196a88635b1c83b4,4,FAIL,27,28.36,"start/end, intersecting, rules"
e82bd665d710bb75,2,FAIL,27,25.38,rules
c6739963a7308111,3,FAIL,15,29.40,rules
953c10f2e4d6fd6,2,FAIL,14,29.52,"intersecting, rules"
d91761f3ba340d,4,FAIL,22,30.24,rules
bc66c2e18fd6231b,3,FAIL,11,23.94,rules
4b236c53ea5fbbdf,3,FAIL,38,30.66,"disconnected, intersecting, rules"
5f9a92945a4ab62e,1,FAIL,14,27.11,rules
860fbc1cfd446f7c,3,FAIL,3,27.33,start/end
5b5d43da944a752d,4,FAIL,13,30.08,"disconnected, rules"
971ad9f45d1bd53b,5,FAIL,29,35.08,"intersecting, rules"
5b3d4d35ac301050,2,FAIL,19,21.56,"disconnected, intersecting, rules"
69a08c785ce5fcac,1,FAIL,9,10.34,rules
a814bed4f6905ba4,5,FAIL,37,19.35,"intersecting, rules"
f32fe4e5b37fedaa,5,FAIL,27,22.40,rules
3ba7fc567dd14312,3,FAIL,9,32.51,rules
7ce0b04c1a28cca6,1,FAIL,21,20.88,rules
8635ff1b1bcf0c2e,5,FAIL,28,21.89,"start/end, disconnected, intersecting, rules"
21df75919e7080e4,3,FAIL,13,19.16,rules
daa2db8c01da0bfa,5,FAIL,13,18.00,rules
6443d25f8c289548,3,FAIL,26,19.60,None
91158b440e1d1942,5,FAIL,18,25.31,rules
1ba6ec5d1f0c3bc6,2,FAIL,12,19.24,rules
de0f40e0c4c5852a,4,FAIL,34,20.49,"start/end, rules"
7c2cc9e25acdc10f,4,FAIL,23,17.09,"start/end, rules"
146a216115846f70,5,FAIL,12,16.28,rules
704931925890a56c,2,FAIL,25,23.14,"disconnected, rules"
22c41f4911d10461,3,FAIL,20,16.56,None
75761871763e88e3,2,FAIL,24,21.71,"disconnected, intersecting, rules"
fee7fa98ecbf4534,1,FAIL,9,15.09,rules
3abef01e5d890e13,4,FAIL,24,26.30,rules
a71c3513799bf094,2,FAIL,24,16.06,"disconnected, rules"
3b229c1d0453a603,3,FAIL,23,23.32,rules
ba867d9c182c1124,1,FAIL,18,24.61,rules
22ee8177bb6b927d,4,FAIL,12,28.48,rules
200a2fdec77f69b6,1,FAIL,10,14.13,rules
4c7b5bd02c9270d,3,FAIL,15,19.46,"intersecting, rules"
efb560f2141edf82,1,FAIL,18,14.46,rules
b7b817f9033f188,5,FAIL,23,19.89,"disconnected, intersecting, rules"
4cc3d963aecb0aec,3,FAIL,19,21.84,"disconnected, rules"
6a4a59d9017e80e2,4,FAIL,17,22.22,rules
a483b2ad65b79823,4,FAIL,15,16.47,rules
c611d73335c05ea3,3,FAIL,16,20.13,"intersecting, rules"
9fc7d6795a3be635,2,FAIL,13,19.58,rules
9b4f3b36495c1615,3,FAIL,18,23.86,"disconnected, rules"
1b62c846b90e5d1d,3,FAIL,10,26.04,"disconnected, rules"
934d99322aa22dff,1,FAIL,11,19.47,rules
cd5b6b24c51fb69a,2,FAIL,11,16.54,rules
bb9d7db6f55f1f1e,4,FAIL,27,18.40,rules
d1e03bb313e747a9,1,FAIL,6,22.10,None
e1b6f8b19d2f4176,2,FAIL,35,21.35,"disconnected, intersecting, rules"
c09ea70a605760d3,1,FAIL,11,15.86,rules
58a0f5bca3ff514c,5,FAIL,40,24.64,"disconnected, rules"
625730bf3883005c,4,FAIL,19,23.20,rules
8211b75bfb0c714d,1,FAIL,10,25.48,rules
12adf37a767b56ea,2,FAIL,13,17.17,"disconnected, rules"
4582b19904d9a029,1,FAIL,12,18.32,rules
62035ff8ad16cb71,2,FAIL,11,18.75,None
5c3f4379847796c4,4,FAIL,13,17.28,"intersecting, rules"
bc71d833fad658fb,1,FAIL,16,16.91,rules
77da6edaa689f44a,2,FAIL,21,17.80,rules
7326259652efbc9d,4,FAIL,23,23.64,rules
85f95e3fbcd76abb,3,FAIL,32,26.43,"disconnected, intersecting, rules"
bb667cb09578b4a3,5,FAIL,9,42.03,None
ad8f394763490f26,3,FAIL,32,26.69,"intersecting, rules"
3d1c8a00f582892,3,FAIL,7,11.02,rules
b10c07139b1aa490,1,FAIL,19,15.83,rules
5d259263ec5a5c9e,4,FAIL,10,20.91,rules
62d5ef592f8f91fc,3,FAIL,14,19.88,"disconnected, rules"
be49f0eca3cd4c32,1,FAIL,5,18.20,disconnected
220246750ec56ccb,2,FAIL,40,27.38,"intersecting, rules"
f425a63fc423ced0,3,FAIL,9,20.65,rules
b3e3c52cd5223942,5,FAIL,48,21.84,rules
ce576f59fcd8e5b5,4,FAIL,10,19.39,rules
d71204c97803d9a,4,FAIL,18,22.41,"disconnected, rules"
cc4ff7682e293a1b,2,FAIL,30,19.84,rules
b25e33c50909fc03,2,FAIL,14,18.25,"start/end, disconnected"
f271fc95525040b1,5,FAIL,21,17.11,"disconnected, intersecting, rules"
9390c84b6360b4bb,1,FAIL,7,12.78,rules
a454bd9c3ad0168a,5,FAIL,67,30.91,"disconnected, rules"
db130c08db23e907,1,FAIL,18,17.31,rules
5c59a67541d92c71,5,FAIL,9,20.22,None
745deea1055373eb,3,FAIL,21,20.27,rules
440d97e917325fb0,3,FAIL,17,18.63,rules
dbd181183bb9f775,4,FAIL,14,17.01,None
fef8e390bd7a2a7a,5,FAIL,16,18.48,"disconnected, rules"
3987c3fc8d33089e,3,FAIL,19,13.25,"start/end, intersecting, rules"
851365be4fc5c5e,2,PASS,2,19.00,None
e20e6b6a00158bdc,5,FAIL,15,16.58,"disconnected, rules"
841b2d97bb365b8b,4,FAIL,38,24.39,"disconnected, intersecting, rules"
b4d66071dc728f44,2,FAIL,16,20.76,rules
1e7c5367fa438e3b,5,FAIL,16,23.12,rules
b8eb6f7dd1cc9b86,1,FAIL,26,14.41,"intersecting, rules"
1796837aa68c2b76,3,FAIL,16,17.11,rules
598f03a76e659bbd,3,FAIL,21,19.60,"disconnected, intersecting, rules"
a8ea92dd47f4186b,2,FAIL,29,25.49,"disconnected, intersecting, rules"
a305fe218d16e612,4,FAIL,18,20.11,rules
d58e426a05bbebe0,4,FAIL,9,19.93,None
95baf8b98ab6874,5,FAIL,19,19.32,rules
d72e6e1a7317b676,4,FAIL,31,27.82,"disconnected, rules"
b2888d9633744522,3,FAIL,21,28.00,rules
fb69acc1bff1c7b5,2,FAIL,21,24.15,"disconnected, intersecting, rules"
1b23ec5dcd81c575,2,FAIL,11,16.45,"disconnected, rules"
dedb9695c830d9a1,5,FAIL,13,15.02,rules
94e6829bc5fe599b,4,FAIL,3,20.07,None
7f61e30cde11dfd2,5,FAIL,10,18.23,rules
ac07176ade6d4fcc,2,FAIL,31,22.27,"intersecting, rules"
aecb916b87a88a32,3,FAIL,24,24.06,"intersecting, rules"
6a3a112c0f2e831b,5,FAIL,11,17.05,rules
e836ae53a1a6b880,5,FAIL,12,18.18,rules
58d9c6f1f97d78c1,2,FAIL,22,21.29,"disconnected, rules"
10bea253035c791c,2,FAIL,11,21.44,rules
5569f16359d15a33,5,FAIL,23,18.11,None
d4af13ed1d455209,1,FAIL,12,17.95,rules
4efa50053369c63c,3,FAIL,14,14.47,rules
4088920d22fbc15a,2,FAIL,15,18.64,rules
9ecc1e98360e6c0d,3,FAIL,16,21.38,"disconnected, rules"
8b47902d43ed5c7,3,FAIL,18,16.90,"disconnected, rules"
6911f7c1419318bb,4,FAIL,21,18.68,rules
ed62498f9a7cf7a5,4,FAIL,29,20.14,"disconnected, intersecting, rules"
4b518615758126ef,3,FAIL,17,25.88,rules
a2a967199664a80,4,FAIL,34,23.30,"intersecting, rules"
93c544fa7b73dc1a,4,FAIL,28,20.44,"disconnected, rules"
b54da7bdff2713e1,2,FAIL,9,21.90,rules
2c5ddc804e5b35ba,1,FAIL,15,19.30,rules
241a28965ab741d,1,FAIL,17,16.92,rules
4a5c32111bf61aae,5,FAIL,39,22.41,None
65171c970b77339e,2,FAIL,19,21.43,"disconnected, rules"
70c971586d6ab721,1,FAIL,9,16.94,rules
dd196820fff0f585,2,FAIL,10,17.17,rules
683d3d2b64d8d1fb,4,FAIL,18,21.76,"disconnected, rules"
3ca9fa7e19e2188c,4,FAIL,17,15.18,rules
581706995f65f93d,5,FAIL,2,18.19,None
8f5dd8ca7b23f826,4,FAIL,18,12.80,rules
4c6a9d610b717d17,3,FAIL,47,28.22,"intersecting, rules"
f701ba6827f8ceff,2,FAIL,9,16.85,"disconnected, rules"
24dd9a735b612dc1,3,FAIL,15,24.16,rules
138e21433d2e6a52,2,FAIL,23,27.30,rules
72a1fec5c73b6560,4,FAIL,11,29.95,rules
86c16115d5cda6a0,5,FAIL,28,21.52,rules
2790e863a5831db9,3,FAIL,14,16.01,None
ab298046d34718be,5,FAIL,12,20.52,"disconnected, rules"
ad8274727f965b1c,1,FAIL,21,33.13,None
a722e79130881da0,2,FAIL,21,25.12,"intersecting, rules"
9435f4bc2b1cf34d,1,FAIL,13,25.69,"intersecting, rules"
2e4b26ec1c401cbe,4,FAIL,24,19.27,"intersecting, rules"
8b308dfba88e4ac,3,FAIL,16,24.09,rules
701d6d1daff25a25,2,FAIL,15,19.18,rules
f42b8d86bfb89096,1,FAIL,6,24.07,rules
c4341ab9fd5c439c,1,FAIL,11,31.49,rules
97be11048bb04a30,3,FAIL,16,16.61,"disconnected, intersecting, rules"
7f403db698db059f,1,PASS,10,13.37,None
9e892fbdd6f4c4a9,2,FAIL,16,29.24,rules
b7672ba95aff4ff6,5,FAIL,13,14.43,None
e0e6857dd441101b,2,FAIL,27,27.95,rules
a12c7a055e6395a2,2,FAIL,11,17.58,rules
e8f814f726cb4612,5,FAIL,12,16.74,rules
fc19c4a5e89d29f4,4,FAIL,35,20.58,None
4ec9d16a5a573d4e,2,FAIL,2,16.40,None
8bbb1046d8c49095,1,FAIL,18,13.93,"disconnected, intersecting, rules"
8e231f18dc7d476f,5,FAIL,20,27.54,"disconnected, intersecting, rules"
50ed62dcb0f1bce3,4,FAIL,11,17.96,rules
154515f7b4e4fe2b,2,FAIL,10,12.86,disconnected
1a43bd0f8e35bd1d,2,FAIL,33,17.83,"disconnected, intersecting, rules"
281ee792644831c5,2,FAIL,35,17.38,"intersecting, rules"
c881c033239a38de,3,FAIL,23,18.28,"disconnected, intersecting, rules"
a92cdc81d7a94775,5,FAIL,13,22.73,rules
9283bfdf68bc92a8,2,FAIL,16,20.50,rules
b7cbcba402c57078,2,FAIL,14,25.21,"disconnected, rules"
11846421c28ce2aa,4,FAIL,10,15.85,"disconnected, rules"
2a0e2b1240764998,4,FAIL,9,15.46,rules
577d6771b88eca36,3,FAIL,25,18.01,rules
9c31840855436adc,5,FAIL,18,18.22,rules
495da6f2a1c1f750,5,FAIL,4,13.70,None
544628c3b3077982,5,FAIL,22,19.63,"intersecting, rules"
95bd7bebb5849554,2,FAIL,10,16.32,rules
5daa7098e5e15b8a,3,FAIL,10,18.90,None
2d360e53c1cbf48e,2,FAIL,11,19.02,rules
ad210a7535f9228a,3,PASS,2,15.99,None
4d1f8e4f341d8ba,2,FAIL,7,17.63,"disconnected, rules"
c0bf87685a69078a,2,FAIL,10,16.62,rules
e155b38ad467ae03,5,FAIL,27,23.70,None
525f7011d139f68e,1,FAIL,5,39.88,rules
85ace8079f2972ab,3,FAIL,18,18.41,"disconnected, rules"
d79be6059dc29292,2,FAIL,16,23.80,rules
bc2d315cd19b8b76,3,FAIL,6,22.26,rules
336018fab47f526a,2,FAIL,13,28.32,rules
9a0559017cacdd9c,1,FAIL,20,18.10,"intersecting, rules"
5d4260bea3b7d613,1,FAIL,12,20.77,"intersecting, rules"
14738c1f0e0cf17e,2,FAIL,7,13.38,rules
23f41583d9fe02ee,2,FAIL,19,20.35,intersecting
58acf96418610e19,5,FAIL,22,16.15,"disconnected, intersecting, rules"
624d40ea5ad58707,2,FAIL,25,21.25,rules
9ec88d42d75e54fd,3,FAIL,23,18.86,rules
476e3c927a845ee2,3,FAIL,20,20.96,"intersecting, rules"
664bfd4472be694f,2,FAIL,14,20.18,rules
caa32446dc7ead46,2,FAIL,7,19.77,rules
4fda11641a1a910d,2,FAIL,29,20.81,"disconnected, intersecting, rules"
3e3df50762cc36ec,5,FAIL,31,20.99,"disconnected, intersecting, rules"
25d54c7266e20657,1,FAIL,24,32.55,"disconnected, rules"
6989cd6ab3949a4f,3,FAIL,16,20.08,rules
590618124bd8505f,1,FAIL,8,11.55,None
a467089dbb60a183,2,FAIL,16,29.71,rules
d7085f61b66ce173,3,FAIL,19,21.31,rules
f435579761647ddf,3,FAIL,18,22.64,rules
feae5b1edd06f1d8,3,FAIL,12,15.22,rules
d68b4a78a6f0565e,4,FAIL,11,19.17,rules
4aef1ec8290c118,3,FAIL,12,15.70,None
274e23e5326cd99e,3,FAIL,23,25.03,rules
cea6e767c4288aaa,5,FAIL,18,16.27,"intersecting, rules"
a4c2176205e2a4a2,5,FAIL,22,15.88,"disconnected, rules"
a3e158fe8036aa90,1,FAIL,10,32.55,rules
98325269e7bc1977,2,FAIL,17,16.50,"disconnected, intersecting, rules"
8dc55e8d130ea293,3,FAIL,16,25.67,rules
e090440b02df7219,3,FAIL,19,22.21,"intersecting, rules"
f758efc83c595b04,3,FAIL,9,17.24,None
ac7626649901d917,5,FAIL,31,21.35,rules
cb28e0534aa0b063,2,FAIL,126,33.23,"start/end, disconnected, intersecting, rules"
b7b14b2fbd23c24b,1,FAIL,12,15.23,"disconnected, rules"
f7c670905617d0e2,3,FAIL,14,26.25,"disconnected, rules"
cc060a01c6f06fab,1,FAIL,9,14.36,rules
a8a6d541abcb65e9,5,FAIL,24,22.48,rules
703d0229f69d6415,5,FAIL,6,23.98,None
608f0139a3c6e1de,3,FAIL,18,24.81,rules
83e85cc51ea9b2fb,5,FAIL,74,22.79,rules
899bbb366dc44689,3,FAIL,14,18.26,"disconnected, rules"
c8b18eeabcd973f1,1,FAIL,29,19.48,"intersecting, rules"
da30abc42943f24c,3,PASS,9,16.87,None
e399bce353272491,5,FAIL,20,15.41,rules
7306458c0105872e,5,FAIL,30,23.44,"intersecting, rules"
e605eb2515ac4bfe,5,FAIL,13,18.17,rules
2f52e830064190c4,1,FAIL,18,18.15,"disconnected, intersecting, rules"
226fd6aa76fd90b5,3,FAIL,41,29.13,"intersecting, rules"
70bb35cbdc82f22d,4,FAIL,4,26.91,None
c92372bd94215032,3,FAIL,16,13.90,"disconnected, intersecting, rules"
7490b794631b985e,5,FAIL,17,21.04,rules
82877e44b5aa0795,1,FAIL,2,32.57,None
5f0427651d0b984c,2,FAIL,16,17.47,rules
a6aca58a3edafcc2,3,FAIL,21,19.46,"intersecting, rules"
b9f806a3aba3a370,5,FAIL,25,21.99,"intersecting, rules"
6663c8ddf3565b3f,5,FAIL,37,25.20,"intersecting, rules"
df855ae9d3a12db5,2,FAIL,12,24.55,"disconnected, rules"
fea07309116da353,3,FAIL,22,21.50,rules
10aae2671ff44dc2,5,FAIL,24,19.22,"disconnected, intersecting, rules"
b40b772a9ef00980,1,FAIL,8,12.23,rules
cf9dfd87180659b,4,FAIL,17,20.40,rules
c2f1726c32030b96,2,FAIL,12,18.36,rules
51b9bb5cdf4abfef,3,FAIL,24,21.58,"intersecting, rules"
820399c7eebb39c2,3,FAIL,7,12.63,rules
58fff3d41575caab,4,FAIL,43,27.41,"disconnected, rules"
fed3e5eff97750d6,2,FAIL,18,22.11,"intersecting, rules"
fa1114b465eb178,2,FAIL,10,17.38,"disconnected, rules"
611f87b14c17edb2,4,FAIL,14,16.39,rules
d182949e859cba4f,2,FAIL,17,18.23,rules
cdb63ede036474c5,4,FAIL,28,21.78,"disconnected, rules"
851fd63e172dbba0,4,FAIL,2,20.87,None
4de04b3c4d15b5d5,3,FAIL,10,15.60,rules
95916b71a3f794ff,2,FAIL,18,21.27,rules
e960398c9fbd29fe,3,FAIL,8,11.91,rules
9a5dbca10f5418db,2,FAIL,7,16.41,None
857ae50f99d9f3ac,2,FAIL,22,20.56,"intersecting, rules"
a2106593071eb66a,4,FAIL,7,25.36,None
95fc27b34533357d,5,FAIL,17,22.53,rules
27a3f4a05594287b,2,FAIL,9,10.54,None
8676d8ef338255d2,4,FAIL,44,22.51,"intersecting, rules"
519594536d60e115,2,FAIL,14,18.37,"disconnected, rules"
cecbbabf056d148c,3,FAIL,18,19.16,"disconnected, rules"
9cddf98975ee77a2,3,FAIL,10,18.28,rules
969355c609397327,4,FAIL,10,19.86,None
92e56e8b713d5c9d,5,FAIL,22,16.08,"disconnected, rules"
13363083e52f42ac,5,FAIL,15,28.44,rules
d22b1d7fd116be8b,3,FAIL,12,14.86,rules
1bf8d47b32b9b719,3,FAIL,15,17.11,disconnected
d170cc270db4f272,1,FAIL,13,29.77,rules
8f1f819d287a3bb2,4,FAIL,9,14.81,rules
e10bd3e5d6963967,3,FAIL,23,21.99,"intersecting, rules"
5b6ee1f3e4e114a7,3,FAIL,7,23.00,rules
2691c37dd4b921ae,4,FAIL,27,21.87,rules
1d13ef360a0d5ca5,1,FAIL,27,18.99,"disconnected, intersecting, rules"
1f85eacd72d02d23,5,FAIL,9,15.76,"disconnected, rules"
9b274fcf3ed44212,1,FAIL,13,22.13,None
df15fe6ed4dd7df0,3,FAIL,27,22.01,"disconnected, rules"
52df57cc84fbc153,5,FAIL,39,20.13,"intersecting, rules"
cef4eaa4525b4d4a,1,FAIL,7,14.74,rules
2cdfbd4a9f364513,2,FAIL,11,13.75,rules
1ef0bc42f42911b,5,FAIL,8,14.95,None
c94de1c651355827,3,FAIL,9,18.12,rules
5faeb260f219d74a,3,FAIL,37,20.79,"disconnected, rules"
f50e2570d6d028f4,3,FAIL,2,20.20,None
8c2ad5e4cfbbc016,4,FAIL,33,24.63,"intersecting, rules"
dea5ab3b33019569,4,FAIL,38,24.52,"intersecting, rules"
22f2c48bcc4ce64f,2,FAIL,9,18.46,rules
6be507c084e691cb,2,FAIL,17,16.61,"disconnected, rules"
7952d255b6ea209c,4,FAIL,10,21.01,None
ebcbfd4fa2867c42,2,FAIL,5,16.98,rules
3a6ba4ffd84fc4c1,5,FAIL,34,24.17,"intersecting, rules"
93a638921305725f,4,FAIL,9,15.56,rules
8ea34b6d23b4761e,2,FAIL,13,17.49,rules
88fa0972b417c260,5,FAIL,4,19.33,None
6eab214d450d4dbe,4,FAIL,11,22.29,rules
66af5fa2c849be82,4,FAIL,15,21.82,rules
3b9f7395fef14327,5,FAIL,31,24.66,rules
f8999f1ddbc4e969,2,FAIL,18,19.72,"intersecting, rules"
