Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,4,0.8%
Failed,496,99.2%
,,
Fully Valid Paths,77,15.4%
Connected Paths,376,75.2%
Correct Start/End,486,97.2%
Non-Intersecting,379,75.8%
No Rule Violations,87,17.4%
,,
Avg Path Length,17.6 steps,
Min Path Length,1 steps,
Max Path Length,126 steps,
,,
Difficulty 1 Solved,1/86,1.2%
Difficulty 2 Solved,1/118,0.8%
Difficulty 3 Solved,2/121,1.7%
Difficulty 4 Solved,0/86,0.0%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,10252.6 seconds,
Avg Time per Puzzle,20.51 seconds,
Puzzles per Minute,2.9,
