Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,19,179.94,No,Yes
ebc9c10093a1255a,3,FAIL,16,161.70,No,Yes
ed40414d615431d6,3,FAIL,11,150.86,No,Yes
dce20e150e7fcced,5,FAIL,17,166.42,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,42.84,Yes,No
1284a7249a4fa10f,3,FAIL,7,91.71,No,Yes
cbeb87b359947c42,3,FAIL,16,115.21,No,Yes
c80d64b5c5e39d7b,5,FAIL,7,81.88,Yes,No
24e8876585456ee5,5,FAIL,7,57.50,No,Yes
196a88635b1c83b4,4,FAIL,5,142.23,Yes,No
e82bd665d710bb75,2,FAIL,10,60.88,Yes,No
c6739963a7308111,3,FAIL,11,165.02,No,Yes
953c10f2e4d6fd6,2,FAIL,19,175.95,Yes,No
d91761f3ba340d,4,FAIL,13,200.09,No,Yes
bc66c2e18fd6231b,3,FAIL,18,84.44,No,Yes
4b236c53ea5fbbdf,3,FAIL,33,363.67,No,Yes
5f9a92945a4ab62e,1,FAIL,8,48.38,Yes,No
860fbc1cfd446f7c,3,FAIL,1,14.79,Yes,No
5b5d43da944a752d,4,FAIL,14,54.04,Yes,No
971ad9f45d1bd53b,5,FAIL,8,40.88,Yes,No
5b3d4d35ac301050,2,FAIL,11,92.40,No,Yes
69a08c785ce5fcac,1,FAIL,2,56.86,Yes,No
a814bed4f6905ba4,5,FAIL,19,249.64,No,Yes
f32fe4e5b37fedaa,5,FAIL,19,153.80,No,Yes
3ba7fc567dd14312,3,FAIL,18,159.39,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,38.68,No,Yes
8635ff1b1bcf0c2e,5,FAIL,16,273.51,No,Yes
21df75919e7080e4,3,FAIL,12,72.59,No,Yes
daa2db8c01da0bfa,5,FAIL,10,231.58,Yes,No
6443d25f8c289548,3,FAIL,3,35.88,Yes,No
91158b440e1d1942,5,FAIL,21,276.74,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,9,224.35,No,Yes
de0f40e0c4c5852a,4,FAIL,17,254.76,No,Yes
7c2cc9e25acdc10f,4,FAIL,9,86.20,Yes,No
146a216115846f70,5,FAIL,8,112.57,No,Yes
704931925890a56c,2,FAIL,13,199.04,No,Yes
22c41f4911d10461,3,FAIL,15,151.01,No,Yes
75761871763e88e3,2,FAIL,14,155.03,Yes,No
fee7fa98ecbf4534,1,FAIL,6,18.59,Yes,No
3abef01e5d890e13,4,FAIL,13,60.40,No,Yes
a71c3513799bf094,2,FAIL,6,71.40,Yes,No
3b229c1d0453a603,3,FAIL,2,49.55,Yes,No
ba867d9c182c1124,1,FAIL,5,56.63,Yes,No
22ee8177bb6b927d,4,FAIL,5,95.38,No,Yes
200a2fdec77f69b6,1,FAIL,7,365.89,No,Yes
4c7b5bd02c9270d,3,FAIL,1,41.18,No,Yes
efb560f2141edf82,1,FAIL,15,122.14,No,Yes
b7b817f9033f188,5,FAIL,16,174.61,No,Yes
4cc3d963aecb0aec,3,FAIL,15,234.13,No,Yes
6a4a59d9017e80e2,4,FAIL,10,69.29,Yes,No
a483b2ad65b79823,4,FAIL,32,311.38,No,Yes
c611d73335c05ea3,3,FAIL,12,71.59,Yes,No
9fc7d6795a3be635,2,FAIL,11,131.69,No,Yes
9b4f3b36495c1615,3,FAIL,11,76.36,No,Yes
1b62c846b90e5d1d,3,FAIL,18,158.48,No,Yes
934d99322aa22dff,1,FAIL,2,21.06,Yes,No
cd5b6b24c51fb69a,2,FAIL,10,61.70,Yes,No
bb9d7db6f55f1f1e,4,FAIL,26,132.27,Yes,No
d1e03bb313e747a9,1,FAIL,7,55.59,No,Yes
e1b6f8b19d2f4176,2,FAIL,20,190.74,Yes,No
c09ea70a605760d3,1,FAIL,13,175.22,No,Yes
58a0f5bca3ff514c,5,FAIL,20,157.29,Yes,No
625730bf3883005c,4,FAIL,26,136.28,No,Yes
8211b75bfb0c714d,1,PASS,11,65.42,Yes,No
12adf37a767b56ea,2,FAIL,4,58.99,Yes,No
