Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,55,98.58,None
ebc9c10093a1255a,3,FAIL,26,34.23,None
ed40414d615431d6,3,PASS,10,204.02,None
dce20e150e7fcced,5,FAIL,23,92.60,None
3fe8a85b768ae5b7,1,FAIL,28,109.11,None
1284a7249a4fa10f,3,FAIL,13,166.63,None
cbeb87b359947c42,3,FAIL,14,160.75,rules
c80d64b5c5e39d7b,5,FAIL,32,103.19,None
24e8876585456ee5,5,FAIL,33,189.30,rules
196a88635b1c83b4,4,FAIL,38,208.27,rules
e82bd665d710bb75,2,PASS,23,197.80,None
c6739963a7308111,3,PASS,9,41.17,None
953c10f2e4d6fd6,2,PASS,2,64.47,None
d91761f3ba340d,4,FAIL,26,142.49,None
bc66c2e18fd6231b,3,FAIL,9,71.02,None
4b236c53ea5fbbdf,3,FAIL,6,37.51,None
5f9a92945a4ab62e,1,FAIL,8,58.99,None
860fbc1cfd446f7c,3,FAIL,52,250.34,intersecting
5b5d43da944a752d,4,PASS,10,81.36,None
971ad9f45d1bd53b,5,FAIL,0,224.58,"start/end, disconnected, intersecting, rules"
5b3d4d35ac301050,2,PASS,12,72.94,None
69a08c785ce5fcac,1,PASS,11,28.19,None
a814bed4f6905ba4,5,FAIL,15,126.65,None
f32fe4e5b37fedaa,5,FAIL,23,101.50,None
3ba7fc567dd14312,3,FAIL,15,158.66,None
7ce0b04c1a28cca6,1,PASS,25,132.37,None
8635ff1b1bcf0c2e,5,FAIL,51,230.07,"disconnected, intersecting, rules"
21df75919e7080e4,3,FAIL,9,51.61,rules
daa2db8c01da0bfa,5,FAIL,23,194.24,None
6443d25f8c289548,3,FAIL,4,33.52,None
91158b440e1d1942,5,FAIL,10,105.14,None
1ba6ec5d1f0c3bc6,2,FAIL,24,71.01,None
de0f40e0c4c5852a,4,FAIL,32,121.27,None
7c2cc9e25acdc10f,4,FAIL,28,101.68,None
146a216115846f70,5,FAIL,34,170.50,"disconnected, intersecting, rules"
704931925890a56c,2,FAIL,18,143.64,None
22c41f4911d10461,3,FAIL,28,194.49,None
75761871763e88e3,2,FAIL,19,66.43,None
fee7fa98ecbf4534,1,PASS,7,22.78,None
3abef01e5d890e13,4,FAIL,24,108.89,None
a71c3513799bf094,2,FAIL,32,182.69,"disconnected, intersecting"
3b229c1d0453a603,3,FAIL,27,111.30,None
ba867d9c182c1124,1,FAIL,16,41.93,None
22ee8177bb6b927d,4,FAIL,26,171.78,rules
200a2fdec77f69b6,1,PASS,10,20.83,None
4c7b5bd02c9270d,3,FAIL,9,104.17,None
efb560f2141edf82,1,PASS,4,50.93,None
b7b817f9033f188,5,FAIL,12,76.65,None
4cc3d963aecb0aec,3,FAIL,12,74.24,None
6a4a59d9017e80e2,4,FAIL,5,25.72,None
a483b2ad65b79823,4,FAIL,0,119.32,"start/end, disconnected, intersecting, rules"
c611d73335c05ea3,3,FAIL,26,127.62,None
9fc7d6795a3be635,2,FAIL,11,46.78,None
9b4f3b36495c1615,3,FAIL,7,46.15,"start/end, disconnected, rules"
1b62c846b90e5d1d,3,FAIL,13,47.10,None
934d99322aa22dff,1,FAIL,15,51.78,None
cd5b6b24c51fb69a,2,FAIL,2,178.22,disconnected
bb9d7db6f55f1f1e,4,FAIL,27,102.46,rules
d1e03bb313e747a9,1,FAIL,24,98.75,None
e1b6f8b19d2f4176,2,FAIL,27,49.28,None
c09ea70a605760d3,1,FAIL,15,44.77,rules
58a0f5bca3ff514c,5,FAIL,41,155.54,None
625730bf3883005c,4,PASS,27,129.61,None
8211b75bfb0c714d,1,PASS,12,20.82,None
12adf37a767b56ea,2,FAIL,11,75.61,None
4582b19904d9a029,1,FAIL,10,46.72,None
62035ff8ad16cb71,2,FAIL,23,102.40,None
5c3f4379847796c4,4,PASS,21,165.89,None
bc71d833fad658fb,1,PASS,18,105.52,None
77da6edaa689f44a,2,FAIL,19,72.77,None
7326259652efbc9d,4,FAIL,21,62.56,None
85f95e3fbcd76abb,3,FAIL,32,74.70,None
bb667cb09578b4a3,5,FAIL,47,70.48,rules
ad8f394763490f26,3,FAIL,8,63.65,None
3d1c8a00f582892,3,FAIL,13,66.39,None
b10c07139b1aa490,1,PASS,15,82.11,None
5d259263ec5a5c9e,4,FAIL,12,87.38,None
62d5ef592f8f91fc,3,FAIL,19,237.00,None
be49f0eca3cd4c32,1,PASS,24,38.61,None
220246750ec56ccb,2,FAIL,4,48.03,None
f425a63fc423ced0,3,FAIL,13,53.68,None
b3e3c52cd5223942,5,FAIL,34,161.99,None
ce576f59fcd8e5b5,4,FAIL,12,96.40,None
d71204c97803d9a,4,FAIL,23,100.82,None
cc4ff7682e293a1b,2,PASS,12,76.02,None
b25e33c50909fc03,2,FAIL,0,227.93,"start/end, disconnected, intersecting, rules"
f271fc95525040b1,5,FAIL,16,100.31,None
9390c84b6360b4bb,1,PASS,17,22.53,None
a454bd9c3ad0168a,5,FAIL,0,183.10,"start/end, disconnected, intersecting, rules"
db130c08db23e907,1,PASS,20,99.86,None
5c59a67541d92c71,5,FAIL,37,217.54,None
745deea1055373eb,3,FAIL,17,169.13,None
440d97e917325fb0,3,PASS,7,30.08,None
dbd181183bb9f775,4,FAIL,26,151.04,None
fef8e390bd7a2a7a,5,PASS,29,173.88,None
3987c3fc8d33089e,3,FAIL,42,209.72,intersecting
851365be4fc5c5e,2,PASS,2,34.45,None
e20e6b6a00158bdc,5,FAIL,32,174.18,None
841b2d97bb365b8b,4,FAIL,50,190.78,intersecting
b4d66071dc728f44,2,FAIL,14,170.90,None
1e7c5367fa438e3b,5,FAIL,22,55.28,rules
b8eb6f7dd1cc9b86,1,PASS,14,32.16,None
1796837aa68c2b76,3,FAIL,26,162.44,None
598f03a76e659bbd,3,FAIL,16,109.84,None
a8ea92dd47f4186b,2,FAIL,36,279.34,intersecting
a305fe218d16e612,4,FAIL,22,221.21,None
d58e426a05bbebe0,4,FAIL,17,137.09,None
95baf8b98ab6874,5,FAIL,7,61.72,disconnected
d72e6e1a7317b676,4,FAIL,20,83.73,None
b2888d9633744522,3,FAIL,23,112.47,None
fb69acc1bff1c7b5,2,PASS,17,102.05,None
1b23ec5dcd81c575,2,PASS,21,266.70,None
dedb9695c830d9a1,5,FAIL,23,113.42,None
94e6829bc5fe599b,4,FAIL,47,270.03,rules
7f61e30cde11dfd2,5,FAIL,26,180.86,None
ac07176ade6d4fcc,2,FAIL,31,132.45,None
aecb916b87a88a32,3,FAIL,22,62.83,rules
6a3a112c0f2e831b,5,FAIL,13,55.42,None
e836ae53a1a6b880,5,FAIL,26,290.54,None
58d9c6f1f97d78c1,2,FAIL,23,168.72,None
10bea253035c791c,2,FAIL,21,73.78,None
5569f16359d15a33,5,FAIL,43,80.56,None
d4af13ed1d455209,1,PASS,16,111.95,None
4efa50053369c63c,3,FAIL,16,147.64,None
4088920d22fbc15a,2,FAIL,19,140.10,None
9ecc1e98360e6c0d,3,FAIL,27,102.09,None
8b47902d43ed5c7,3,FAIL,9,37.50,None
6911f7c1419318bb,4,FAIL,19,156.39,None
ed62498f9a7cf7a5,4,FAIL,28,79.85,None
4b518615758126ef,3,FAIL,7,60.18,None
a2a967199664a80,4,FAIL,0,205.13,"start/end, disconnected, intersecting, rules"
93c544fa7b73dc1a,4,FAIL,29,133.04,None
b54da7bdff2713e1,2,FAIL,21,111.20,None
2c5ddc804e5b35ba,1,PASS,23,30.27,None
241a28965ab741d,1,PASS,15,30.30,None
4a5c32111bf61aae,5,FAIL,43,65.42,None
65171c970b77339e,2,FAIL,20,121.15,rules
70c971586d6ab721,1,PASS,17,65.42,None
dd196820fff0f585,2,PASS,18,95.86,None
683d3d2b64d8d1fb,4,FAIL,24,151.82,None
3ca9fa7e19e2188c,4,PASS,13,77.78,None
581706995f65f93d,5,FAIL,52,269.13,"intersecting, rules"
8f5dd8ca7b23f826,4,FAIL,40,200.74,None
4c6a9d610b717d17,3,FAIL,17,36.74,None
f701ba6827f8ceff,2,FAIL,2,223.52,None
24dd9a735b612dc1,3,FAIL,7,246.55,"start/end, disconnected, rules"
138e21433d2e6a52,2,PASS,17,39.17,None
72a1fec5c73b6560,4,FAIL,21,216.69,None
86c16115d5cda6a0,5,FAIL,0,54.20,"start/end, disconnected, intersecting, rules"
2790e863a5831db9,3,FAIL,0,93.07,"start/end, disconnected, intersecting, rules"
ab298046d34718be,5,FAIL,14,196.88,None
ad8274727f965b1c,1,PASS,21,44.96,None
a722e79130881da0,2,PASS,19,78.45,None
9435f4bc2b1cf34d,1,PASS,21,53.16,None
2e4b26ec1c401cbe,4,FAIL,8,30.83,None
8b308dfba88e4ac,3,FAIL,24,86.51,None
701d6d1daff25a25,2,FAIL,9,37.74,None
f42b8d86bfb89096,1,PASS,26,61.33,None
c4341ab9fd5c439c,1,PASS,13,17.87,None
97be11048bb04a30,3,FAIL,8,35.33,None
7f403db698db059f,1,PASS,10,22.62,None
9e892fbdd6f4c4a9,2,FAIL,16,59.04,None
b7672ba95aff4ff6,5,FAIL,12,112.78,disconnected
e0e6857dd441101b,2,FAIL,25,121.58,None
a12c7a055e6395a2,2,FAIL,5,25.20,None
e8f814f726cb4612,5,FAIL,24,216.93,rules
fc19c4a5e89d29f4,4,PASS,29,100.48,None
4ec9d16a5a573d4e,2,FAIL,2,23.08,None
8bbb1046d8c49095,1,FAIL,7,30.72,None
8e231f18dc7d476f,5,FAIL,22,95.94,rules
50ed62dcb0f1bce3,4,FAIL,41,254.08,intersecting
154515f7b4e4fe2b,2,PASS,3,26.37,None
1a43bd0f8e35bd1d,2,FAIL,23,56.94,None
281ee792644831c5,2,FAIL,35,73.90,None
c881c033239a38de,3,FAIL,12,85.15,None
a92cdc81d7a94775,5,FAIL,15,104.20,rules
9283bfdf68bc92a8,2,FAIL,14,82.30,None
b7cbcba402c57078,2,FAIL,25,327.73,None
11846421c28ce2aa,4,FAIL,24,118.40,None
