Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,34,538.89,Yes,No
ebc9c10093a1255a,3,FAIL,49,622.78,Yes,No
ed40414d615431d6,3,FAIL,5,117.12,Yes,No
dce20e150e7fcced,5,FAIL,20,331.84,Yes,No
3fe8a85b768ae5b7,1,FAIL,23,334.87,Yes,No
1284a7249a4fa10f,3,FAIL,22,342.41,Yes,No
cbeb87b359947c42,3,FAIL,9,139.60,Yes,No
c80d64b5c5e39d7b,5,FAIL,15,239.54,Yes,No
24e8876585456ee5,5,FAIL,4,104.19,Yes,No
196a88635b1c83b4,4,FAIL,15,240.78,Yes,No
e82bd665d710bb75,2,PASS,22,288.80,Yes,No
c6739963a7308111,3,FAIL,8,101.11,Yes,No
953c10f2e4d6fd6,2,PASS,1,26.61,Yes,No
d91761f3ba340d,4,FAIL,15,238.66,Yes,No
bc66c2e18fd6231b,3,FAIL,8,99.29,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,49.55,Yes,No
5f9a92945a4ab62e,1,FAIL,13,303.65,Yes,No
860fbc1cfd446f7c,3,FAIL,100,1332.82,No,Yes
5b5d43da944a752d,4,PASS,9,120.30,Yes,No
971ad9f45d1bd53b,5,FAIL,32,476.07,Yes,No
5b3d4d35ac301050,2,PASS,11,214.24,Yes,No
69a08c785ce5fcac,1,PASS,6,92.29,Yes,No
a814bed4f6905ba4,5,FAIL,16,226.50,Yes,No
f32fe4e5b37fedaa,5,FAIL,6,149.97,Yes,No
3ba7fc567dd14312,3,FAIL,14,209.98,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,247.02,Yes,No
8635ff1b1bcf0c2e,5,FAIL,13,308.72,Yes,No
21df75919e7080e4,3,FAIL,10,163.02,Yes,No
daa2db8c01da0bfa,5,FAIL,22,366.67,Yes,No
6443d25f8c289548,3,FAIL,3,58.51,Yes,No
91158b440e1d1942,5,FAIL,9,149.96,Yes,No
1ba6ec5d1f0c3bc6,2,PASS,19,235.27,Yes,No
de0f40e0c4c5852a,4,FAIL,7,124.64,Yes,No
7c2cc9e25acdc10f,4,FAIL,13,208.96,Yes,No
146a216115846f70,5,FAIL,11,136.15,Yes,No
704931925890a56c,2,FAIL,5,76.51,Yes,No
22c41f4911d10461,3,FAIL,21,243.49,Yes,No
75761871763e88e3,2,FAIL,10,156.36,Yes,No
fee7fa98ecbf4534,1,PASS,6,49.15,Yes,No
3abef01e5d890e13,4,FAIL,21,290.78,Yes,No
a71c3513799bf094,2,FAIL,38,660.07,Yes,No
3b229c1d0453a603,3,FAIL,16,226.44,Yes,No
ba867d9c182c1124,1,FAIL,5,74.23,Yes,No
22ee8177bb6b927d,4,FAIL,43,526.58,Yes,No
200a2fdec77f69b6,1,PASS,9,135.47,Yes,No
4c7b5bd02c9270d,3,FAIL,100,968.16,No,Yes
efb560f2141edf82,1,PASS,3,48.34,Yes,No
b7b817f9033f188,5,FAIL,11,190.40,Yes,No
4cc3d963aecb0aec,3,FAIL,13,231.84,Yes,No
6a4a59d9017e80e2,4,FAIL,4,59.16,Yes,No
a483b2ad65b79823,4,FAIL,16,230.99,Yes,No
c611d73335c05ea3,3,FAIL,15,198.67,Yes,No
9fc7d6795a3be635,2,PASS,10,102.28,Yes,No
9b4f3b36495c1615,3,FAIL,12,265.93,Yes,No
1b62c846b90e5d1d,3,FAIL,12,193.57,Yes,No
934d99322aa22dff,1,FAIL,78,745.57,Yes,No
cd5b6b24c51fb69a,2,FAIL,12,320.01,Yes,No
bb9d7db6f55f1f1e,4,FAIL,12,156.70,Yes,No
d1e03bb313e747a9,1,PASS,15,173.23,Yes,No
e1b6f8b19d2f4176,2,FAIL,22,282.63,Yes,No
c09ea70a605760d3,1,FAIL,28,432.06,Yes,No
58a0f5bca3ff514c,5,FAIL,20,522.74,Yes,No
625730bf3883005c,4,FAIL,12,144.92,Yes,No
8211b75bfb0c714d,1,PASS,11,154.47,Yes,No
12adf37a767b56ea,2,FAIL,4,77.55,Yes,No
4582b19904d9a029,1,FAIL,9,120.64,Yes,No
62035ff8ad16cb71,2,FAIL,24,366.66,Yes,No
5c3f4379847796c4,4,FAIL,8,189.01,Yes,No
bc71d833fad658fb,1,FAIL,9,250.47,Yes,No
77da6edaa689f44a,2,FAIL,6,82.05,Yes,No
7326259652efbc9d,4,FAIL,22,345.78,Yes,No
85f95e3fbcd76abb,3,FAIL,35,447.61,Yes,No
bb667cb09578b4a3,5,FAIL,22,281.51,Yes,No
ad8f394763490f26,3,PASS,13,151.18,Yes,No
3d1c8a00f582892,3,FAIL,6,112.78,Yes,No
b10c07139b1aa490,1,PASS,12,171.39,Yes,No
5d259263ec5a5c9e,4,FAIL,7,95.12,Yes,No
62d5ef592f8f91fc,3,FAIL,10,108.34,Yes,No
be49f0eca3cd4c32,1,FAIL,15,192.44,Yes,No
220246750ec56ccb,2,FAIL,3,29.78,Yes,No
f425a63fc423ced0,3,FAIL,8,149.59,Yes,No
b3e3c52cd5223942,5,FAIL,100,928.25,No,Yes
ce576f59fcd8e5b5,4,FAIL,21,366.25,Yes,No
d71204c97803d9a,4,FAIL,18,316.56,Yes,No
cc4ff7682e293a1b,2,FAIL,19,274.86,Yes,No
