Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,13,437.83,No,Yes
ebc9c10093a1255a,3,FAIL,22,666.00,No,Yes
ed40414d615431d6,3,FAIL,5,235.33,Yes,No
dce20e150e7fcced,5,FAIL,15,403.78,No,Yes
3fe8a85b768ae5b7,1,FAIL,19,627.60,Yes,No
1284a7249a4fa10f,3,FAIL,4,164.84,Yes,No
cbeb87b359947c42,3,FAIL,26,820.71,No,Yes
c80d64b5c5e39d7b,5,FAIL,30,893.16,No,Yes
24e8876585456ee5,5,FAIL,21,604.50,No,Yes
196a88635b1c83b4,4,FAIL,24,639.06,Yes,No
e82bd665d710bb75,2,FAIL,14,421.49,Yes,No
c6739963a7308111,3,FAIL,8,352.51,Yes,No
953c10f2e4d6fd6,2,FAIL,12,400.43,No,Yes
d91761f3ba340d,4,FAIL,18,553.16,No,Yes
bc66c2e18fd6231b,3,FAIL,12,301.51,No,Yes
4b236c53ea5fbbdf,3,FAIL,5,268.72,Yes,No
5f9a92945a4ab62e,1,FAIL,8,240.44,No,Yes
860fbc1cfd446f7c,3,FAIL,7,235.11,No,Yes
5b5d43da944a752d,4,PASS,9,275.89,Yes,No
971ad9f45d1bd53b,5,FAIL,9,330.08,No,Yes
5b3d4d35ac301050,2,FAIL,9,280.85,No,Yes
69a08c785ce5fcac,1,FAIL,2,130.86,Yes,No
a814bed4f6905ba4,5,FAIL,17,527.07,No,Yes
f32fe4e5b37fedaa,5,FAIL,17,561.26,No,Yes
3ba7fc567dd14312,3,FAIL,10,307.67,Yes,No
7ce0b04c1a28cca6,1,FAIL,19,521.51,No,Yes
8635ff1b1bcf0c2e,5,FAIL,13,531.50,No,Yes
21df75919e7080e4,3,FAIL,15,500.58,No,Yes
daa2db8c01da0bfa,5,FAIL,14,517.52,Yes,No
6443d25f8c289548,3,FAIL,3,137.98,Yes,No
91158b440e1d1942,5,FAIL,21,655.20,No,Yes
1ba6ec5d1f0c3bc6,2,PASS,17,456.68,Yes,No
de0f40e0c4c5852a,4,FAIL,9,370.03,Yes,No
7c2cc9e25acdc10f,4,FAIL,19,513.38,Yes,No
146a216115846f70,5,FAIL,23,786.51,Yes,No
704931925890a56c,2,FAIL,3,122.47,Yes,No
22c41f4911d10461,3,FAIL,21,601.62,Yes,No
75761871763e88e3,2,FAIL,19,559.71,No,Yes
fee7fa98ecbf4534,1,PASS,10,280.20,Yes,No
3abef01e5d890e13,4,FAIL,21,687.67,No,Yes
a71c3513799bf094,2,FAIL,17,554.43,No,Yes
3b229c1d0453a603,3,FAIL,2,126.75,Yes,No
ba867d9c182c1124,1,FAIL,5,177.48,Yes,No
22ee8177bb6b927d,4,FAIL,10,333.11,No,Yes
200a2fdec77f69b6,1,FAIL,4,164.51,No,Yes
4c7b5bd02c9270d,3,FAIL,8,268.33,Yes,No
efb560f2141edf82,1,PASS,3,162.83,Yes,No
