Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,28,40.97,"start/end, intersecting, rules"
ebc9c10093a1255a,3,FAIL,10,45.01,rules
ed40414d615431d6,3,FAIL,28,33.81,"start/end, disconnected, intersecting, rules"
dce20e150e7fcced,5,FAIL,3,27.92,start/end
3fe8a85b768ae5b7,1,FAIL,21,29.25,start/end
1284a7249a4fa10f,3,FAIL,13,41.26,start/end
cbeb87b359947c42,3,FAIL,23,47.87,"start/end, disconnected"
c80d64b5c5e39d7b,5,FAIL,29,29.63,"start/end, rules"
24e8876585456ee5,5,FAIL,24,27.35,start/end
196a88635b1c83b4,4,FAIL,8,31.68,"start/end, rules"
e82bd665d710bb75,2,FAIL,11,34.67,None
c6739963a7308111,3,FAIL,11,38.81,"disconnected, rules"
953c10f2e4d6fd6,2,FAIL,11,34.92,start/end
d91761f3ba340d,4,FAIL,28,32.05,rules
bc66c2e18fd6231b,3,FAIL,4,38.27,start/end
4b236c53ea5fbbdf,3,FAIL,2,32.42,start/end
5f9a92945a4ab62e,1,FAIL,10,47.60,"start/end, disconnected, intersecting"
860fbc1cfd446f7c,3,FAIL,6,36.64,rules
5b5d43da944a752d,4,FAIL,17,38.67,"start/end, rules"
971ad9f45d1bd53b,5,FAIL,33,36.97,"start/end, rules"
5b3d4d35ac301050,2,FAIL,0,36.80,"start/end, disconnected, intersecting, rules"
69a08c785ce5fcac,1,FAIL,7,32.18,"start/end, rules"
a814bed4f6905ba4,5,FAIL,22,44.34,start/end
f32fe4e5b37fedaa,5,FAIL,29,32.73,rules
3ba7fc567dd14312,3,FAIL,22,27.80,start/end
7ce0b04c1a28cca6,1,FAIL,13,33.62,"start/end, rules"
8635ff1b1bcf0c2e,5,FAIL,22,28.22,"start/end, rules"
21df75919e7080e4,3,FAIL,15,33.51,start/end
daa2db8c01da0bfa,5,FAIL,26,18.46,"start/end, intersecting"
6443d25f8c289548,3,FAIL,22,35.84,start/end
91158b440e1d1942,5,FAIL,28,33.58,"start/end, rules"
1ba6ec5d1f0c3bc6,2,FAIL,22,32.65,start/end
de0f40e0c4c5852a,4,FAIL,32,23.21,"start/end, disconnected, rules"
7c2cc9e25acdc10f,4,FAIL,38,34.58,"start/end, rules"
146a216115846f70,5,FAIL,2,31.05,start/end
704931925890a56c,2,FAIL,10,31.27,"start/end, disconnected, intersecting, rules"
22c41f4911d10461,3,FAIL,10,33.74,"start/end, disconnected"
75761871763e88e3,2,FAIL,3,39.98,start/end
fee7fa98ecbf4534,1,FAIL,9,27.20,rules
3abef01e5d890e13,4,FAIL,2,26.96,start/end
a71c3513799bf094,2,FAIL,18,31.78,"start/end, rules"
3b229c1d0453a603,3,FAIL,22,39.93,start/end
ba867d9c182c1124,1,FAIL,22,33.72,"start/end, disconnected, rules"
22ee8177bb6b927d,4,FAIL,22,37.89,"start/end, disconnected"
200a2fdec77f69b6,1,FAIL,24,26.17,start/end
4c7b5bd02c9270d,3,FAIL,19,36.49,start/end
efb560f2141edf82,1,FAIL,22,33.16,start/end
b7b817f9033f188,5,FAIL,24,29.27,"start/end, intersecting, rules"
4cc3d963aecb0aec,3,FAIL,22,35.22,start/end
6a4a59d9017e80e2,4,FAIL,7,32.80,"start/end, rules"
a483b2ad65b79823,4,FAIL,2,36.71,start/end
c611d73335c05ea3,3,FAIL,20,42.98,"start/end, disconnected"
9fc7d6795a3be635,2,FAIL,19,37.36,rules
9b4f3b36495c1615,3,FAIL,2,33.65,start/end
1b62c846b90e5d1d,3,FAIL,22,40.44,"start/end, disconnected"
934d99322aa22dff,1,FAIL,5,30.45,start/end
cd5b6b24c51fb69a,2,FAIL,7,26.04,start/end
bb9d7db6f55f1f1e,4,FAIL,22,25.47,start/end
d1e03bb313e747a9,1,FAIL,24,34.04,"start/end, disconnected"
e1b6f8b19d2f4176,2,FAIL,18,38.23,"start/end, disconnected, rules"
c09ea70a605760d3,1,FAIL,7,43.02,disconnected
58a0f5bca3ff514c,5,FAIL,24,43.32,"start/end, disconnected, rules"
625730bf3883005c,4,FAIL,22,41.51,start/end
8211b75bfb0c714d,1,FAIL,5,45.34,start/end
12adf37a767b56ea,2,FAIL,23,33.33,"start/end, disconnected"
4582b19904d9a029,1,FAIL,9,42.86,start/end
62035ff8ad16cb71,2,FAIL,23,31.48,start/end
5c3f4379847796c4,4,FAIL,24,33.56,start/end
bc71d833fad658fb,1,FAIL,3,34.87,start/end
77da6edaa689f44a,2,FAIL,13,32.59,start/end
7326259652efbc9d,4,FAIL,24,34.46,start/end
85f95e3fbcd76abb,3,FAIL,2,39.36,None
bb667cb09578b4a3,5,FAIL,1,31.49,start/end
ad8f394763490f26,3,FAIL,22,32.48,start/end
3d1c8a00f582892,3,FAIL,19,42.46,"start/end, disconnected, intersecting, rules"
b10c07139b1aa490,1,FAIL,18,30.67,start/end
5d259263ec5a5c9e,4,FAIL,18,32.35,"start/end, rules"
62d5ef592f8f91fc,3,FAIL,1,33.49,start/end
be49f0eca3cd4c32,1,FAIL,4,21.46,start/end
220246750ec56ccb,2,FAIL,22,30.00,"start/end, disconnected"
f425a63fc423ced0,3,FAIL,24,29.59,start/end
b3e3c52cd5223942,5,FAIL,14,40.44,"start/end, rules"
ce576f59fcd8e5b5,4,FAIL,24,30.82,"start/end, rules"
d71204c97803d9a,4,FAIL,15,34.12,None
cc4ff7682e293a1b,2,FAIL,24,24.41,start/end
b25e33c50909fc03,2,FAIL,23,27.24,"start/end, disconnected, intersecting"
f271fc95525040b1,5,FAIL,22,36.55,start/end
9390c84b6360b4bb,1,FAIL,3,38.60,disconnected
a454bd9c3ad0168a,5,FAIL,20,34.12,"start/end, rules"
db130c08db23e907,1,FAIL,21,43.37,"start/end, disconnected, rules"
5c59a67541d92c71,5,FAIL,40,42.44,"start/end, rules"
745deea1055373eb,3,FAIL,32,36.53,start/end
440d97e917325fb0,3,FAIL,1,30.22,start/end
dbd181183bb9f775,4,FAIL,10,40.79,"start/end, rules"
fef8e390bd7a2a7a,5,FAIL,21,45.20,start/end
3987c3fc8d33089e,3,FAIL,2,24.86,disconnected
851365be4fc5c5e,2,PASS,2,41.55,None
e20e6b6a00158bdc,5,FAIL,24,30.96,start/end
841b2d97bb365b8b,4,FAIL,6,38.36,"start/end, disconnected, rules"
b4d66071dc728f44,2,FAIL,1,44.56,start/end
1e7c5367fa438e3b,5,FAIL,15,33.15,start/end
b8eb6f7dd1cc9b86,1,FAIL,13,35.19,"start/end, rules"
1796837aa68c2b76,3,FAIL,4,31.69,start/end
598f03a76e659bbd,3,FAIL,22,41.61,start/end
a8ea92dd47f4186b,2,FAIL,7,27.13,start/end
a305fe218d16e612,4,FAIL,10,18.55,rules
d58e426a05bbebe0,4,FAIL,22,38.31,"start/end, disconnected, rules"
95baf8b98ab6874,5,FAIL,3,31.13,start/end
d72e6e1a7317b676,4,FAIL,24,39.80,start/end
