Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,7,455.56,No,Yes
ebc9c10093a1255a,3,FAIL,38,763.31,No,Yes
ed40414d615431d6,3,FAIL,25,394.39,No,Yes
3fe8a85b768ae5b7,1,FAIL,53,782.66,No,Yes
1284a7249a4fa10f,3,FAIL,4,170.08,Yes,No
c80d64b5c5e39d7b,5,FAIL,16,355.86,No,Yes
24e8876585456ee5,5,FAIL,4,83.43,Yes,No
196a88635b1c83b4,4,FAIL,14,207.07,Yes,No
e82bd665d710bb75,2,FAIL,10,157.58,Yes,No
c6739963a7308111,3,FAIL,8,170.14,Yes,No
953c10f2e4d6fd6,2,PASS,3,186.53,Yes,No
d91761f3ba340d,4,FAIL,27,401.91,No,Yes
bc66c2e18fd6231b,3,FAIL,23,407.21,No,Yes
4b236c53ea5fbbdf,3,FAIL,9,400.52,Yes,No
860fbc1cfd446f7c,3,FAIL,8,139.52,No,Yes
5b5d43da944a752d,4,FAIL,18,402.76,Yes,No
971ad9f45d1bd53b,5,FAIL,10,129.14,Yes,No
5b3d4d35ac301050,2,FAIL,7,293.99,No,Yes
69a08c785ce5fcac,1,FAIL,2,105.81,Yes,No
a814bed4f6905ba4,5,FAIL,28,658.45,No,Yes
f32fe4e5b37fedaa,5,FAIL,6,185.12,Yes,No
3ba7fc567dd14312,3,FAIL,9,199.24,Yes,No
7ce0b04c1a28cca6,1,FAIL,18,267.89,Yes,No
8635ff1b1bcf0c2e,5,FAIL,17,375.93,Yes,No
daa2db8c01da0bfa,5,FAIL,33,496.61,No,Yes
6443d25f8c289548,3,FAIL,18,302.39,No,Yes
91158b440e1d1942,5,FAIL,10,238.48,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,25,432.46,Yes,No
de0f40e0c4c5852a,4,FAIL,30,462.71,No,Yes
7c2cc9e25acdc10f,4,FAIL,32,505.44,Yes,No
146a216115846f70,5,FAIL,27,511.05,No,Yes
704931925890a56c,2,FAIL,20,225.68,Yes,No
22c41f4911d10461,3,FAIL,13,276.16,No,Yes
fee7fa98ecbf4534,1,FAIL,10,251.73,Yes,No
3abef01e5d890e13,4,FAIL,12,358.18,No,Yes
a71c3513799bf094,2,FAIL,18,395.33,No,Yes
3b229c1d0453a603,3,FAIL,4,142.42,Yes,No
ba867d9c182c1124,1,FAIL,13,327.42,Yes,No
22ee8177bb6b927d,4,FAIL,15,547.89,No,Yes
200a2fdec77f69b6,1,FAIL,11,419.11,No,Yes
4c7b5bd02c9270d,3,FAIL,14,361.18,No,Yes
efb560f2141edf82,1,PASS,3,48.33,Yes,No
b7b817f9033f188,5,FAIL,30,668.36,No,Yes
4cc3d963aecb0aec,3,FAIL,26,507.22,Yes,No
6a4a59d9017e80e2,4,FAIL,15,273.52,No,Yes
a483b2ad65b79823,4,FAIL,9,173.20,No,Yes
c611d73335c05ea3,3,FAIL,10,434.83,No,Yes
9fc7d6795a3be635,2,FAIL,21,339.88,No,Yes
1b62c846b90e5d1d,3,FAIL,28,502.53,No,Yes
cd5b6b24c51fb69a,2,FAIL,3,33.92,No,Yes
bb9d7db6f55f1f1e,4,FAIL,14,368.90,No,Yes
d1e03bb313e747a9,1,FAIL,13,316.88,No,Yes
e1b6f8b19d2f4176,2,FAIL,15,160.67,Yes,No
58a0f5bca3ff514c,5,FAIL,15,841.86,No,Yes
625730bf3883005c,4,FAIL,12,228.62,No,Yes
4582b19904d9a029,1,FAIL,10,186.14,No,Yes
62035ff8ad16cb71,2,FAIL,17,322.47,No,Yes
bc71d833fad658fb,1,FAIL,5,137.00,Yes,No
77da6edaa689f44a,2,FAIL,19,436.86,No,Yes
7326259652efbc9d,4,FAIL,22,457.79,Yes,No
bb667cb09578b4a3,5,FAIL,11,226.69,No,Yes
ad8f394763490f26,3,FAIL,4,194.02,Yes,No
3d1c8a00f582892,3,FAIL,20,296.56,No,Yes
b10c07139b1aa490,1,FAIL,25,666.66,No,Yes
62d5ef592f8f91fc,3,FAIL,21,518.28,No,Yes
be49f0eca3cd4c32,1,FAIL,15,254.24,No,Yes
220246750ec56ccb,2,FAIL,24,669.14,Yes,No
f425a63fc423ced0,3,PASS,12,280.50,Yes,No
b3e3c52cd5223942,5,FAIL,21,355.30,Yes,No
ce576f59fcd8e5b5,4,FAIL,16,441.15,No,Yes
d71204c97803d9a,4,FAIL,30,768.83,No,Yes
cc4ff7682e293a1b,2,FAIL,8,398.49,No,Yes
b25e33c50909fc03,2,FAIL,12,449.96,Yes,No
a454bd9c3ad0168a,5,FAIL,10,169.04,Yes,No
db130c08db23e907,1,FAIL,19,308.62,No,Yes
5c59a67541d92c71,5,FAIL,14,306.79,Yes,No
745deea1055373eb,3,FAIL,19,347.60,Yes,No
440d97e917325fb0,3,PASS,7,143.41,Yes,No
dbd181183bb9f775,4,FAIL,13,259.78,No,Yes
fef8e390bd7a2a7a,5,FAIL,27,323.74,No,Yes
3987c3fc8d33089e,3,FAIL,13,233.00,No,Yes
851365be4fc5c5e,2,PASS,1,40.48,Yes,No
e20e6b6a00158bdc,5,FAIL,39,611.74,No,Yes
841b2d97bb365b8b,4,FAIL,20,344.63,No,Yes
1e7c5367fa438e3b,5,FAIL,23,396.14,Yes,No
b8eb6f7dd1cc9b86,1,PASS,17,480.03,Yes,No
1796837aa68c2b76,3,FAIL,14,266.79,No,Yes
598f03a76e659bbd,3,FAIL,12,240.06,No,Yes
a8ea92dd47f4186b,2,FAIL,18,371.61,No,Yes
d58e426a05bbebe0,4,FAIL,15,339.68,Yes,No
95baf8b98ab6874,5,FAIL,9,210.13,Yes,No
b2888d9633744522,3,FAIL,10,157.14,Yes,No
fb69acc1bff1c7b5,2,FAIL,1,34.82,No,Yes
1b23ec5dcd81c575,2,FAIL,17,235.63,No,Yes
dedb9695c830d9a1,5,FAIL,41,696.80,No,Yes
94e6829bc5fe599b,4,FAIL,16,225.72,Yes,No
7f61e30cde11dfd2,5,FAIL,10,178.68,Yes,No
ac07176ade6d4fcc,2,FAIL,9,395.18,Yes,No
aecb916b87a88a32,3,FAIL,1,20.43,Yes,No
6a3a112c0f2e831b,5,FAIL,13,389.91,No,Yes
e836ae53a1a6b880,5,FAIL,15,257.29,Yes,No
10bea253035c791c,2,FAIL,23,617.20,No,Yes
5569f16359d15a33,5,FAIL,16,576.83,No,Yes
d4af13ed1d455209,1,FAIL,15,411.55,Yes,No
4efa50053369c63c,3,FAIL,18,371.35,No,Yes
4088920d22fbc15a,2,FAIL,11,432.73,Yes,No
9ecc1e98360e6c0d,3,FAIL,7,366.21,No,Yes
8b47902d43ed5c7,3,FAIL,12,535.99,Yes,No
6911f7c1419318bb,4,FAIL,14,266.91,No,Yes
ed62498f9a7cf7a5,4,FAIL,20,565.62,No,Yes
4b518615758126ef,3,FAIL,13,357.24,No,Yes
a2a967199664a80,4,FAIL,12,780.92,No,Yes
93c544fa7b73dc1a,4,FAIL,12,298.26,Yes,No
2c5ddc804e5b35ba,1,FAIL,26,570.69,Yes,No
241a28965ab741d,1,FAIL,22,592.88,No,Yes
4a5c32111bf61aae,5,FAIL,3,562.48,Yes,No
65171c970b77339e,2,FAIL,5,147.77,Yes,No
70c971586d6ab721,1,FAIL,3,128.95,No,Yes
dd196820fff0f585,2,FAIL,7,333.15,Yes,No
683d3d2b64d8d1fb,4,FAIL,17,330.90,No,Yes
3ca9fa7e19e2188c,4,FAIL,38,627.70,No,Yes
581706995f65f93d,5,FAIL,1,58.29,Yes,No
8f5dd8ca7b23f826,4,FAIL,1,147.35,Yes,No
4c6a9d610b717d17,3,FAIL,10,220.56,No,Yes
f701ba6827f8ceff,2,FAIL,20,282.22,No,Yes
24dd9a735b612dc1,3,FAIL,15,328.20,No,Yes
86c16115d5cda6a0,5,FAIL,40,937.10,No,Yes
2790e863a5831db9,3,FAIL,20,460.86,No,Yes
ab298046d34718be,5,FAIL,20,346.65,No,Yes
ad8274727f965b1c,1,FAIL,7,171.60,No,Yes
9435f4bc2b1cf34d,1,FAIL,22,324.03,No,Yes
2e4b26ec1c401cbe,4,FAIL,10,258.31,No,Yes
8b308dfba88e4ac,3,FAIL,2,37.23,Yes,No
701d6d1daff25a25,2,FAIL,17,242.40,No,Yes
f42b8d86bfb89096,1,FAIL,5,123.84,Yes,No
c4341ab9fd5c439c,1,FAIL,3,78.94,No,Yes
9e892fbdd6f4c4a9,2,FAIL,21,485.19,No,Yes
b7672ba95aff4ff6,5,FAIL,36,769.30,No,Yes
e0e6857dd441101b,2,FAIL,18,598.69,No,Yes
a12c7a055e6395a2,2,FAIL,34,514.40,No,Yes
e8f814f726cb4612,5,FAIL,16,523.47,No,Yes
4ec9d16a5a573d4e,2,FAIL,1,43.08,Yes,No
8bbb1046d8c49095,1,FAIL,6,155.19,Yes,No
8e231f18dc7d476f,5,FAIL,41,840.03,Yes,No
50ed62dcb0f1bce3,4,FAIL,13,216.66,No,Yes
154515f7b4e4fe2b,2,FAIL,17,229.96,No,Yes
1a43bd0f8e35bd1d,2,FAIL,6,92.99,Yes,No
c881c033239a38de,3,FAIL,20,305.10,No,Yes
a92cdc81d7a94775,5,FAIL,18,378.04,Yes,No
9283bfdf68bc92a8,2,FAIL,19,301.24,Yes,No
b7cbcba402c57078,2,FAIL,13,322.58,No,Yes
11846421c28ce2aa,4,FAIL,10,212.51,No,Yes
2a0e2b1240764998,4,FAIL,6,46.19,Yes,No
577d6771b88eca36,3,FAIL,19,461.24,No,Yes
9c31840855436adc,5,FAIL,22,434.85,No,Yes
495da6f2a1c1f750,5,FAIL,24,443.95,No,Yes
95bd7bebb5849554,2,FAIL,1,86.19,Yes,No
5daa7098e5e15b8a,3,FAIL,31,550.83,No,Yes
2d360e53c1cbf48e,2,FAIL,13,362.65,Yes,No
ad210a7535f9228a,3,PASS,1,37.18,Yes,No
c0bf87685a69078a,2,FAIL,3,245.47,Yes,No
e155b38ad467ae03,5,FAIL,11,364.92,Yes,No
525f7011d139f68e,1,FAIL,6,139.61,Yes,No
85ace8079f2972ab,3,FAIL,34,424.01,No,Yes
bc2d315cd19b8b76,3,FAIL,11,297.77,No,Yes
9a0559017cacdd9c,1,FAIL,7,126.95,Yes,No
14738c1f0e0cf17e,2,FAIL,2,67.91,No,Yes
23f41583d9fe02ee,2,FAIL,4,58.89,Yes,No
58acf96418610e19,5,FAIL,24,644.26,No,Yes
624d40ea5ad58707,2,FAIL,15,522.25,No,Yes
9ec88d42d75e54fd,3,FAIL,19,509.19,No,Yes
664bfd4472be694f,2,FAIL,3,142.08,Yes,No
caa32446dc7ead46,2,FAIL,3,128.44,No,Yes
4fda11641a1a910d,2,FAIL,3,231.07,No,Yes
3e3df50762cc36ec,5,FAIL,29,564.09,Yes,No
25d54c7266e20657,1,FAIL,20,367.99,No,Yes
6989cd6ab3949a4f,3,FAIL,7,590.23,No,Yes
590618124bd8505f,1,FAIL,1,206.39,No,Yes
a467089dbb60a183,2,FAIL,6,479.69,No,Yes
d7085f61b66ce173,3,FAIL,22,447.53,No,Yes
f435579761647ddf,3,FAIL,15,328.61,Yes,No
feae5b1edd06f1d8,3,FAIL,20,450.74,No,Yes
d68b4a78a6f0565e,4,FAIL,13,444.67,Yes,No
4aef1ec8290c118,3,FAIL,21,353.15,No,Yes
cea6e767c4288aaa,5,FAIL,25,486.25,No,Yes
a3e158fe8036aa90,1,FAIL,8,327.37,No,Yes
98325269e7bc1977,2,FAIL,18,354.35,No,Yes
8dc55e8d130ea293,3,FAIL,8,335.50,No,Yes
e090440b02df7219,3,FAIL,1,58.11,No,Yes
f758efc83c595b04,3,FAIL,9,242.22,Yes,No
ac7626649901d917,5,FAIL,24,422.98,No,Yes
cb28e0534aa0b063,2,FAIL,13,380.74,No,Yes
b7b14b2fbd23c24b,1,FAIL,12,197.78,No,Yes
f7c670905617d0e2,3,FAIL,15,271.24,No,Yes
cc060a01c6f06fab,1,FAIL,17,430.79,Yes,No
a8a6d541abcb65e9,5,FAIL,25,519.99,Yes,No
703d0229f69d6415,5,FAIL,6,531.24,Yes,No
608f0139a3c6e1de,3,FAIL,8,188.48,No,Yes
83e85cc51ea9b2fb,5,FAIL,12,713.94,No,Yes
899bbb366dc44689,3,FAIL,2,79.18,Yes,No
c8b18eeabcd973f1,1,FAIL,13,286.75,No,Yes
da30abc42943f24c,3,FAIL,12,211.97,No,Yes
e399bce353272491,5,FAIL,10,230.28,Yes,No
7306458c0105872e,5,FAIL,14,376.18,Yes,No
e605eb2515ac4bfe,5,FAIL,10,126.69,Yes,No
2f52e830064190c4,1,FAIL,15,282.45,No,Yes
226fd6aa76fd90b5,3,FAIL,23,484.04,Yes,No
