Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
3fe8a85b768ae5b7,1,FAIL,1,1723.77,Yes,No
1284a7249a4fa10f,3,FAIL,8,161.44,Yes,No
cbeb87b359947c42,3,FAIL,50,1587.26,Yes,No
c80d64b5c5e39d7b,5,FAIL,19,466.96,Yes,No
24e8876585456ee5,5,FAIL,4,191.19,Yes,No
196a88635b1c83b4,4,FAIL,5,125.49,Yes,No
e82bd665d710bb75,2,FAIL,17,562.17,Yes,No
c6739963a7308111,3,PASS,47,836.01,Yes,No
953c10f2e4d6fd6,2,PASS,9,229.98,Yes,No
860fbc1cfd446f7c,3,FAIL,3,559.16,Yes,No
971ad9f45d1bd53b,5,FAIL,54,1352.94,Yes,No
f32fe4e5b37fedaa,5,FAIL,10,257.09,Yes,No
8635ff1b1bcf0c2e,5,FAIL,32,1082.27,Yes,No
daa2db8c01da0bfa,5,FAIL,16,421.39,Yes,No
704931925890a56c,2,FAIL,5,78.91,Yes,No
a71c3513799bf094,2,FAIL,7,241.68,Yes,No
3b229c1d0453a603,3,FAIL,5,132.99,Yes,No
ba867d9c182c1124,1,FAIL,10,336.69,Yes,No
22ee8177bb6b927d,4,FAIL,41,1368.00,Yes,No
200a2fdec77f69b6,1,PASS,18,571.98,Yes,No
4c7b5bd02c9270d,3,FAIL,32,1392.94,Yes,No
efb560f2141edf82,1,FAIL,23,697.70,Yes,No
c611d73335c05ea3,3,FAIL,33,1585.88,Yes,No
9fc7d6795a3be635,2,PASS,14,296.85,Yes,No
1b62c846b90e5d1d,3,FAIL,16,282.43,Yes,No
934d99322aa22dff,1,FAIL,3,33.48,Yes,No
12adf37a767b56ea,2,FAIL,5,1168.02,Yes,No
5c3f4379847796c4,4,FAIL,21,1089.09,Yes,No
bc71d833fad658fb,1,FAIL,7,508.05,Yes,No
77da6edaa689f44a,2,FAIL,30,738.40,Yes,No
7326259652efbc9d,4,FAIL,24,943.22,Yes,No
85f95e3fbcd76abb,3,FAIL,1,168.76,Yes,No
ad8f394763490f26,3,FAIL,9,993.64,Yes,No
