Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,63,12.89,"intersecting, rules"
ebc9c10093a1255a,3,FAIL,38,16.04,"intersecting, rules"
ed40414d615431d6,3,FAIL,20,30.93,"intersecting, rules"
dce20e150e7fcced,5,FAIL,35,13.17,"intersecting, rules"
3fe8a85b768ae5b7,1,FAIL,2,24.37,None
1284a7249a4fa10f,3,FAIL,27,18.59,"disconnected, rules"
cbeb87b359947c42,3,FAIL,19,16.61,"disconnected, rules"
c80d64b5c5e39d7b,5,FAIL,48,20.95,"intersecting, rules"
24e8876585456ee5,5,FAIL,11,18.25,rules
196a88635b1c83b4,4,FAIL,26,17.78,"intersecting, rules"
e82bd665d710bb75,2,FAIL,15,17.99,rules
c6739963a7308111,3,PASS,9,19.45,None
953c10f2e4d6fd6,2,FAIL,17,20.69,"disconnected, intersecting, rules"
d91761f3ba340d,4,FAIL,34,23.35,"intersecting, rules"
bc66c2e18fd6231b,3,FAIL,35,19.07,"intersecting, rules"
4b236c53ea5fbbdf,3,FAIL,24,25.60,"start/end, rules"
5f9a92945a4ab62e,1,FAIL,20,14.14,"intersecting, rules"
860fbc1cfd446f7c,3,FAIL,24,17.31,"intersecting, rules"
5b5d43da944a752d,4,FAIL,15,25.65,"disconnected, rules"
971ad9f45d1bd53b,5,FAIL,31,18.34,rules
5b3d4d35ac301050,2,FAIL,15,17.52,"disconnected, rules"
69a08c785ce5fcac,1,FAIL,15,25.37,intersecting
a814bed4f6905ba4,5,FAIL,15,14.44,None
f32fe4e5b37fedaa,5,FAIL,27,21.40,"intersecting, rules"
3ba7fc567dd14312,3,FAIL,31,19.76,rules
7ce0b04c1a28cca6,1,FAIL,13,16.08,rules
8635ff1b1bcf0c2e,5,FAIL,42,18.74,rules
21df75919e7080e4,3,FAIL,13,13.08,rules
daa2db8c01da0bfa,5,FAIL,35,17.77,"intersecting, rules"
6443d25f8c289548,3,FAIL,7,6.56,"start/end, rules"
91158b440e1d1942,5,FAIL,42,12.01,"intersecting, rules"
1ba6ec5d1f0c3bc6,2,FAIL,14,10.71,rules
de0f40e0c4c5852a,4,FAIL,32,19.95,rules
7c2cc9e25acdc10f,4,FAIL,20,10.90,rules
