Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,41,350.86,"intersecting, rules"
ebc9c10093a1255a,3,FAIL,28,284.67,rules
ed40414d615431d6,3,FAIL,10,381.86,rules
dce20e150e7fcced,5,FAIL,23,527.24,None
3fe8a85b768ae5b7,1,FAIL,36,471.24,"intersecting, rules"
1284a7249a4fa10f,3,FAIL,15,546.47,rules
cbeb87b359947c42,3,FAIL,16,384.93,rules
c80d64b5c5e39d7b,5,FAIL,34,512.44,"intersecting, rules"
24e8876585456ee5,5,FAIL,35,537.69,"start/end, intersecting, rules"
196a88635b1c83b4,4,FAIL,34,384.72,None
e82bd665d710bb75,2,FAIL,17,383.04,rules
c6739963a7308111,3,FAIL,11,229.90,rules
953c10f2e4d6fd6,2,PASS,2,257.35,None
d91761f3ba340d,4,FAIL,20,371.06,None
bc66c2e18fd6231b,3,FAIL,23,405.70,rules
4b236c53ea5fbbdf,3,FAIL,28,499.70,rules
5f9a92945a4ab62e,1,FAIL,10,524.36,rules
860fbc1cfd446f7c,3,FAIL,20,420.23,None
5b5d43da944a752d,4,PASS,10,260.29,None
971ad9f45d1bd53b,5,FAIL,19,487.84,"intersecting, rules"
5b3d4d35ac301050,2,FAIL,16,461.11,rules
69a08c785ce5fcac,1,PASS,7,170.61,None
a814bed4f6905ba4,5,FAIL,23,295.50,rules
f32fe4e5b37fedaa,5,FAIL,43,367.28,"intersecting, rules"
3ba7fc567dd14312,3,FAIL,19,438.85,rules
7ce0b04c1a28cca6,1,FAIL,21,249.64,rules
8635ff1b1bcf0c2e,5,FAIL,16,457.95,None
21df75919e7080e4,3,PASS,9,442.44,None
daa2db8c01da0bfa,5,FAIL,19,337.87,rules
6443d25f8c289548,3,FAIL,10,388.41,rules
91158b440e1d1942,5,FAIL,16,346.90,"disconnected, rules"
1ba6ec5d1f0c3bc6,2,FAIL,24,256.84,rules
de0f40e0c4c5852a,4,FAIL,8,353.11,rules
7c2cc9e25acdc10f,4,FAIL,22,525.69,"intersecting, rules"
146a216115846f70,5,FAIL,50,511.16,"intersecting, rules"
704931925890a56c,2,FAIL,10,406.11,rules
22c41f4911d10461,3,FAIL,30,389.42,intersecting
75761871763e88e3,2,FAIL,19,363.26,None
fee7fa98ecbf4534,1,FAIL,11,221.34,rules
3abef01e5d890e13,4,FAIL,22,328.39,rules
a71c3513799bf094,2,FAIL,33,508.69,rules
3b229c1d0453a603,3,FAIL,27,439.84,rules
ba867d9c182c1124,1,FAIL,18,134.62,rules
22ee8177bb6b927d,4,FAIL,28,397.70,"intersecting, rules"
200a2fdec77f69b6,1,PASS,10,246.94,None
4c7b5bd02c9270d,3,FAIL,13,313.39,rules
efb560f2141edf82,1,FAIL,20,415.68,rules
b7b817f9033f188,5,FAIL,22,393.94,rules
4cc3d963aecb0aec,3,FAIL,28,346.14,"intersecting, rules"
6a4a59d9017e80e2,4,FAIL,23,436.87,rules
a483b2ad65b79823,4,FAIL,17,329.59,None
c611d73335c05ea3,3,FAIL,16,241.86,None
9fc7d6795a3be635,2,FAIL,13,238.95,rules
9b4f3b36495c1615,3,FAIL,17,390.54,None
1b62c846b90e5d1d,3,FAIL,19,351.71,rules
934d99322aa22dff,1,FAIL,15,305.97,None
cd5b6b24c51fb69a,2,FAIL,13,261.71,rules
bb9d7db6f55f1f1e,4,FAIL,27,429.14,"intersecting, rules"
d1e03bb313e747a9,1,FAIL,14,444.10,rules
e1b6f8b19d2f4176,2,FAIL,19,271.31,None
c09ea70a605760d3,1,FAIL,15,132.37,rules
58a0f5bca3ff514c,5,FAIL,21,363.69,None
625730bf3883005c,4,FAIL,37,295.66,"intersecting, rules"
8211b75bfb0c714d,1,FAIL,6,251.78,rules
12adf37a767b56ea,2,FAIL,15,206.95,rules
4582b19904d9a029,1,FAIL,10,367.38,rules
62035ff8ad16cb71,2,FAIL,23,347.85,rules
5c3f4379847796c4,4,FAIL,23,422.47,rules
bc71d833fad658fb,1,FAIL,22,449.80,"intersecting, rules"
77da6edaa689f44a,2,FAIL,19,317.58,rules
7326259652efbc9d,4,FAIL,19,294.97,rules
85f95e3fbcd76abb,3,FAIL,30,418.34,rules
bb667cb09578b4a3,5,FAIL,27,272.55,rules
ad8f394763490f26,3,FAIL,6,251.16,rules
3d1c8a00f582892,3,FAIL,19,420.07,rules
b10c07139b1aa490,1,PASS,11,162.41,None
5d259263ec5a5c9e,4,FAIL,10,531.86,None
62d5ef592f8f91fc,3,FAIL,23,306.09,rules
be49f0eca3cd4c32,1,FAIL,25,475.04,"start/end, intersecting, rules"
220246750ec56ccb,2,FAIL,10,388.03,rules
f425a63fc423ced0,3,FAIL,11,253.21,rules
b3e3c52cd5223942,5,FAIL,26,446.22,"disconnected, intersecting, rules"
ce576f59fcd8e5b5,4,FAIL,12,487.40,None
d71204c97803d9a,4,FAIL,23,283.50,rules
cc4ff7682e293a1b,2,PASS,12,194.00,None
b25e33c50909fc03,2,FAIL,24,220.19,rules
f271fc95525040b1,5,FAIL,16,461.41,rules
9390c84b6360b4bb,1,PASS,17,106.31,None
a454bd9c3ad0168a,5,FAIL,29,356.40,"start/end, intersecting, rules"
db130c08db23e907,1,FAIL,22,261.09,rules
5c59a67541d92c71,5,FAIL,33,381.47,rules
745deea1055373eb,3,FAIL,21,222.76,rules
440d97e917325fb0,3,PASS,7,391.22,None
dbd181183bb9f775,4,FAIL,24,368.44,rules
fef8e390bd7a2a7a,5,FAIL,25,387.51,"intersecting, rules"
3987c3fc8d33089e,3,FAIL,24,353.13,rules
851365be4fc5c5e,2,PASS,2,128.28,None
