Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,21,80.20,No,Yes
ebc9c10093a1255a,3,FAIL,9,66.38,Yes,No
ed40414d615431d6,3,FAIL,7,67.76,Yes,No
dce20e150e7fcced,5,FAIL,23,81.78,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,45.46,Yes,No
1284a7249a4fa10f,3,FAIL,6,47.09,No,Yes
cbeb87b359947c42,3,FAIL,23,62.20,Yes,No
c80d64b5c5e39d7b,5,FAIL,7,44.95,Yes,No
24e8876585456ee5,5,FAIL,31,94.41,No,Yes
196a88635b1c83b4,4,FAIL,5,31.22,Yes,No
e82bd665d710bb75,2,FAIL,11,40.21,No,Yes
c6739963a7308111,3,FAIL,11,44.87,No,Yes
953c10f2e4d6fd6,2,FAIL,19,43.06,Yes,No
d91761f3ba340d,4,FAIL,13,45.04,Yes,No
bc66c2e18fd6231b,3,FAIL,10,41.33,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,19.89,Yes,No
5f9a92945a4ab62e,1,FAIL,8,26.09,No,Yes
860fbc1cfd446f7c,3,FAIL,1,14.73,Yes,No
5b5d43da944a752d,4,FAIL,13,26.71,Yes,No
971ad9f45d1bd53b,5,FAIL,11,13.60,No,Yes
5b3d4d35ac301050,2,FAIL,15,70.35,No,Yes
69a08c785ce5fcac,1,FAIL,14,74.56,No,Yes
a814bed4f6905ba4,5,FAIL,19,72.41,No,Yes
f32fe4e5b37fedaa,5,FAIL,6,62.28,Yes,No
3ba7fc567dd14312,3,FAIL,16,72.45,Yes,No
7ce0b04c1a28cca6,1,FAIL,12,55.68,Yes,No
8635ff1b1bcf0c2e,5,FAIL,29,79.13,No,Yes
21df75919e7080e4,3,FAIL,9,54.02,No,Yes
daa2db8c01da0bfa,5,FAIL,18,65.96,Yes,No
6443d25f8c289548,3,FAIL,25,67.35,Yes,No
91158b440e1d1942,5,FAIL,9,34.80,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,11,34.62,No,Yes
de0f40e0c4c5852a,4,FAIL,25,78.18,No,Yes
7c2cc9e25acdc10f,4,FAIL,24,51.09,No,Yes
146a216115846f70,5,FAIL,25,67.16,No,Yes
704931925890a56c,2,FAIL,19,54.12,No,Yes
22c41f4911d10461,3,FAIL,15,51.44,No,Yes
75761871763e88e3,2,FAIL,13,20.72,No,Yes
fee7fa98ecbf4534,1,FAIL,15,36.27,No,Yes
3abef01e5d890e13,4,FAIL,17,38.69,No,Yes
a71c3513799bf094,2,FAIL,2,58.56,Yes,No
3b229c1d0453a603,3,FAIL,11,69.49,No,Yes
ba867d9c182c1124,1,FAIL,12,64.88,No,Yes
22ee8177bb6b927d,4,FAIL,13,71.34,No,Yes
200a2fdec77f69b6,1,FAIL,4,43.82,No,Yes
4c7b5bd02c9270d,3,FAIL,8,47.47,Yes,No
efb560f2141edf82,1,PASS,3,45.88,Yes,No
b7b817f9033f188,5,FAIL,22,82.38,No,Yes
4cc3d963aecb0aec,3,FAIL,15,48.01,No,Yes
6a4a59d9017e80e2,4,FAIL,16,56.26,No,Yes
a483b2ad65b79823,4,FAIL,22,55.71,No,Yes
c611d73335c05ea3,3,FAIL,7,33.11,No,Yes
9fc7d6795a3be635,2,PASS,10,45.12,Yes,No
9b4f3b36495c1615,3,FAIL,7,29.66,No,Yes
1b62c846b90e5d1d,3,FAIL,14,18.95,Yes,No
934d99322aa22dff,1,FAIL,2,22.14,Yes,No
cd5b6b24c51fb69a,2,FAIL,7,20.11,No,Yes
bb9d7db6f55f1f1e,4,FAIL,10,16.70,Yes,No
d1e03bb313e747a9,1,FAIL,13,44.53,No,Yes
e1b6f8b19d2f4176,2,FAIL,18,23.27,Yes,No
c09ea70a605760d3,1,FAIL,13,78.03,No,Yes
58a0f5bca3ff514c,5,FAIL,28,94.26,Yes,No
625730bf3883005c,4,FAIL,8,53.55,No,Yes
8211b75bfb0c714d,1,FAIL,8,50.78,No,Yes
12adf37a767b56ea,2,FAIL,12,53.09,No,Yes
4582b19904d9a029,1,FAIL,13,49.91,No,Yes
62035ff8ad16cb71,2,FAIL,18,61.21,Yes,No
5c3f4379847796c4,4,FAIL,9,50.60,Yes,No
bc71d833fad658fb,1,FAIL,3,41.54,Yes,No
77da6edaa689f44a,2,FAIL,6,39.17,Yes,No
7326259652efbc9d,4,FAIL,20,64.79,No,Yes
85f95e3fbcd76abb,3,FAIL,1,28.38,Yes,No
bb667cb09578b4a3,5,FAIL,23,53.39,No,Yes
ad8f394763490f26,3,FAIL,9,41.08,Yes,No
3d1c8a00f582892,3,FAIL,12,41.83,No,Yes
b10c07139b1aa490,1,FAIL,8,24.11,No,Yes
5d259263ec5a5c9e,4,FAIL,11,36.44,Yes,No
62d5ef592f8f91fc,3,FAIL,13,38.25,No,Yes
be49f0eca3cd4c32,1,FAIL,8,12.64,No,Yes
220246750ec56ccb,2,FAIL,7,10.24,Yes,No
f425a63fc423ced0,3,FAIL,8,64.93,Yes,No
b3e3c52cd5223942,5,FAIL,15,76.34,No,Yes
ce576f59fcd8e5b5,4,FAIL,22,77.50,No,Yes
d71204c97803d9a,4,FAIL,12,86.65,No,Yes
cc4ff7682e293a1b,2,FAIL,21,57.64,No,Yes
b25e33c50909fc03,2,FAIL,10,47.28,No,Yes
f271fc95525040b1,5,FAIL,19,62.03,No,Yes
9390c84b6360b4bb,1,PASS,16,46.01,Yes,No
a454bd9c3ad0168a,5,FAIL,17,79.38,No,Yes
db130c08db23e907,1,FAIL,9,48.10,Yes,No
5c59a67541d92c71,5,FAIL,8,35.22,No,Yes
745deea1055373eb,3,FAIL,11,46.14,No,Yes
440d97e917325fb0,3,FAIL,15,55.20,No,Yes
dbd181183bb9f775,4,FAIL,31,79.71,No,Yes
