Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,24,1894.38,Yes,No
ebc9c10093a1255a,3,FAIL,29,2691.60,Yes,No
ed40414d615431d6,3,FAIL,7,684.23,Yes,No
dce20e150e7fcced,5,FAIL,36,2890.38,Yes,No
3fe8a85b768ae5b7,1,FAIL,9,1040.30,Yes,No
1284a7249a4fa10f,3,FAIL,4,294.34,Yes,No
cbeb87b359947c42,3,FAIL,11,1048.58,Yes,No
c80d64b5c5e39d7b,5,FAIL,39,2814.29,Yes,No
24e8876585456ee5,5,FAIL,24,2236.77,Yes,No
196a88635b1c83b4,4,FAIL,25,2040.95,Yes,No
e82bd665d710bb75,2,PASS,20,1700.16,Yes,No
c6739963a7308111,3,PASS,12,1149.95,Yes,No
953c10f2e4d6fd6,2,PASS,3,347.94,Yes,No
d91761f3ba340d,4,FAIL,17,1533.23,Yes,No
bc66c2e18fd6231b,3,FAIL,10,788.59,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,373.10,Yes,No
5f9a92945a4ab62e,1,PASS,9,845.82,Yes,No
860fbc1cfd446f7c,3,FAIL,27,2367.11,Yes,No
5b5d43da944a752d,4,PASS,9,700.42,Yes,No
971ad9f45d1bd53b,5,FAIL,22,1707.13,Yes,No
5b3d4d35ac301050,2,PASS,15,1333.43,Yes,No
69a08c785ce5fcac,1,PASS,8,710.58,Yes,No
a814bed4f6905ba4,5,FAIL,26,2501.64,Yes,No
f32fe4e5b37fedaa,5,FAIL,100,5961.04,No,Yes
3ba7fc567dd14312,3,FAIL,10,844.55,Yes,No
7ce0b04c1a28cca6,1,PASS,42,3492.75,Yes,No
8635ff1b1bcf0c2e,5,FAIL,21,2220.03,Yes,No
21df75919e7080e4,3,PASS,12,1109.39,Yes,No
daa2db8c01da0bfa,5,FAIL,14,945.77,Yes,No
6443d25f8c289548,3,FAIL,5,406.89,Yes,No
91158b440e1d1942,5,FAIL,13,1158.26,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,39,2761.67,Yes,No
de0f40e0c4c5852a,4,FAIL,7,659.51,Yes,No
7c2cc9e25acdc10f,4,FAIL,100,7436.30,No,Yes
