Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,26,5.2%
Failed,474,94.8%
,,
Fully Valid Paths,114,22.8%
Connected Paths,464,92.8%
Correct Start/End,491,98.2%
Non-Intersecting,426,85.2%
No Rule Violations,126,25.2%
,,
Avg Path Length,20.0 steps,
Min Path Length,2 steps,
Max Path Length,96 steps,
,,
Difficulty 1 Solved,17/86,19.8%
Difficulty 2 Solved,5/118,4.2%
Difficulty 3 Solved,3/121,2.5%
Difficulty 4 Solved,1/86,1.2%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,183983.4 seconds,
Avg Time per Puzzle,367.97 seconds,
Puzzles per Minute,0.2,
