Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,7,259.94,No,Yes
ebc9c10093a1255a,3,FAIL,25,753.95,Yes,No
ed40414d615431d6,3,FAIL,11,338.43,No,Yes
dce20e150e7fcced,5,FAIL,15,480.62,No,Yes
3fe8a85b768ae5b7,1,FAIL,8,258.29,No,Yes
1284a7249a4fa10f,3,FAIL,4,187.10,Yes,No
cbeb87b359947c42,3,FAIL,9,295.39,Yes,No
c80d64b5c5e39d7b,5,FAIL,20,582.56,No,Yes
24e8876585456ee5,5,FAIL,23,650.84,No,Yes
196a88635b1c83b4,4,FAIL,14,518.34,No,Yes
e82bd665d710bb75,2,FAIL,18,609.96,Yes,No
c6739963a7308111,3,PASS,8,266.51,Yes,No
953c10f2e4d6fd6,2,PASS,1,45.43,Yes,No
d91761f3ba340d,4,FAIL,10,359.46,No,Yes
bc66c2e18fd6231b,3,FAIL,18,473.84,No,Yes
4b236c53ea5fbbdf,3,FAIL,5,154.55,Yes,No
5f9a92945a4ab62e,1,FAIL,11,306.95,No,Yes
860fbc1cfd446f7c,3,FAIL,7,244.87,No,Yes
5b5d43da944a752d,4,FAIL,13,379.43,Yes,No
971ad9f45d1bd53b,5,FAIL,9,221.25,No,Yes
5b3d4d35ac301050,2,PASS,17,485.60,Yes,No
69a08c785ce5fcac,1,FAIL,2,98.92,Yes,No
a814bed4f6905ba4,5,FAIL,9,315.27,No,Yes
f32fe4e5b37fedaa,5,FAIL,21,600.79,No,Yes
3ba7fc567dd14312,3,FAIL,14,393.60,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,451.40,Yes,No
8635ff1b1bcf0c2e,5,FAIL,9,312.81,No,Yes
21df75919e7080e4,3,FAIL,11,335.11,No,Yes
daa2db8c01da0bfa,5,FAIL,14,391.48,Yes,No
6443d25f8c289548,3,FAIL,3,131.07,Yes,No
91158b440e1d1942,5,FAIL,17,562.73,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,13,375.22,No,Yes
de0f40e0c4c5852a,4,FAIL,7,305.96,Yes,No
7c2cc9e25acdc10f,4,FAIL,18,509.85,Yes,No
146a216115846f70,5,FAIL,12,343.41,No,Yes
704931925890a56c,2,FAIL,9,303.15,Yes,No
22c41f4911d10461,3,FAIL,37,890.04,No,Yes
75761871763e88e3,2,FAIL,7,189.46,No,Yes
fee7fa98ecbf4534,1,PASS,10,275.92,Yes,No
3abef01e5d890e13,4,FAIL,17,532.21,Yes,No
a71c3513799bf094,2,FAIL,2,166.78,Yes,No
3b229c1d0453a603,3,FAIL,13,479.65,No,Yes
ba867d9c182c1124,1,FAIL,16,538.99,No,Yes
22ee8177bb6b927d,4,FAIL,17,513.00,Yes,No
200a2fdec77f69b6,1,FAIL,5,203.02,No,Yes
4c7b5bd02c9270d,3,FAIL,8,260.34,Yes,No
efb560f2141edf82,1,FAIL,19,502.38,Yes,No
b7b817f9033f188,5,FAIL,22,784.80,No,Yes
4cc3d963aecb0aec,3,FAIL,17,453.08,Yes,No
6a4a59d9017e80e2,4,FAIL,16,496.29,No,Yes
a483b2ad65b79823,4,FAIL,26,681.81,No,Yes
c611d73335c05ea3,3,FAIL,19,575.17,Yes,No
9fc7d6795a3be635,2,PASS,10,283.33,Yes,No
9b4f3b36495c1615,3,FAIL,16,492.10,No,Yes
1b62c846b90e5d1d,3,FAIL,14,351.21,Yes,No
934d99322aa22dff,1,FAIL,2,111.98,Yes,No
cd5b6b24c51fb69a,2,FAIL,8,303.58,No,Yes
bb9d7db6f55f1f1e,4,FAIL,37,1038.46,No,Yes
d1e03bb313e747a9,1,FAIL,19,499.14,Yes,No
e1b6f8b19d2f4176,2,FAIL,18,447.10,Yes,No
c09ea70a605760d3,1,FAIL,15,482.30,No,Yes
