Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,14,668.08,No,Yes
ed40414d615431d6,3,FAIL,11,173.47,No,Yes
3fe8a85b768ae5b7,1,FAIL,3,72.29,Yes,No
1284a7249a4fa10f,3,FAIL,11,124.51,Yes,No
cbeb87b359947c42,3,FAIL,19,402.67,Yes,No
c80d64b5c5e39d7b,5,FAIL,15,176.03,Yes,No
196a88635b1c83b4,4,FAIL,12,497.85,Yes,No
953c10f2e4d6fd6,2,PASS,1,35.79,Yes,No
bc66c2e18fd6231b,3,FAIL,25,418.67,No,Yes
4b236c53ea5fbbdf,3,FAIL,19,204.86,No,Yes
5f9a92945a4ab62e,1,FAIL,26,393.19,No,Yes
860fbc1cfd446f7c,3,FAIL,1,31.29,Yes,No
971ad9f45d1bd53b,5,FAIL,14,91.23,Yes,No
5b3d4d35ac301050,2,FAIL,12,241.71,No,Yes
69a08c785ce5fcac,1,FAIL,2,100.03,Yes,No
f32fe4e5b37fedaa,5,FAIL,6,409.79,Yes,No
3ba7fc567dd14312,3,FAIL,14,279.60,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,56.35,No,Yes
8635ff1b1bcf0c2e,5,FAIL,17,233.22,No,Yes
21df75919e7080e4,3,PASS,8,424.68,Yes,No
daa2db8c01da0bfa,5,FAIL,22,393.17,Yes,No
6443d25f8c289548,3,FAIL,3,189.36,Yes,No
704931925890a56c,2,FAIL,4,286.91,No,Yes
22c41f4911d10461,3,FAIL,8,110.75,No,Yes
75761871763e88e3,2,FAIL,13,453.17,Yes,No
a71c3513799bf094,2,FAIL,5,676.75,Yes,No
3b229c1d0453a603,3,FAIL,4,386.63,Yes,No
ba867d9c182c1124,1,FAIL,26,291.86,No,Yes
22ee8177bb6b927d,4,FAIL,12,203.18,No,Yes
200a2fdec77f69b6,1,FAIL,17,250.66,No,Yes
4c7b5bd02c9270d,3,FAIL,1,215.58,No,Yes
efb560f2141edf82,1,PASS,3,109.88,Yes,No
