Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,26,747.55,Yes,No
ebc9c10093a1255a,3,FAIL,8,337.83,No,Yes
ed40414d615431d6,3,FAIL,5,200.88,Yes,No
dce20e150e7fcced,5,FAIL,18,407.76,Yes,No
3fe8a85b768ae5b7,1,FAIL,7,250.61,Yes,No
1284a7249a4fa10f,3,FAIL,4,164.49,Yes,No
cbeb87b359947c42,3,FAIL,15,460.90,Yes,No
c80d64b5c5e39d7b,5,FAIL,19,567.49,Yes,No
24e8876585456ee5,5,FAIL,8,307.80,Yes,No
196a88635b1c83b4,4,FAIL,13,414.30,Yes,No
e82bd665d710bb75,2,FAIL,14,303.07,Yes,No
c6739963a7308111,3,PASS,8,245.82,Yes,No
953c10f2e4d6fd6,2,FAIL,12,378.48,No,Yes
d91761f3ba340d,4,FAIL,13,374.79,Yes,No
bc66c2e18fd6231b,3,FAIL,8,217.13,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,181.78,Yes,No
5f9a92945a4ab62e,1,FAIL,7,217.14,Yes,No
860fbc1cfd446f7c,3,FAIL,7,298.88,Yes,No
5b5d43da944a752d,4,FAIL,13,419.39,Yes,No
971ad9f45d1bd53b,5,FAIL,17,484.13,No,Yes
5b3d4d35ac301050,2,FAIL,13,342.38,Yes,No
69a08c785ce5fcac,1,PASS,6,239.45,Yes,No
a814bed4f6905ba4,5,FAIL,14,371.31,Yes,No
f32fe4e5b37fedaa,5,FAIL,6,181.94,Yes,No
3ba7fc567dd14312,3,FAIL,14,272.54,Yes,No
7ce0b04c1a28cca6,1,FAIL,12,399.84,Yes,No
8635ff1b1bcf0c2e,5,FAIL,9,293.81,Yes,No
21df75919e7080e4,3,FAIL,8,261.86,Yes,No
daa2db8c01da0bfa,5,FAIL,10,296.93,Yes,No
6443d25f8c289548,3,FAIL,3,140.70,Yes,No
91158b440e1d1942,5,FAIL,9,258.31,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,13,374.03,Yes,No
de0f40e0c4c5852a,4,FAIL,29,802.56,No,Yes
7c2cc9e25acdc10f,4,FAIL,9,290.04,Yes,No
146a216115846f70,5,FAIL,11,341.03,Yes,No
704931925890a56c,2,FAIL,4,110.11,No,Yes
22c41f4911d10461,3,FAIL,17,343.38,Yes,No
75761871763e88e3,2,FAIL,14,374.40,Yes,No
fee7fa98ecbf4534,1,PASS,6,106.03,Yes,No
3abef01e5d890e13,4,FAIL,19,440.41,Yes,No
a71c3513799bf094,2,FAIL,6,335.83,Yes,No
3b229c1d0453a603,3,FAIL,10,284.87,Yes,No
ba867d9c182c1124,1,FAIL,5,143.28,Yes,No
22ee8177bb6b927d,4,FAIL,10,305.00,No,Yes
200a2fdec77f69b6,1,PASS,9,322.28,Yes,No
4c7b5bd02c9270d,3,FAIL,8,311.79,Yes,No
efb560f2141edf82,1,PASS,3,101.82,Yes,No
b7b817f9033f188,5,FAIL,11,388.00,Yes,No
4cc3d963aecb0aec,3,FAIL,15,441.83,Yes,No
6a4a59d9017e80e2,4,FAIL,10,292.74,Yes,No
a483b2ad65b79823,4,FAIL,14,405.24,Yes,No
c611d73335c05ea3,3,FAIL,15,537.64,Yes,No
9fc7d6795a3be635,2,PASS,10,204.80,Yes,No
9b4f3b36495c1615,3,FAIL,10,372.79,Yes,No
1b62c846b90e5d1d,3,FAIL,12,285.95,Yes,No
934d99322aa22dff,1,FAIL,8,400.62,Yes,No
cd5b6b24c51fb69a,2,PASS,14,446.42,Yes,No
bb9d7db6f55f1f1e,4,FAIL,35,816.00,No,Yes
d1e03bb313e747a9,1,PASS,15,343.91,Yes,No
e1b6f8b19d2f4176,2,FAIL,18,396.21,Yes,No
c09ea70a605760d3,1,FAIL,11,422.89,No,Yes
58a0f5bca3ff514c,5,FAIL,11,210.15,No,Yes
625730bf3883005c,4,FAIL,12,275.75,Yes,No
8211b75bfb0c714d,1,PASS,11,265.34,Yes,No
12adf37a767b56ea,2,FAIL,4,226.34,Yes,No
4582b19904d9a029,1,PASS,9,256.46,Yes,No
62035ff8ad16cb71,2,FAIL,18,565.08,Yes,No
5c3f4379847796c4,4,FAIL,8,210.18,Yes,No
bc71d833fad658fb,1,FAIL,3,147.78,Yes,No
77da6edaa689f44a,2,FAIL,6,280.54,Yes,No
7326259652efbc9d,4,FAIL,24,495.06,Yes,No
85f95e3fbcd76abb,3,FAIL,19,650.87,Yes,No
bb667cb09578b4a3,5,FAIL,28,650.14,Yes,No
ad8f394763490f26,3,FAIL,9,249.53,Yes,No
3d1c8a00f582892,3,FAIL,14,374.53,Yes,No
b10c07139b1aa490,1,PASS,10,240.62,Yes,No
5d259263ec5a5c9e,4,FAIL,11,336.24,Yes,No
62d5ef592f8f91fc,3,FAIL,23,578.05,No,Yes
be49f0eca3cd4c32,1,FAIL,15,339.62,Yes,No
220246750ec56ccb,2,FAIL,3,96.04,Yes,No
f425a63fc423ced0,3,FAIL,6,240.48,Yes,No
b3e3c52cd5223942,5,FAIL,15,494.39,No,Yes
ce576f59fcd8e5b5,4,FAIL,15,539.64,Yes,No
d71204c97803d9a,4,FAIL,18,394.55,Yes,No
cc4ff7682e293a1b,2,FAIL,17,445.09,Yes,No
b25e33c50909fc03,2,FAIL,11,268.01,Yes,No
f271fc95525040b1,5,FAIL,21,490.89,Yes,No
9390c84b6360b4bb,1,PASS,16,481.84,Yes,No
a454bd9c3ad0168a,5,FAIL,14,595.00,Yes,No
db130c08db23e907,1,PASS,19,528.58,Yes,No
5c59a67541d92c71,5,FAIL,14,305.30,No,Yes
745deea1055373eb,3,FAIL,12,303.28,Yes,No
440d97e917325fb0,3,FAIL,6,182.31,Yes,No
dbd181183bb9f775,4,FAIL,21,490.38,Yes,No
fef8e390bd7a2a7a,5,FAIL,24,543.69,Yes,No
3987c3fc8d33089e,3,FAIL,16,576.38,No,Yes
851365be4fc5c5e,2,PASS,1,47.36,Yes,No
e20e6b6a00158bdc,5,FAIL,21,526.85,Yes,No
841b2d97bb365b8b,4,FAIL,17,444.72,No,Yes
b4d66071dc728f44,2,FAIL,13,429.95,Yes,No
1e7c5367fa438e3b,5,FAIL,15,368.46,Yes,No
b8eb6f7dd1cc9b86,1,FAIL,7,821.85,No,Yes
1796837aa68c2b76,3,FAIL,13,485.55,Yes,No
598f03a76e659bbd,3,FAIL,15,446.45,Yes,No
