Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,13,526.19,No,Yes
ebc9c10093a1255a,3,FAIL,25,727.04,Yes,No
ed40414d615431d6,3,FAIL,7,261.68,Yes,No
dce20e150e7fcced,5,FAIL,27,626.88,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,145.59,Yes,No
1284a7249a4fa10f,3,FAIL,4,230.73,Yes,No
cbeb87b359947c42,3,FAIL,19,448.43,Yes,No
c80d64b5c5e39d7b,5,FAIL,10,370.64,No,Yes
24e8876585456ee5,5,FAIL,21,534.48,No,Yes
196a88635b1c83b4,4,FAIL,5,311.87,Yes,No
e82bd665d710bb75,2,FAIL,14,468.47,Yes,No
c6739963a7308111,3,PASS,8,213.49,Yes,No
953c10f2e4d6fd6,2,PASS,1,64.13,Yes,No
d91761f3ba340d,4,FAIL,13,421.45,Yes,No
bc66c2e18fd6231b,3,FAIL,8,225.76,Yes,No
4b236c53ea5fbbdf,3,FAIL,24,695.15,No,Yes
5f9a92945a4ab62e,1,PASS,8,226.80,Yes,No
860fbc1cfd446f7c,3,FAIL,11,394.00,No,Yes
5b5d43da944a752d,4,PASS,9,364.44,Yes,No
971ad9f45d1bd53b,5,FAIL,8,240.10,Yes,No
5b3d4d35ac301050,2,FAIL,19,680.67,No,Yes
69a08c785ce5fcac,1,PASS,6,221.63,Yes,No
a814bed4f6905ba4,5,FAIL,14,448.68,Yes,No
f32fe4e5b37fedaa,5,FAIL,6,214.60,Yes,No
3ba7fc567dd14312,3,FAIL,8,366.60,No,Yes
7ce0b04c1a28cca6,1,FAIL,13,387.77,No,Yes
8635ff1b1bcf0c2e,5,FAIL,15,493.77,Yes,No
21df75919e7080e4,3,PASS,8,366.65,Yes,No
daa2db8c01da0bfa,5,FAIL,14,463.81,Yes,No
6443d25f8c289548,3,FAIL,9,327.51,Yes,No
91158b440e1d1942,5,FAIL,11,277.77,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,17,325.60,Yes,No
de0f40e0c4c5852a,4,FAIL,9,304.71,No,Yes
7c2cc9e25acdc10f,4,FAIL,12,509.79,No,Yes
146a216115846f70,5,FAIL,12,467.84,No,Yes
704931925890a56c,2,FAIL,4,139.93,No,Yes
22c41f4911d10461,3,FAIL,7,229.71,No,Yes
75761871763e88e3,2,FAIL,10,315.80,Yes,No
fee7fa98ecbf4534,1,PASS,6,155.99,Yes,No
3abef01e5d890e13,4,FAIL,29,696.25,Yes,No
a71c3513799bf094,2,FAIL,2,159.28,Yes,No
3b229c1d0453a603,3,FAIL,2,151.51,Yes,No
ba867d9c182c1124,1,FAIL,12,382.43,No,Yes
22ee8177bb6b927d,4,FAIL,14,478.96,No,Yes
200a2fdec77f69b6,1,FAIL,8,291.82,Yes,No
4c7b5bd02c9270d,3,FAIL,8,252.76,Yes,No
efb560f2141edf82,1,PASS,3,207.02,Yes,No
b7b817f9033f188,5,FAIL,15,551.04,Yes,No
4cc3d963aecb0aec,3,FAIL,11,406.84,Yes,No
6a4a59d9017e80e2,4,FAIL,4,199.46,Yes,No
a483b2ad65b79823,4,FAIL,22,598.67,No,Yes
c611d73335c05ea3,3,FAIL,17,448.34,Yes,No
9fc7d6795a3be635,2,PASS,10,217.26,Yes,No
9b4f3b36495c1615,3,FAIL,10,375.31,Yes,No
1b62c846b90e5d1d,3,FAIL,16,445.22,Yes,No
934d99322aa22dff,1,FAIL,8,313.70,Yes,No
cd5b6b24c51fb69a,2,FAIL,11,432.07,No,Yes
bb9d7db6f55f1f1e,4,FAIL,26,656.80,Yes,No
