Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,18,2332.97,Yes,No
ebc9c10093a1255a,3,FAIL,13,1678.07,No,Yes
ed40414d615431d6,3,FAIL,7,1270.31,Yes,No
dce20e150e7fcced,5,FAIL,18,2203.17,Yes,No
3fe8a85b768ae5b7,1,FAIL,8,1143.01,No,Yes
1284a7249a4fa10f,3,FAIL,4,747.58,Yes,No
cbeb87b359947c42,3,FAIL,9,1578.00,Yes,No
c80d64b5c5e39d7b,5,FAIL,7,1171.16,Yes,No
24e8876585456ee5,5,FAIL,23,3226.31,No,Yes
196a88635b1c83b4,4,FAIL,12,1886.89,No,Yes
e82bd665d710bb75,2,FAIL,10,1388.77,Yes,No
c6739963a7308111,3,FAIL,8,1051.42,Yes,No
953c10f2e4d6fd6,2,PASS,1,277.51,Yes,No
d91761f3ba340d,4,FAIL,13,1720.45,Yes,No
bc66c2e18fd6231b,3,FAIL,8,1026.55,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,634.70,Yes,No
5f9a92945a4ab62e,1,FAIL,7,1119.37,Yes,No
860fbc1cfd446f7c,3,FAIL,11,1635.08,Yes,No
5b5d43da944a752d,4,PASS,9,1270.44,Yes,No
971ad9f45d1bd53b,5,FAIL,12,1713.05,Yes,No
5b3d4d35ac301050,2,FAIL,13,1719.99,Yes,No
69a08c785ce5fcac,1,PASS,6,799.05,Yes,No
a814bed4f6905ba4,5,FAIL,14,1660.92,Yes,No
f32fe4e5b37fedaa,5,FAIL,6,842.21,Yes,No
3ba7fc567dd14312,3,FAIL,18,2106.98,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,1723.89,Yes,No
8635ff1b1bcf0c2e,5,FAIL,15,2223.78,No,Yes
21df75919e7080e4,3,PASS,8,1047.72,Yes,No
daa2db8c01da0bfa,5,FAIL,7,800.65,No,Yes
6443d25f8c289548,3,FAIL,3,474.75,Yes,No
91158b440e1d1942,5,FAIL,11,1496.59,Yes,No
1ba6ec5d1f0c3bc6,2,PASS,17,1985.58,Yes,No
de0f40e0c4c5852a,4,FAIL,7,1169.71,Yes,No
7c2cc9e25acdc10f,4,FAIL,9,1480.84,Yes,No
146a216115846f70,5,FAIL,11,1350.90,Yes,No
704931925890a56c,2,FAIL,3,327.78,Yes,No
22c41f4911d10461,3,FAIL,21,2938.12,Yes,No
75761871763e88e3,2,FAIL,10,1375.39,Yes,No
fee7fa98ecbf4534,1,PASS,6,910.41,Yes,No
3abef01e5d890e13,4,FAIL,21,2365.99,Yes,No
a71c3513799bf094,2,FAIL,9,1041.75,No,Yes
3b229c1d0453a603,3,FAIL,10,1449.08,Yes,No
ba867d9c182c1124,1,FAIL,9,1320.33,Yes,No
22ee8177bb6b927d,4,FAIL,17,2048.20,Yes,No
