Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,11,326.45,No,Yes
ebc9c10093a1255a,3,FAIL,25,1324.06,Yes,No
ed40414d615431d6,3,FAIL,7,409.01,Yes,No
dce20e150e7fcced,5,FAIL,21,677.77,No,Yes
3fe8a85b768ae5b7,1,FAIL,8,302.22,No,Yes
1284a7249a4fa10f,3,FAIL,4,150.40,Yes,No
cbeb87b359947c42,3,FAIL,15,625.81,Yes,No
c80d64b5c5e39d7b,5,FAIL,11,547.29,No,Yes
24e8876585456ee5,5,FAIL,4,151.92,Yes,No
196a88635b1c83b4,4,FAIL,12,552.75,No,Yes
e82bd665d710bb75,2,FAIL,11,509.87,No,Yes
c6739963a7308111,3,FAIL,8,395.65,Yes,No
953c10f2e4d6fd6,2,FAIL,19,880.08,Yes,No
d91761f3ba340d,4,FAIL,13,644.84,Yes,No
bc66c2e18fd6231b,3,FAIL,22,714.16,No,Yes
4b236c53ea5fbbdf,3,FAIL,15,498.35,No,Yes
5f9a92945a4ab62e,1,PASS,7,400.11,Yes,No
860fbc1cfd446f7c,3,FAIL,25,873.29,No,Yes
5b5d43da944a752d,4,FAIL,12,646.79,No,Yes
971ad9f45d1bd53b,5,FAIL,12,364.83,Yes,No
5b3d4d35ac301050,2,FAIL,11,438.42,No,Yes
69a08c785ce5fcac,1,FAIL,2,194.20,Yes,No
a814bed4f6905ba4,5,FAIL,11,607.24,No,Yes
f32fe4e5b37fedaa,5,FAIL,10,383.92,Yes,No
3ba7fc567dd14312,3,FAIL,8,423.85,No,Yes
7ce0b04c1a28cca6,1,FAIL,8,499.30,Yes,No
8635ff1b1bcf0c2e,5,FAIL,11,439.83,No,Yes
21df75919e7080e4,3,PASS,8,461.92,Yes,No
daa2db8c01da0bfa,5,FAIL,14,774.59,Yes,No
6443d25f8c289548,3,FAIL,5,283.18,Yes,No
91158b440e1d1942,5,FAIL,19,580.75,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,11,362.18,No,Yes
de0f40e0c4c5852a,4,FAIL,7,270.86,Yes,No
7c2cc9e25acdc10f,4,FAIL,13,513.29,Yes,No
146a216115846f70,5,FAIL,28,798.23,No,Yes
704931925890a56c,2,FAIL,19,649.00,No,Yes
22c41f4911d10461,3,FAIL,11,491.39,No,Yes
75761871763e88e3,2,FAIL,15,443.05,No,Yes
fee7fa98ecbf4534,1,FAIL,6,379.19,Yes,No
3abef01e5d890e13,4,FAIL,13,496.26,No,Yes
a71c3513799bf094,2,FAIL,6,259.65,Yes,No
3b229c1d0453a603,3,FAIL,10,459.67,Yes,No
ba867d9c182c1124,1,FAIL,13,510.81,Yes,No
22ee8177bb6b927d,4,FAIL,15,606.43,Yes,No
200a2fdec77f69b6,1,FAIL,7,583.15,Yes,No
4c7b5bd02c9270d,3,FAIL,20,877.06,No,Yes
efb560f2141edf82,1,FAIL,7,335.13,Yes,No
b7b817f9033f188,5,FAIL,18,690.57,No,Yes
4cc3d963aecb0aec,3,FAIL,21,765.17,Yes,No
6a4a59d9017e80e2,4,FAIL,12,420.77,No,Yes
a483b2ad65b79823,4,FAIL,12,341.50,No,Yes
c611d73335c05ea3,3,FAIL,13,603.58,Yes,No
9fc7d6795a3be635,2,PASS,10,410.92,Yes,No
9b4f3b36495c1615,3,FAIL,12,494.07,Yes,No
1b62c846b90e5d1d,3,FAIL,14,524.69,No,Yes
934d99322aa22dff,1,FAIL,14,706.35,No,Yes
cd5b6b24c51fb69a,2,FAIL,9,626.99,No,Yes
bb9d7db6f55f1f1e,4,FAIL,13,477.63,No,Yes
