Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,15,114.10,No,Yes
ebc9c10093a1255a,3,FAIL,25,143.11,No,Yes
ed40414d615431d6,3,FAIL,11,101.07,No,Yes
dce20e150e7fcced,5,FAIL,9,94.64,No,Yes
3fe8a85b768ae5b7,1,FAIL,12,96.48,No,Yes
1284a7249a4fa10f,3,FAIL,4,61.05,Yes,No
cbeb87b359947c42,3,FAIL,9,87.13,Yes,No
c80d64b5c5e39d7b,5,FAIL,7,71.95,Yes,No
24e8876585456ee5,5,FAIL,17,98.23,No,Yes
196a88635b1c83b4,4,FAIL,5,52.45,Yes,No
e82bd665d710bb75,2,FAIL,10,71.43,Yes,No
c6739963a7308111,3,FAIL,11,69.49,No,Yes
953c10f2e4d6fd6,2,PASS,1,40.18,Yes,No
d91761f3ba340d,4,FAIL,13,81.92,Yes,No
bc66c2e18fd6231b,3,FAIL,18,87.39,No,Yes
4b236c53ea5fbbdf,3,FAIL,30,114.77,No,Yes
5f9a92945a4ab62e,1,FAIL,8,59.76,No,Yes
860fbc1cfd446f7c,3,FAIL,23,96.96,No,Yes
5b5d43da944a752d,4,FAIL,8,45.64,No,Yes
971ad9f45d1bd53b,5,FAIL,12,56.78,Yes,No
5b3d4d35ac301050,2,FAIL,9,84.29,No,Yes
69a08c785ce5fcac,1,PASS,6,67.55,Yes,No
a814bed4f6905ba4,5,FAIL,29,141.33,No,Yes
f32fe4e5b37fedaa,5,FAIL,6,67.77,Yes,No
3ba7fc567dd14312,3,FAIL,14,90.47,Yes,No
7ce0b04c1a28cca6,1,FAIL,8,67.73,Yes,No
8635ff1b1bcf0c2e,5,FAIL,23,127.37,No,Yes
21df75919e7080e4,3,FAIL,8,56.12,Yes,No
daa2db8c01da0bfa,5,FAIL,10,74.14,Yes,No
6443d25f8c289548,3,FAIL,3,38.73,Yes,No
91158b440e1d1942,5,FAIL,33,114.90,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,11,58.68,No,Yes
de0f40e0c4c5852a,4,FAIL,11,71.22,No,Yes
7c2cc9e25acdc10f,4,FAIL,12,65.95,No,Yes
146a216115846f70,5,FAIL,20,88.34,No,Yes
704931925890a56c,2,FAIL,5,31.60,Yes,No
22c41f4911d10461,3,FAIL,9,51.37,No,Yes
