Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
3fe8a85b768ae5b7,1,FAIL,1,261.62,Yes,No
c6739963a7308111,3,FAIL,8,923.00,Yes,No
860fbc1cfd446f7c,3,FAIL,1,401.13,Yes,No
69a08c785ce5fcac,1,FAIL,2,758.64,Yes,No
7ce0b04c1a28cca6,1,FAIL,2,954.37,No,Yes
8635ff1b1bcf0c2e,5,FAIL,7,435.37,No,Yes
ba867d9c182c1124,1,FAIL,5,548.69,Yes,No
62035ff8ad16cb71,2,FAIL,7,718.35,No,Yes
bc71d833fad658fb,1,FAIL,3,575.33,Yes,No
77da6edaa689f44a,2,FAIL,6,1559.38,Yes,No
7326259652efbc9d,4,FAIL,1,473.14,No,Yes
85f95e3fbcd76abb,3,FAIL,1,185.42,Yes,No
851365be4fc5c5e,2,PASS,1,939.83,Yes,No
fb69acc1bff1c7b5,2,FAIL,1,827.42,No,Yes
aecb916b87a88a32,3,FAIL,1,241.60,Yes,No
4a5c32111bf61aae,5,FAIL,2,321.26,Yes,No
8f5dd8ca7b23f826,4,FAIL,1,649.88,Yes,No
ad8274727f965b1c,1,FAIL,4,1337.92,Yes,No
8b308dfba88e4ac,3,FAIL,1,314.83,Yes,No
4ec9d16a5a573d4e,2,FAIL,1,61.05,Yes,No
154515f7b4e4fe2b,2,PASS,2,91.21,Yes,No
495da6f2a1c1f750,5,FAIL,3,1140.88,Yes,No
ad210a7535f9228a,3,PASS,1,40.04,Yes,No
5d4260bea3b7d613,1,PASS,7,1252.64,Yes,No
624d40ea5ad58707,2,FAIL,4,465.56,Yes,No
e090440b02df7219,3,FAIL,1,802.75,No,Yes
899bbb366dc44689,3,FAIL,2,130.51,Yes,No
c8b18eeabcd973f1,1,FAIL,2,1568.04,Yes,No
82877e44b5aa0795,1,FAIL,1,135.53,Yes,No
b9f806a3aba3a370,5,FAIL,2,632.16,Yes,No
c2f1726c32030b96,2,FAIL,5,483.04,Yes,No
5faeb260f219d74a,3,FAIL,5,1463.86,Yes,No
2ba08168d4f94e2f,3,FAIL,1,160.59,No,Yes
4d7a1a66baaf63ae,2,FAIL,2,245.09,Yes,No
fcddbcaebe33803e,5,FAIL,1,991.84,Yes,No
f8e018c187532e55,2,FAIL,2,448.30,Yes,No
1a54d6e78eb31f57,3,FAIL,2,339.53,Yes,No
4eb57609ef1ee631,1,FAIL,4,441.23,No,Yes
49e1d44abd319766,5,FAIL,7,1060.03,No,Yes
451e601ab40d68ce,3,FAIL,2,338.42,Yes,No
ce2b4e5ce355a816,1,PASS,10,523.42,Yes,No
fe0ba1ad7aff48c5,1,PASS,2,800.58,Yes,No
b142fbbeb41041b7,5,FAIL,2,982.68,Yes,No
5ad45782c4d247fd,3,FAIL,3,1836.06,Yes,No
a75d02e340d80895,4,FAIL,9,851.65,No,Yes
8ab3bd25684da05b,4,FAIL,7,705.74,No,Yes
d419f8fbaf6fe22,1,PASS,8,551.95,Yes,No
4fea7fa61194564d,1,PASS,10,2029.58,Yes,No
474da419ac055d71,3,FAIL,1,1114.64,Yes,No
6fff75b605783aaf,2,FAIL,2,239.32,Yes,No
40cac0c85d57352c,2,FAIL,4,467.12,Yes,No
e0f69178ae50095b,4,FAIL,1,64.62,No,Yes
41c32cabac723b4f,2,FAIL,11,482.55,No,Yes
cbe1e0098658043a,3,FAIL,2,187.41,Yes,No
225d82499bcf63c1,2,FAIL,6,951.84,Yes,No
cd584a0c52a16fb,1,FAIL,2,715.01,Yes,No
a4c23371c36c8274,1,FAIL,3,1151.76,Yes,No
