Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,29,3793.57,No,Yes
ebc9c10093a1255a,3,FAIL,23,3138.47,No,Yes
ed40414d615431d6,3,FAIL,9,1119.57,No,Yes
dce20e150e7fcced,5,FAIL,26,3012.00,Yes,No
3fe8a85b768ae5b7,1,FAIL,30,3105.41,No,Yes
1284a7249a4fa10f,3,FAIL,4,751.93,Yes,No
cbeb87b359947c42,3,FAIL,9,1237.82,Yes,No
c80d64b5c5e39d7b,5,FAIL,15,2180.49,Yes,No
24e8876585456ee5,5,FAIL,7,1055.16,No,Yes
196a88635b1c83b4,4,FAIL,13,1706.71,Yes,No
e82bd665d710bb75,2,PASS,18,2973.60,Yes,No
c6739963a7308111,3,PASS,8,1922.83,Yes,No
953c10f2e4d6fd6,2,FAIL,19,2170.61,Yes,No
d91761f3ba340d,4,FAIL,13,2934.25,Yes,No
bc66c2e18fd6231b,3,PASS,16,2021.33,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,724.95,Yes,No
5f9a92945a4ab62e,1,PASS,7,867.35,Yes,No
860fbc1cfd446f7c,3,FAIL,13,1908.48,No,Yes
5b5d43da944a752d,4,PASS,9,1227.17,Yes,No
971ad9f45d1bd53b,5,FAIL,13,3335.10,No,Yes
5b3d4d35ac301050,2,PASS,11,1318.14,Yes,No
69a08c785ce5fcac,1,PASS,6,641.36,Yes,No
a814bed4f6905ba4,5,FAIL,14,1343.79,Yes,No
f32fe4e5b37fedaa,5,FAIL,14,1831.12,Yes,No
3ba7fc567dd14312,3,FAIL,16,1731.62,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,2475.09,Yes,No
8635ff1b1bcf0c2e,5,FAIL,17,2356.67,No,Yes
21df75919e7080e4,3,FAIL,8,913.72,Yes,No
daa2db8c01da0bfa,5,FAIL,10,1205.20,Yes,No
6443d25f8c289548,3,FAIL,3,420.07,Yes,No
91158b440e1d1942,5,FAIL,9,1249.75,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,21,1953.32,No,Yes
de0f40e0c4c5852a,4,FAIL,13,1938.84,No,Yes
7c2cc9e25acdc10f,4,FAIL,9,1663.87,Yes,No
146a216115846f70,5,FAIL,11,1611.22,Yes,No
704931925890a56c,2,FAIL,9,863.27,Yes,No
22c41f4911d10461,3,FAIL,13,3270.19,No,Yes
75761871763e88e3,2,FAIL,14,1563.72,Yes,No
fee7fa98ecbf4534,1,PASS,6,637.33,Yes,No
3abef01e5d890e13,4,FAIL,21,2616.14,Yes,No
a71c3513799bf094,2,FAIL,11,2168.82,No,Yes
3b229c1d0453a603,3,FAIL,10,943.70,Yes,No
ba867d9c182c1124,1,FAIL,9,1288.24,Yes,No
22ee8177bb6b927d,4,FAIL,21,2287.46,Yes,No
200a2fdec77f69b6,1,PASS,9,1179.75,Yes,No
4c7b5bd02c9270d,3,FAIL,8,2169.32,Yes,No
efb560f2141edf82,1,FAIL,17,2462.30,Yes,No
b7b817f9033f188,5,FAIL,15,2293.75,Yes,No
4cc3d963aecb0aec,3,FAIL,21,2480.56,Yes,No
6a4a59d9017e80e2,4,FAIL,8,1450.06,Yes,No
a483b2ad65b79823,4,FAIL,22,2468.16,No,Yes
c611d73335c05ea3,3,FAIL,9,1387.50,No,Yes
9fc7d6795a3be635,2,PASS,10,1048.96,Yes,No
9b4f3b36495c1615,3,FAIL,14,1784.40,Yes,No
1b62c846b90e5d1d,3,FAIL,12,1425.63,Yes,No
934d99322aa22dff,1,FAIL,14,1134.67,Yes,No
cd5b6b24c51fb69a,2,FAIL,12,1815.81,No,Yes
bb9d7db6f55f1f1e,4,FAIL,19,2753.26,No,Yes
d1e03bb313e747a9,1,PASS,15,1469.50,Yes,No
e1b6f8b19d2f4176,2,FAIL,18,1766.94,Yes,No
c09ea70a605760d3,1,FAIL,19,1573.92,No,Yes
58a0f5bca3ff514c,5,FAIL,11,1060.40,No,Yes
625730bf3883005c,4,FAIL,21,2349.69,No,Yes
8211b75bfb0c714d,1,PASS,11,753.89,Yes,No
12adf37a767b56ea,2,FAIL,4,548.76,Yes,No
4582b19904d9a029,1,FAIL,9,1007.99,Yes,No
62035ff8ad16cb71,2,FAIL,30,3457.57,Yes,No
5c3f4379847796c4,4,FAIL,12,1842.08,Yes,No
bc71d833fad658fb,1,FAIL,3,497.82,Yes,No
77da6edaa689f44a,2,FAIL,14,1644.04,Yes,No
7326259652efbc9d,4,FAIL,24,2565.80,No,Yes
85f95e3fbcd76abb,3,FAIL,1,237.16,Yes,No
bb667cb09578b4a3,5,FAIL,20,1996.75,Yes,No
ad8f394763490f26,3,FAIL,7,719.30,Yes,No
3d1c8a00f582892,3,FAIL,8,2739.69,Yes,No
b10c07139b1aa490,1,PASS,10,1202.55,Yes,No
5d259263ec5a5c9e,4,FAIL,15,1715.62,No,Yes
62d5ef592f8f91fc,3,FAIL,23,2038.84,No,Yes
be49f0eca3cd4c32,1,FAIL,12,1131.31,No,Yes
220246750ec56ccb,2,FAIL,3,547.35,Yes,No
f425a63fc423ced0,3,FAIL,6,1510.44,Yes,No
b3e3c52cd5223942,5,FAIL,25,3072.92,Yes,No
ce576f59fcd8e5b5,4,FAIL,11,1554.51,Yes,No
d71204c97803d9a,4,FAIL,18,1992.41,Yes,No
cc4ff7682e293a1b,2,PASS,11,1801.37,Yes,No
b25e33c50909fc03,2,FAIL,21,2812.89,Yes,No
f271fc95525040b1,5,FAIL,15,1635.37,No,Yes
9390c84b6360b4bb,1,PASS,16,852.43,Yes,No
a454bd9c3ad0168a,5,FAIL,18,2215.02,Yes,No
db130c08db23e907,1,FAIL,13,1502.35,Yes,No
5c59a67541d92c71,5,FAIL,14,1980.58,Yes,No
745deea1055373eb,3,FAIL,9,856.07,No,Yes
440d97e917325fb0,3,FAIL,10,1056.33,Yes,No
dbd181183bb9f775,4,FAIL,17,1884.34,Yes,No
fef8e390bd7a2a7a,5,FAIL,7,883.95,No,Yes
