Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,38,7801.87,Yes,No
ebc9c10093a1255a,3,FAIL,23,5345.33,Yes,No
ed40414d615431d6,3,FAIL,17,3416.38,Yes,No
dce20e150e7fcced,5,FAIL,26,4458.82,Yes,No
3fe8a85b768ae5b7,1,FAIL,100,9981.81,No,Yes
1284a7249a4fa10f,3,FAIL,4,628.77,Yes,No
cbeb87b359947c42,3,FAIL,11,3676.40,Yes,No
c80d64b5c5e39d7b,5,FAIL,33,6074.24,Yes,No
24e8876585456ee5,5,FAIL,24,5731.68,Yes,No
196a88635b1c83b4,4,FAIL,19,3918.84,Yes,No
e82bd665d710bb75,2,PASS,18,6060.62,Yes,No
c6739963a7308111,3,FAIL,12,2347.94,Yes,No
953c10f2e4d6fd6,2,PASS,7,1672.64,Yes,No
d91761f3ba340d,4,FAIL,15,2868.97,Yes,No
bc66c2e18fd6231b,3,PASS,26,4753.16,Yes,No
4b236c53ea5fbbdf,3,FAIL,9,1851.79,Yes,No
5f9a92945a4ab62e,1,PASS,9,1738.64,Yes,No
860fbc1cfd446f7c,3,FAIL,39,6949.71,Yes,No
5b5d43da944a752d,4,FAIL,19,6503.15,Yes,No
971ad9f45d1bd53b,5,FAIL,30,5642.02,Yes,No
5b3d4d35ac301050,2,PASS,11,2133.07,Yes,No
69a08c785ce5fcac,1,PASS,6,675.44,Yes,No
a814bed4f6905ba4,5,FAIL,16,3141.74,Yes,No
f32fe4e5b37fedaa,5,FAIL,76,11329.10,Yes,No
3ba7fc567dd14312,3,FAIL,16,3789.06,Yes,No
7ce0b04c1a28cca6,1,FAIL,100,12507.71,No,Yes
8635ff1b1bcf0c2e,5,FAIL,15,3585.82,Yes,No
21df75919e7080e4,3,PASS,8,2180.88,Yes,No
daa2db8c01da0bfa,5,FAIL,16,3245.82,Yes,No
6443d25f8c289548,3,FAIL,7,5135.40,Yes,No
91158b440e1d1942,5,FAIL,21,4057.03,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,100,10466.90,No,Yes
de0f40e0c4c5852a,4,FAIL,9,1383.20,Yes,No
7c2cc9e25acdc10f,4,FAIL,11,9526.02,Yes,No
146a216115846f70,5,FAIL,11,4019.42,Yes,No
704931925890a56c,2,FAIL,5,623.97,Yes,No
22c41f4911d10461,3,FAIL,65,15820.01,Yes,No
75761871763e88e3,2,FAIL,12,2696.90,Yes,No
fee7fa98ecbf4534,1,PASS,10,2028.64,Yes,No
3abef01e5d890e13,4,FAIL,71,11231.17,Yes,No
a71c3513799bf094,2,FAIL,12,10155.64,Yes,No
3b229c1d0453a603,3,FAIL,12,1565.85,Yes,No
ba867d9c182c1124,1,FAIL,11,1643.54,Yes,No
22ee8177bb6b927d,4,FAIL,29,5585.91,Yes,No
200a2fdec77f69b6,1,PASS,11,1621.52,Yes,No
4c7b5bd02c9270d,3,FAIL,8,1385.31,Yes,No
efb560f2141edf82,1,PASS,5,813.71,Yes,No
b7b817f9033f188,5,FAIL,11,2057.35,Yes,No
4cc3d963aecb0aec,3,FAIL,11,2120.59,Yes,No
6a4a59d9017e80e2,4,FAIL,4,674.89,Yes,No
a483b2ad65b79823,4,FAIL,18,2692.13,Yes,No
c611d73335c05ea3,3,FAIL,17,2977.62,Yes,No
9fc7d6795a3be635,2,PASS,18,2634.16,Yes,No
9b4f3b36495c1615,3,FAIL,18,3062.85,Yes,No
1b62c846b90e5d1d,3,FAIL,16,2310.91,Yes,No
934d99322aa22dff,1,FAIL,16,2499.15,Yes,No
cd5b6b24c51fb69a,2,FAIL,12,2270.32,Yes,No
bb9d7db6f55f1f1e,4,FAIL,100,12458.04,No,Yes
d1e03bb313e747a9,1,PASS,15,2211.36,Yes,No
e1b6f8b19d2f4176,2,FAIL,100,10828.96,No,Yes
c09ea70a605760d3,1,FAIL,26,10763.99,Yes,No
58a0f5bca3ff514c,5,FAIL,16,2180.32,Yes,No
625730bf3883005c,4,FAIL,16,2657.86,Yes,No
8211b75bfb0c714d,1,PASS,11,1563.36,Yes,No
12adf37a767b56ea,2,FAIL,10,2023.21,Yes,No
4582b19904d9a029,1,FAIL,9,1503.47,Yes,No
62035ff8ad16cb71,2,FAIL,20,4356.96,Yes,No
5c3f4379847796c4,4,FAIL,18,3339.25,Yes,No
bc71d833fad658fb,1,FAIL,17,2925.54,Yes,No
77da6edaa689f44a,2,FAIL,12,1754.04,Yes,No
7326259652efbc9d,4,FAIL,28,4584.94,Yes,No
85f95e3fbcd76abb,3,FAIL,23,3948.80,Yes,No
bb667cb09578b4a3,5,FAIL,22,4001.89,Yes,No
ad8f394763490f26,3,FAIL,7,1061.00,Yes,No
3d1c8a00f582892,3,FAIL,8,1543.58,Yes,No
b10c07139b1aa490,1,FAIL,14,2537.53,Yes,No
5d259263ec5a5c9e,4,FAIL,7,1480.68,Yes,No
62d5ef592f8f91fc,3,FAIL,10,3554.81,Yes,No
be49f0eca3cd4c32,1,FAIL,100,19017.79,No,Yes
220246750ec56ccb,2,FAIL,11,3051.99,Yes,No
f425a63fc423ced0,3,FAIL,6,1037.89,Yes,No
b3e3c52cd5223942,5,FAIL,100,20896.57,No,Yes
ce576f59fcd8e5b5,4,FAIL,21,4562.37,Yes,No
d71204c97803d9a,4,FAIL,20,2929.80,Yes,No
cc4ff7682e293a1b,2,FAIL,19,2835.38,Yes,No
b25e33c50909fc03,2,FAIL,7,1233.66,Yes,No
f271fc95525040b1,5,FAIL,17,2690.68,Yes,No
9390c84b6360b4bb,1,PASS,16,2139.17,Yes,No
a454bd9c3ad0168a,5,FAIL,30,6164.12,Yes,No
db130c08db23e907,1,PASS,33,6004.63,Yes,No
5c59a67541d92c71,5,FAIL,74,14676.66,Yes,No
745deea1055373eb,3,FAIL,20,6369.45,Yes,No
440d97e917325fb0,3,FAIL,10,1516.62,Yes,No
dbd181183bb9f775,4,FAIL,25,4849.85,Yes,No
fef8e390bd7a2a7a,5,FAIL,36,6669.55,Yes,No
3987c3fc8d33089e,3,FAIL,100,18955.24,No,Yes
851365be4fc5c5e,2,PASS,3,532.77,Yes,No
e20e6b6a00158bdc,5,FAIL,27,4519.81,Yes,No
841b2d97bb365b8b,4,FAIL,27,4435.47,Yes,No
b4d66071dc728f44,2,FAIL,19,5678.76,Yes,No
1e7c5367fa438e3b,5,FAIL,19,3300.28,Yes,No
b8eb6f7dd1cc9b86,1,PASS,13,2584.11,Yes,No
1796837aa68c2b76,3,FAIL,15,3745.90,Yes,No
598f03a76e659bbd,3,FAIL,13,2991.08,Yes,No
a8ea92dd47f4186b,2,FAIL,23,3971.05,Yes,No
a305fe218d16e612,4,FAIL,27,4645.54,Yes,No
d58e426a05bbebe0,4,FAIL,16,4427.85,Yes,No
95baf8b98ab6874,5,FAIL,10,2243.64,Yes,No
d72e6e1a7317b676,4,FAIL,15,3280.84,Yes,No
b2888d9633744522,3,FAIL,10,1231.13,Yes,No
fb69acc1bff1c7b5,2,FAIL,20,3846.94,Yes,No
1b23ec5dcd81c575,2,FAIL,26,5106.30,Yes,No
dedb9695c830d9a1,5,FAIL,14,4759.14,Yes,No
94e6829bc5fe599b,4,FAIL,2,1792.49,Yes,No
7f61e30cde11dfd2,5,FAIL,17,2805.25,Yes,No
ac07176ade6d4fcc,2,FAIL,16,11360.25,Yes,No
aecb916b87a88a32,3,FAIL,27,4313.89,Yes,No
6a3a112c0f2e831b,5,FAIL,12,2694.72,Yes,No
e836ae53a1a6b880,5,FAIL,15,2926.66,Yes,No
58d9c6f1f97d78c1,2,FAIL,24,10844.67,Yes,No
10bea253035c791c,2,FAIL,16,3079.58,Yes,No
5569f16359d15a33,5,FAIL,30,17631.81,Yes,No
d4af13ed1d455209,1,FAIL,29,4759.38,Yes,No
4efa50053369c63c,3,FAIL,19,3037.25,Yes,No
4088920d22fbc15a,2,FAIL,20,3169.80,Yes,No
9ecc1e98360e6c0d,3,FAIL,16,2992.73,Yes,No
8b47902d43ed5c7,3,FAIL,10,2165.07,Yes,No
6911f7c1419318bb,4,FAIL,14,3806.27,Yes,No
ed62498f9a7cf7a5,4,FAIL,21,3668.39,Yes,No
4b518615758126ef,3,FAIL,8,1546.25,Yes,No
a2a967199664a80,4,FAIL,11,3494.15,Yes,No
93c544fa7b73dc1a,4,FAIL,16,3279.00,Yes,No
b54da7bdff2713e1,2,FAIL,38,9332.30,Yes,No
2c5ddc804e5b35ba,1,PASS,16,2645.73,Yes,No
241a28965ab741d,1,PASS,8,1738.51,Yes,No
4a5c32111bf61aae,5,FAIL,40,10386.39,Yes,No
65171c970b77339e,2,FAIL,23,4475.47,Yes,No
70c971586d6ab721,1,FAIL,100,11611.94,No,Yes
dd196820fff0f585,2,FAIL,13,2906.47,Yes,No
683d3d2b64d8d1fb,4,FAIL,21,6373.88,Yes,No
3ca9fa7e19e2188c,4,FAIL,14,3552.23,Yes,No
581706995f65f93d,5,FAIL,65,8493.72,Yes,No
8f5dd8ca7b23f826,4,FAIL,27,4716.02,Yes,No
4c6a9d610b717d17,3,FAIL,16,2504.57,Yes,No
f701ba6827f8ceff,2,FAIL,100,11273.38,No,Yes
24dd9a735b612dc1,3,FAIL,14,3025.67,Yes,No
138e21433d2e6a52,2,PASS,16,2384.82,Yes,No
72a1fec5c73b6560,4,FAIL,6,1326.84,Yes,No
86c16115d5cda6a0,5,FAIL,29,8356.96,Yes,No
2790e863a5831db9,3,FAIL,25,4648.44,Yes,No
ab298046d34718be,5,FAIL,29,8510.50,Yes,No
ad8274727f965b1c,1,FAIL,18,13604.42,Yes,No
a722e79130881da0,2,FAIL,16,2600.14,Yes,No
9435f4bc2b1cf34d,1,FAIL,40,6746.84,Yes,No
2e4b26ec1c401cbe,4,FAIL,9,1789.73,Yes,No
8b308dfba88e4ac,3,FAIL,100,11363.67,No,Yes
701d6d1daff25a25,2,FAIL,8,2306.37,Yes,No
f42b8d86bfb89096,1,FAIL,100,18750.16,No,Yes
c4341ab9fd5c439c,1,PASS,12,1701.82,Yes,No
97be11048bb04a30,3,FAIL,11,1947.18,Yes,No
7f403db698db059f,1,PASS,9,979.66,Yes,No
9e892fbdd6f4c4a9,2,FAIL,15,1899.01,Yes,No
b7672ba95aff4ff6,5,FAIL,20,3368.23,Yes,No
e0e6857dd441101b,2,FAIL,100,11482.37,No,Yes
a12c7a055e6395a2,2,FAIL,4,670.03,Yes,No
e8f814f726cb4612,5,FAIL,11,1886.57,Yes,No
fc19c4a5e89d29f4,4,FAIL,20,4490.09,Yes,No
4ec9d16a5a573d4e,2,FAIL,1,123.40,Yes,No
8bbb1046d8c49095,1,FAIL,6,893.57,Yes,No
8e231f18dc7d476f,5,FAIL,19,10341.87,Yes,No
50ed62dcb0f1bce3,4,FAIL,30,4073.11,Yes,No
154515f7b4e4fe2b,2,PASS,2,436.20,Yes,No
1a43bd0f8e35bd1d,2,FAIL,54,8030.11,Yes,No
281ee792644831c5,2,FAIL,26,19693.07,Yes,No
c881c033239a38de,3,FAIL,53,6554.71,Yes,No
a92cdc81d7a94775,5,FAIL,12,1416.03,Yes,No
9283bfdf68bc92a8,2,FAIL,9,1357.71,Yes,No
b7cbcba402c57078,2,FAIL,26,5044.60,Yes,No
11846421c28ce2aa,4,FAIL,100,12639.77,No,Yes
2a0e2b1240764998,4,FAIL,8,1540.03,Yes,No
577d6771b88eca36,3,FAIL,100,10502.92,No,Yes
9c31840855436adc,5,FAIL,17,5398.74,Yes,No
495da6f2a1c1f750,5,FAIL,53,8559.69,Yes,No
544628c3b3077982,5,FAIL,17,2609.57,Yes,No
95bd7bebb5849554,2,FAIL,100,13237.24,No,Yes
5daa7098e5e15b8a,3,FAIL,9,1780.46,Yes,No
2d360e53c1cbf48e,2,FAIL,100,15184.56,No,Yes
ad210a7535f9228a,3,PASS,11,1730.18,Yes,No
4d1f8e4f341d8ba,2,FAIL,36,6081.75,Yes,No
c0bf87685a69078a,2,FAIL,7,1246.56,Yes,No
e155b38ad467ae03,5,FAIL,14,2371.88,Yes,No
525f7011d139f68e,1,FAIL,20,3527.72,Yes,No
85ace8079f2972ab,3,FAIL,58,10907.53,Yes,No
d79be6059dc29292,2,FAIL,15,2048.92,Yes,No
bc2d315cd19b8b76,3,PASS,3,772.78,Yes,No
336018fab47f526a,2,FAIL,16,2976.87,Yes,No
9a0559017cacdd9c,1,FAIL,15,2452.11,Yes,No
5d4260bea3b7d613,1,PASS,9,1418.06,Yes,No
14738c1f0e0cf17e,2,FAIL,10,1935.30,Yes,No
23f41583d9fe02ee,2,FAIL,100,13606.40,No,Yes
