Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
4c7b5bd02c9270d,3,FAIL,1,3124.82,No,Yes
4ec9d16a5a573d4e,2,FAIL,1,35.01,Yes,No
aa31d05ed8fdb273,3,FAIL,38,298.39,Yes,No
ebc9c10093a1255a,3,FAIL,25,310.48,No,Yes
ed40414d615431d6,3,FAIL,5,23.87,Yes,No
dce20e150e7fcced,5,FAIL,27,115.29,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,4.85,Yes,No
1284a7249a4fa10f,3,FAIL,8,46.31,Yes,No
cbeb87b359947c42,3,FAIL,9,64.34,Yes,No
c80d64b5c5e39d7b,5,FAIL,29,258.91,Yes,No
24e8876585456ee5,5,FAIL,4,16.60,Yes,No
196a88635b1c83b4,4,FAIL,17,119.17,Yes,No
e82bd665d710bb75,2,FAIL,14,150.53,Yes,No
c6739963a7308111,3,FAIL,8,37.31,Yes,No
953c10f2e4d6fd6,2,PASS,1,9.70,Yes,No
d91761f3ba340d,4,FAIL,13,55.51,Yes,No
bc66c2e18fd6231b,3,FAIL,8,24.70,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,29.66,Yes,No
5f9a92945a4ab62e,1,PASS,7,51.56,Yes,No
860fbc1cfd446f7c,3,FAIL,1,9.06,Yes,No
5b5d43da944a752d,4,PASS,9,54.59,Yes,No
971ad9f45d1bd53b,5,FAIL,19,118.53,No,Yes
5b3d4d35ac301050,2,PASS,11,71.80,Yes,No
69a08c785ce5fcac,1,PASS,6,38.30,Yes,No
a814bed4f6905ba4,5,FAIL,18,87.40,Yes,No
f32fe4e5b37fedaa,5,FAIL,19,128.85,No,Yes
3ba7fc567dd14312,3,FAIL,14,46.36,Yes,No
7ce0b04c1a28cca6,1,FAIL,12,218.40,Yes,No
8635ff1b1bcf0c2e,5,FAIL,15,90.05,Yes,No
21df75919e7080e4,3,PASS,8,89.06,Yes,No
daa2db8c01da0bfa,5,FAIL,10,53.34,Yes,No
6443d25f8c289548,3,FAIL,5,26.56,Yes,No
91158b440e1d1942,5,FAIL,11,58.45,Yes,No
1ba6ec5d1f0c3bc6,2,PASS,17,74.23,Yes,No
de0f40e0c4c5852a,4,FAIL,7,32.47,Yes,No
7c2cc9e25acdc10f,4,FAIL,14,85.39,No,Yes
146a216115846f70,5,FAIL,11,49.50,Yes,No
704931925890a56c,2,FAIL,4,36.22,No,Yes
22c41f4911d10461,3,FAIL,23,102.46,Yes,No
75761871763e88e3,2,FAIL,10,51.43,Yes,No
fee7fa98ecbf4534,1,PASS,6,33.88,Yes,No
3abef01e5d890e13,4,FAIL,17,134.94,Yes,No
a71c3513799bf094,2,FAIL,14,96.11,Yes,No
3b229c1d0453a603,3,FAIL,14,89.34,Yes,No
ba867d9c182c1124,1,FAIL,5,19.53,Yes,No
22ee8177bb6b927d,4,FAIL,26,177.06,No,Yes
200a2fdec77f69b6,1,PASS,13,102.05,Yes,No
efb560f2141edf82,1,PASS,3,30.43,Yes,No
b7b817f9033f188,5,FAIL,11,57.59,Yes,No
4cc3d963aecb0aec,3,FAIL,11,68.39,Yes,No
6a4a59d9017e80e2,4,FAIL,4,13.43,Yes,No
a483b2ad65b79823,4,FAIL,18,68.88,Yes,No
c611d73335c05ea3,3,FAIL,27,147.70,Yes,No
9fc7d6795a3be635,2,PASS,10,55.85,Yes,No
9b4f3b36495c1615,3,FAIL,18,89.60,No,Yes
1b62c846b90e5d1d,3,FAIL,14,98.25,Yes,No
934d99322aa22dff,1,FAIL,8,50.45,Yes,No
cd5b6b24c51fb69a,2,FAIL,2,19.91,No,Yes
bb9d7db6f55f1f1e,4,FAIL,34,240.38,Yes,No
d1e03bb313e747a9,1,FAIL,15,160.02,No,Yes
e1b6f8b19d2f4176,2,FAIL,22,263.77,Yes,No
c09ea70a605760d3,1,PASS,20,153.07,Yes,No
58a0f5bca3ff514c,5,FAIL,16,69.85,Yes,No
625730bf3883005c,4,FAIL,12,48.65,Yes,No
8211b75bfb0c714d,1,PASS,11,38.05,Yes,No
12adf37a767b56ea,2,FAIL,8,45.84,Yes,No
4582b19904d9a029,1,FAIL,9,67.65,Yes,No
62035ff8ad16cb71,2,FAIL,22,126.59,Yes,No
5c3f4379847796c4,4,FAIL,8,48.99,Yes,No
bc71d833fad658fb,1,FAIL,15,140.09,Yes,No
77da6edaa689f44a,2,FAIL,15,94.56,No,Yes
7326259652efbc9d,4,FAIL,1,8.34,No,Yes
85f95e3fbcd76abb,3,FAIL,1,22.59,Yes,No
bb667cb09578b4a3,5,FAIL,8,25.03,Yes,No
ad8f394763490f26,3,PASS,11,49.42,Yes,No
3d1c8a00f582892,3,FAIL,8,52.33,Yes,No
b10c07139b1aa490,1,FAIL,10,51.93,Yes,No
5d259263ec5a5c9e,4,FAIL,9,50.93,Yes,No
62d5ef592f8f91fc,3,FAIL,10,83.79,Yes,No
be49f0eca3cd4c32,1,PASS,23,111.43,Yes,No
220246750ec56ccb,2,FAIL,3,15.05,Yes,No
f425a63fc423ced0,3,FAIL,6,37.45,Yes,No
b3e3c52cd5223942,5,FAIL,35,217.16,No,Yes
ce576f59fcd8e5b5,4,FAIL,13,58.55,Yes,No
d71204c97803d9a,4,FAIL,18,106.63,Yes,No
cc4ff7682e293a1b,2,PASS,11,51.78,Yes,No
b25e33c50909fc03,2,FAIL,7,21.29,Yes,No
f271fc95525040b1,5,FAIL,17,93.61,Yes,No
9390c84b6360b4bb,1,PASS,16,55.02,Yes,No
a454bd9c3ad0168a,5,FAIL,9,51.19,No,Yes
db130c08db23e907,1,PASS,19,127.70,Yes,No
5c59a67541d92c71,5,FAIL,8,51.01,Yes,No
745deea1055373eb,3,FAIL,16,165.53,Yes,No
440d97e917325fb0,3,PASS,6,29.49,Yes,No
dbd181183bb9f775,4,FAIL,17,210.27,Yes,No
fef8e390bd7a2a7a,5,FAIL,22,180.57,No,Yes
3987c3fc8d33089e,3,FAIL,11,63.80,Yes,No
851365be4fc5c5e,2,PASS,1,18.41,Yes,No
e20e6b6a00158bdc,5,FAIL,21,128.18,Yes,No
841b2d97bb365b8b,4,FAIL,19,150.81,No,Yes
b4d66071dc728f44,2,FAIL,21,166.23,Yes,No
1e7c5367fa438e3b,5,FAIL,15,88.05,Yes,No
b8eb6f7dd1cc9b86,1,PASS,13,68.90,Yes,No
1796837aa68c2b76,3,FAIL,13,87.68,Yes,No
598f03a76e659bbd,3,FAIL,15,145.40,No,Yes
a8ea92dd47f4186b,2,FAIL,23,147.65,Yes,No
a305fe218d16e612,4,FAIL,11,68.78,Yes,No
d58e426a05bbebe0,4,FAIL,12,74.14,Yes,No
95baf8b98ab6874,5,FAIL,8,46.98,Yes,No
d72e6e1a7317b676,4,FAIL,5,40.71,Yes,No
b2888d9633744522,3,FAIL,10,41.60,Yes,No
fb69acc1bff1c7b5,2,FAIL,6,32.41,Yes,No
1b23ec5dcd81c575,2,FAIL,20,102.27,Yes,No
dedb9695c830d9a1,5,FAIL,14,129.15,Yes,No
94e6829bc5fe599b,4,FAIL,2,17.94,Yes,No
7f61e30cde11dfd2,5,FAIL,9,46.36,Yes,No
ac07176ade6d4fcc,2,FAIL,15,111.47,No,Yes
aecb916b87a88a32,3,FAIL,1,16.18,Yes,No
6a3a112c0f2e831b,5,FAIL,14,94.99,Yes,No
e836ae53a1a6b880,5,FAIL,15,102.41,Yes,No
58d9c6f1f97d78c1,2,FAIL,8,111.17,Yes,No
10bea253035c791c,2,FAIL,26,278.99,No,Yes
5569f16359d15a33,5,FAIL,24,109.18,Yes,No
d4af13ed1d455209,1,PASS,15,96.42,Yes,No
4efa50053369c63c,3,FAIL,11,39.02,Yes,No
4088920d22fbc15a,2,FAIL,14,83.85,Yes,No
9ecc1e98360e6c0d,3,FAIL,18,133.30,Yes,No
8b47902d43ed5c7,3,FAIL,8,86.67,Yes,No
6911f7c1419318bb,4,FAIL,10,42.89,Yes,No
