Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,28,1553.24,Yes,No
ebc9c10093a1255a,3,FAIL,71,3878.66,Yes,No
ed40414d615431d6,3,FAIL,13,797.53,Yes,No
dce20e150e7fcced,5,FAIL,34,1928.19,Yes,No
3fe8a85b768ae5b7,1,FAIL,1,45.56,Yes,No
1284a7249a4fa10f,3,FAIL,6,433.36,Yes,No
cbeb87b359947c42,3,FAIL,19,1028.18,Yes,No
c80d64b5c5e39d7b,5,FAIL,23,1245.48,Yes,No
24e8876585456ee5,5,FAIL,12,859.49,Yes,No
196a88635b1c83b4,4,FAIL,27,1517.67,Yes,No
e82bd665d710bb75,2,FAIL,28,1678.99,Yes,No
c6739963a7308111,3,FAIL,10,628.98,Yes,No
953c10f2e4d6fd6,2,FAIL,100,5265.78,No,Yes
d91761f3ba340d,4,FAIL,67,3186.73,Yes,No
bc66c2e18fd6231b,3,FAIL,16,930.45,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,326.58,Yes,No
5f9a92945a4ab62e,1,FAIL,13,970.98,Yes,No
860fbc1cfd446f7c,3,FAIL,75,3661.84,Yes,No
5b5d43da944a752d,4,FAIL,15,821.52,Yes,No
971ad9f45d1bd53b,5,FAIL,22,961.83,Yes,No
5b3d4d35ac301050,2,FAIL,91,4840.59,Yes,No
69a08c785ce5fcac,1,PASS,10,738.09,Yes,No
a814bed4f6905ba4,5,FAIL,30,1663.55,Yes,No
f32fe4e5b37fedaa,5,FAIL,10,594.54,Yes,No
3ba7fc567dd14312,3,FAIL,30,1471.91,Yes,No
7ce0b04c1a28cca6,1,FAIL,14,1191.13,Yes,No
8635ff1b1bcf0c2e,5,FAIL,71,4245.91,Yes,No
21df75919e7080e4,3,PASS,19,938.01,Yes,No
daa2db8c01da0bfa,5,FAIL,10,551.10,Yes,No
6443d25f8c289548,3,FAIL,3,238.41,Yes,No
91158b440e1d1942,5,FAIL,100,4637.88,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,100,4411.14,No,Yes
de0f40e0c4c5852a,4,FAIL,35,1517.77,Yes,No
7c2cc9e25acdc10f,4,FAIL,100,5661.68,No,Yes
146a216115846f70,5,FAIL,11,705.25,Yes,No
704931925890a56c,2,FAIL,11,743.68,Yes,No
22c41f4911d10461,3,FAIL,47,2229.33,Yes,No
75761871763e88e3,2,FAIL,16,807.93,Yes,No
fee7fa98ecbf4534,1,FAIL,8,457.47,Yes,No
3abef01e5d890e13,4,FAIL,37,1659.14,Yes,No
a71c3513799bf094,2,FAIL,24,1662.25,Yes,No
3b229c1d0453a603,3,FAIL,4,446.44,Yes,No
ba867d9c182c1124,1,FAIL,11,502.80,Yes,No
22ee8177bb6b927d,4,FAIL,27,1473.61,Yes,No
200a2fdec77f69b6,1,PASS,31,1919.60,Yes,No
4c7b5bd02c9270d,3,FAIL,14,850.40,Yes,No
efb560f2141edf82,1,PASS,3,280.00,Yes,No
b7b817f9033f188,5,FAIL,45,2415.69,Yes,No
4cc3d963aecb0aec,3,FAIL,19,1286.18,Yes,No
6a4a59d9017e80e2,4,FAIL,6,217.54,Yes,No
a483b2ad65b79823,4,FAIL,32,1470.99,Yes,No
c611d73335c05ea3,3,FAIL,43,2215.42,Yes,No
9fc7d6795a3be635,2,PASS,12,638.04,Yes,No
9b4f3b36495c1615,3,FAIL,28,1663.22,Yes,No
1b62c846b90e5d1d,3,FAIL,16,990.07,Yes,No
934d99322aa22dff,1,FAIL,100,5091.51,No,Yes
cd5b6b24c51fb69a,2,FAIL,26,1486.90,Yes,No
bb9d7db6f55f1f1e,4,FAIL,44,2407.07,Yes,No
d1e03bb313e747a9,1,FAIL,25,1655.92,Yes,No
e1b6f8b19d2f4176,2,FAIL,24,1257.51,Yes,No
c09ea70a605760d3,1,FAIL,24,1403.64,Yes,No
58a0f5bca3ff514c,5,FAIL,20,916.17,Yes,No
625730bf3883005c,4,FAIL,24,1181.81,Yes,No
8211b75bfb0c714d,1,PASS,19,1057.19,Yes,No
12adf37a767b56ea,2,FAIL,6,413.99,Yes,No
4582b19904d9a029,1,FAIL,9,496.48,Yes,No
62035ff8ad16cb71,2,FAIL,42,2257.94,Yes,No
5c3f4379847796c4,4,FAIL,10,427.71,Yes,No
bc71d833fad658fb,1,FAIL,100,5155.91,No,Yes
77da6edaa689f44a,2,FAIL,8,544.65,Yes,No
7326259652efbc9d,4,FAIL,26,1590.44,Yes,No
85f95e3fbcd76abb,3,FAIL,100,5143.72,No,Yes
bb667cb09578b4a3,5,FAIL,58,2869.96,Yes,No
ad8f394763490f26,3,FAIL,21,1422.66,Yes,No
3d1c8a00f582892,3,FAIL,14,971.99,Yes,No
b10c07139b1aa490,1,FAIL,38,2288.00,Yes,No
5d259263ec5a5c9e,4,FAIL,11,670.33,Yes,No
62d5ef592f8f91fc,3,FAIL,26,1383.04,Yes,No
be49f0eca3cd4c32,1,FAIL,39,2476.00,Yes,No
220246750ec56ccb,2,FAIL,3,193.90,Yes,No
f425a63fc423ced0,3,FAIL,6,459.21,Yes,No
b3e3c52cd5223942,5,FAIL,100,4065.30,No,Yes
ce576f59fcd8e5b5,4,FAIL,17,1031.26,Yes,No
d71204c97803d9a,4,FAIL,36,1532.15,Yes,No
cc4ff7682e293a1b,2,FAIL,17,1077.36,Yes,No
b25e33c50909fc03,2,FAIL,9,426.48,Yes,No
f271fc95525040b1,5,FAIL,35,1858.95,Yes,No
9390c84b6360b4bb,1,PASS,18,985.57,Yes,No
a454bd9c3ad0168a,5,FAIL,100,5252.25,No,Yes
db130c08db23e907,1,FAIL,37,2380.57,Yes,No
5c59a67541d92c71,5,FAIL,30,1668.54,Yes,No
745deea1055373eb,3,FAIL,32,1755.60,Yes,No
440d97e917325fb0,3,FAIL,28,1615.71,Yes,No
dbd181183bb9f775,4,FAIL,39,2088.02,Yes,No
fef8e390bd7a2a7a,5,FAIL,24,1145.77,Yes,No
3987c3fc8d33089e,3,FAIL,29,1713.19,Yes,No
851365be4fc5c5e,2,PASS,3,278.00,Yes,No
e20e6b6a00158bdc,5,FAIL,75,4097.19,Yes,No
841b2d97bb365b8b,4,FAIL,61,3430.74,Yes,No
b4d66071dc728f44,2,FAIL,31,1890.21,Yes,No
1e7c5367fa438e3b,5,FAIL,33,1926.59,Yes,No
b8eb6f7dd1cc9b86,1,PASS,15,816.80,Yes,No
1796837aa68c2b76,3,FAIL,27,1401.49,Yes,No
598f03a76e659bbd,3,FAIL,63,3663.10,Yes,No
a8ea92dd47f4186b,2,FAIL,100,4732.46,No,Yes
a305fe218d16e612,4,FAIL,27,1540.00,Yes,No
d58e426a05bbebe0,4,FAIL,24,1390.34,Yes,No
95baf8b98ab6874,5,FAIL,8,448.76,Yes,No
d72e6e1a7317b676,4,FAIL,97,4859.23,Yes,No
b2888d9633744522,3,FAIL,16,603.33,Yes,No
fb69acc1bff1c7b5,2,FAIL,14,1394.48,Yes,No
1b23ec5dcd81c575,2,FAIL,32,1807.68,Yes,No
dedb9695c830d9a1,5,FAIL,16,1117.15,Yes,No
94e6829bc5fe599b,4,FAIL,6,505.78,Yes,No
7f61e30cde11dfd2,5,FAIL,21,1345.49,Yes,No
ac07176ade6d4fcc,2,FAIL,100,5573.70,No,Yes
aecb916b87a88a32,3,FAIL,71,3703.40,Yes,No
6a3a112c0f2e831b,5,FAIL,28,1610.87,Yes,No
e836ae53a1a6b880,5,FAIL,19,1203.40,Yes,No
58d9c6f1f97d78c1,2,FAIL,36,2144.17,Yes,No
10bea253035c791c,2,FAIL,28,1691.95,Yes,No
5569f16359d15a33,5,FAIL,44,2169.68,Yes,No
d4af13ed1d455209,1,PASS,23,1234.32,Yes,No
4efa50053369c63c,3,FAIL,7,288.17,Yes,No
4088920d22fbc15a,2,FAIL,32,2085.43,Yes,No
9ecc1e98360e6c0d,3,FAIL,40,2332.32,Yes,No
8b47902d43ed5c7,3,FAIL,24,1746.82,Yes,No
6911f7c1419318bb,4,FAIL,32,1750.71,Yes,No
ed62498f9a7cf7a5,4,FAIL,21,1085.98,Yes,No
4b518615758126ef,3,FAIL,14,742.95,Yes,No
a2a967199664a80,4,FAIL,17,1114.61,Yes,No
93c544fa7b73dc1a,4,FAIL,30,1718.62,Yes,No
b54da7bdff2713e1,2,FAIL,12,758.49,Yes,No
2c5ddc804e5b35ba,1,FAIL,84,4633.09,Yes,No
241a28965ab741d,1,FAIL,4,299.00,Yes,No
4a5c32111bf61aae,5,FAIL,6,322.03,Yes,No
65171c970b77339e,2,PASS,27,1844.98,Yes,No
70c971586d6ab721,1,PASS,26,1623.20,Yes,No
dd196820fff0f585,2,FAIL,15,958.90,Yes,No
683d3d2b64d8d1fb,4,FAIL,29,1560.01,Yes,No
3ca9fa7e19e2188c,4,PASS,32,1637.81,Yes,No
581706995f65f93d,5,FAIL,87,3806.20,Yes,No
8f5dd8ca7b23f826,4,FAIL,3,243.24,Yes,No
4c6a9d610b717d17,3,FAIL,38,1894.51,Yes,No
f701ba6827f8ceff,2,FAIL,7,476.03,Yes,No
24dd9a735b612dc1,3,FAIL,100,5277.92,No,Yes
138e21433d2e6a52,2,FAIL,8,382.54,Yes,No
72a1fec5c73b6560,4,FAIL,20,1088.68,Yes,No
86c16115d5cda6a0,5,FAIL,37,1935.44,Yes,No
2790e863a5831db9,3,FAIL,23,1457.18,Yes,No
ab298046d34718be,5,FAIL,7,438.18,Yes,No
ad8274727f965b1c,1,FAIL,100,5575.23,No,Yes
a722e79130881da0,2,FAIL,10,579.88,Yes,No
9435f4bc2b1cf34d,1,FAIL,13,1035.21,Yes,No
2e4b26ec1c401cbe,4,FAIL,11,765.24,Yes,No
8b308dfba88e4ac,3,FAIL,45,2422.96,Yes,No
701d6d1daff25a25,2,FAIL,16,771.01,Yes,No
f42b8d86bfb89096,1,FAIL,29,1955.18,Yes,No
c4341ab9fd5c439c,1,PASS,45,2518.38,Yes,No
97be11048bb04a30,3,FAIL,15,854.53,Yes,No
7f403db698db059f,1,PASS,17,998.72,Yes,No
9e892fbdd6f4c4a9,2,FAIL,37,1770.74,Yes,No
b7672ba95aff4ff6,5,FAIL,44,1758.31,Yes,No
e0e6857dd441101b,2,FAIL,36,2002.57,Yes,No
a12c7a055e6395a2,2,FAIL,18,966.73,Yes,No
e8f814f726cb4612,5,FAIL,11,824.22,Yes,No
fc19c4a5e89d29f4,4,FAIL,32,1729.28,Yes,No
4ec9d16a5a573d4e,2,FAIL,13,665.04,Yes,No
8bbb1046d8c49095,1,FAIL,8,291.18,Yes,No
8e231f18dc7d476f,5,FAIL,100,4578.19,No,Yes
50ed62dcb0f1bce3,4,FAIL,18,902.03,Yes,No
154515f7b4e4fe2b,2,PASS,6,281.73,Yes,No
1a43bd0f8e35bd1d,2,FAIL,40,2453.68,Yes,No
281ee792644831c5,2,FAIL,32,1963.00,Yes,No
c881c033239a38de,3,FAIL,21,1177.20,Yes,No
a92cdc81d7a94775,5,FAIL,14,655.67,Yes,No
9283bfdf68bc92a8,2,FAIL,11,654.84,Yes,No
b7cbcba402c57078,2,FAIL,22,1443.53,Yes,No
11846421c28ce2aa,4,FAIL,25,1408.60,Yes,No
2a0e2b1240764998,4,FAIL,28,1814.55,Yes,No
577d6771b88eca36,3,FAIL,34,2131.74,Yes,No
9c31840855436adc,5,FAIL,17,1301.65,Yes,No
495da6f2a1c1f750,5,FAIL,47,2653.76,Yes,No
544628c3b3077982,5,FAIL,15,703.16,Yes,No
95bd7bebb5849554,2,FAIL,100,4463.20,No,Yes
5daa7098e5e15b8a,3,FAIL,11,820.93,Yes,No
2d360e53c1cbf48e,2,FAIL,100,5509.52,No,Yes
ad210a7535f9228a,3,FAIL,47,2625.70,Yes,No
4d1f8e4f341d8ba,2,FAIL,100,6037.65,No,Yes
c0bf87685a69078a,2,FAIL,5,214.16,Yes,No
e155b38ad467ae03,5,FAIL,22,1307.63,Yes,No
525f7011d139f68e,1,FAIL,100,5898.56,No,Yes
85ace8079f2972ab,3,FAIL,36,2038.43,Yes,No
d79be6059dc29292,2,FAIL,33,1682.78,Yes,No
bc2d315cd19b8b76,3,FAIL,13,1003.18,Yes,No
336018fab47f526a,2,FAIL,16,755.80,Yes,No
9a0559017cacdd9c,1,FAIL,11,535.77,Yes,No
5d4260bea3b7d613,1,PASS,7,419.25,Yes,No
14738c1f0e0cf17e,2,FAIL,16,996.85,Yes,No
23f41583d9fe02ee,2,FAIL,100,5687.85,No,Yes
58acf96418610e19,5,FAIL,46,2439.08,Yes,No
