Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,16.87,rules
ebc9c10093a1255a,3,FAIL,34,177.09,rules
ed40414d615431d6,3,FAIL,8,63.57,"start/end, disconnected, intersecting"
dce20e150e7fcced,5,FAIL,73,17.93,"start/end, rules"
3fe8a85b768ae5b7,1,FAIL,33,14.97,"disconnected, intersecting, rules"
1284a7249a4fa10f,3,FAIL,5,6.14,None
cbeb87b359947c42,3,FAIL,10,26.32,rules
c80d64b5c5e39d7b,5,FAIL,8,13.77,None
24e8876585456ee5,5,FAIL,5,57.56,None
196a88635b1c83b4,4,FAIL,15,18.65,"disconnected, intersecting, rules"
e82bd665d710bb75,2,FAIL,0,6.91,"start/end, disconnected, intersecting, rules"
c6739963a7308111,3,FAIL,25,13.34,"disconnected, intersecting, rules"
953c10f2e4d6fd6,2,PASS,2,107.67,None
d91761f3ba340d,4,FAIL,12,15.54,"disconnected, rules"
bc66c2e18fd6231b,3,FAIL,27,11.95,rules
4b236c53ea5fbbdf,3,FAIL,59,26.49,"start/end, intersecting, rules"
5f9a92945a4ab62e,1,FAIL,8,92.55,rules
860fbc1cfd446f7c,3,FAIL,10,16.55,"start/end, rules"
5b5d43da944a752d,4,FAIL,12,13.06,rules
971ad9f45d1bd53b,5,FAIL,9,16.96,rules
5b3d4d35ac301050,2,FAIL,18,16.26,rules
69a08c785ce5fcac,1,FAIL,9,33.04,rules
a814bed4f6905ba4,5,FAIL,20,170.72,"disconnected, rules"
f32fe4e5b37fedaa,5,FAIL,13,7.56,rules
3ba7fc567dd14312,3,FAIL,25,10.78,rules
7ce0b04c1a28cca6,1,FAIL,31,45.08,"intersecting, rules"
8635ff1b1bcf0c2e,5,FAIL,14,165.08,rules
21df75919e7080e4,3,FAIL,15,15.05,rules
daa2db8c01da0bfa,5,FAIL,11,40.11,rules
6443d25f8c289548,3,FAIL,14,7.65,rules
91158b440e1d1942,5,FAIL,16,14.26,rules
1ba6ec5d1f0c3bc6,2,FAIL,26,9.53,"intersecting, rules"
de0f40e0c4c5852a,4,FAIL,24,25.23,"intersecting, rules"
7c2cc9e25acdc10f,4,FAIL,22,85.89,intersecting
146a216115846f70,5,FAIL,25,13.28,"disconnected, rules"
704931925890a56c,2,FAIL,16,22.13,rules
22c41f4911d10461,3,FAIL,23,12.75,"disconnected, intersecting, rules"
75761871763e88e3,2,FAIL,11,10.60,None
fee7fa98ecbf4534,1,FAIL,2,14.81,disconnected
3abef01e5d890e13,4,PASS,16,13.97,None
a71c3513799bf094,2,FAIL,5,10.37,rules
3b229c1d0453a603,3,FAIL,3,38.66,None
ba867d9c182c1124,1,FAIL,8,15.94,rules
22ee8177bb6b927d,4,FAIL,12,8.17,None
200a2fdec77f69b6,1,FAIL,17,11.25,"start/end, disconnected, rules"
4c7b5bd02c9270d,3,FAIL,49,61.02,intersecting
efb560f2141edf82,1,FAIL,8,17.97,rules
b7b817f9033f188,5,FAIL,16,8.96,rules
4cc3d963aecb0aec,3,FAIL,20,11.41,rules
6a4a59d9017e80e2,4,FAIL,43,10.55,"intersecting, rules"
a483b2ad65b79823,4,FAIL,20,8.55,"disconnected, rules"
c611d73335c05ea3,3,FAIL,11,21.77,"start/end, rules"
9fc7d6795a3be635,2,PASS,19,11.66,None
9b4f3b36495c1615,3,FAIL,873,78.39,"start/end, intersecting, rules"
1b62c846b90e5d1d,3,FAIL,17,10.13,rules
934d99322aa22dff,1,FAIL,15,3.29,"intersecting, rules"
cd5b6b24c51fb69a,2,FAIL,11,21.96,rules
bb9d7db6f55f1f1e,4,FAIL,17,16.81,rules
d1e03bb313e747a9,1,FAIL,16,39.66,"intersecting, rules"
e1b6f8b19d2f4176,2,FAIL,36,10.25,"disconnected, rules"
c09ea70a605760d3,1,FAIL,15,8.45,rules
58a0f5bca3ff514c,5,FAIL,38,16.96,"disconnected, intersecting, rules"
625730bf3883005c,4,FAIL,15,16.79,rules
8211b75bfb0c714d,1,FAIL,7,7.74,disconnected
12adf37a767b56ea,2,FAIL,9,116.47,rules
4582b19904d9a029,1,FAIL,14,43.18,rules
62035ff8ad16cb71,2,FAIL,13,28.54,rules
5c3f4379847796c4,4,FAIL,14,11.63,"disconnected, rules"
bc71d833fad658fb,1,FAIL,15,10.65,"disconnected, intersecting, rules"
77da6edaa689f44a,2,FAIL,10,12.10,"disconnected, rules"
7326259652efbc9d,4,FAIL,16,122.85,"start/end, disconnected, rules"
