Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,43,550.12,None
ebc9c10093a1255a,3,FAIL,26,497.74,None
ed40414d615431d6,3,FAIL,10,498.58,None
dce20e150e7fcced,5,FAIL,29,626.09,rules
3fe8a85b768ae5b7,1,FAIL,5,445.65,disconnected
1284a7249a4fa10f,3,FAIL,17,502.55,rules
cbeb87b359947c42,3,FAIL,28,441.74,"intersecting, rules"
c80d64b5c5e39d7b,5,FAIL,34,510.68,None
24e8876585456ee5,5,FAIL,5,596.47,None
196a88635b1c83b4,4,FAIL,15,908.27,start/end
e82bd665d710bb75,2,FAIL,11,658.73,rules
c6739963a7308111,3,FAIL,17,516.30,None
953c10f2e4d6fd6,2,FAIL,20,622.82,None
d91761f3ba340d,4,FAIL,31,591.19,"disconnected, intersecting, rules"
bc66c2e18fd6231b,3,FAIL,24,655.58,"disconnected, intersecting, rules"
4b236c53ea5fbbdf,3,FAIL,34,577.35,rules
5f9a92945a4ab62e,1,FAIL,8,476.18,None
860fbc1cfd446f7c,3,FAIL,22,584.78,rules
5b5d43da944a752d,4,FAIL,14,515.34,None
971ad9f45d1bd53b,5,FAIL,25,530.12,disconnected
5b3d4d35ac301050,2,PASS,12,410.03,None
69a08c785ce5fcac,1,PASS,7,230.28,None
a814bed4f6905ba4,5,FAIL,27,502.73,rules
f32fe4e5b37fedaa,5,FAIL,25,554.29,rules
3ba7fc567dd14312,3,FAIL,15,535.29,disconnected
7ce0b04c1a28cca6,1,FAIL,23,453.19,"intersecting, rules"
8635ff1b1bcf0c2e,5,FAIL,52,521.83,"intersecting, rules"
21df75919e7080e4,3,FAIL,9,555.58,None
daa2db8c01da0bfa,5,FAIL,19,487.68,None
6443d25f8c289548,3,FAIL,30,425.25,None
91158b440e1d1942,5,FAIL,12,450.22,None
1ba6ec5d1f0c3bc6,2,FAIL,24,467.62,None
de0f40e0c4c5852a,4,FAIL,6,433.02,None
7c2cc9e25acdc10f,4,FAIL,24,452.29,rules
146a216115846f70,5,FAIL,30,436.97,rules
704931925890a56c,2,FAIL,17,705.36,"disconnected, intersecting, rules"
22c41f4911d10461,3,FAIL,39,1527.66,disconnected
75761871763e88e3,2,FAIL,11,428.67,None
fee7fa98ecbf4534,1,PASS,7,390.66,None
3abef01e5d890e13,4,PASS,16,495.70,None
a71c3513799bf094,2,FAIL,1,1174.57,start/end
3b229c1d0453a603,3,FAIL,16,547.68,disconnected
ba867d9c182c1124,1,FAIL,16,434.05,None
22ee8177bb6b927d,4,FAIL,22,455.44,None
200a2fdec77f69b6,1,FAIL,8,679.31,rules
4c7b5bd02c9270d,3,FAIL,9,472.72,"disconnected, rules"
efb560f2141edf82,1,PASS,18,388.62,None
b7b817f9033f188,5,FAIL,30,440.80,None
4cc3d963aecb0aec,3,FAIL,22,460.42,rules
6a4a59d9017e80e2,4,FAIL,29,429.87,rules
a483b2ad65b79823,4,FAIL,34,530.56,"disconnected, intersecting"
c611d73335c05ea3,3,FAIL,20,423.51,rules
9fc7d6795a3be635,2,FAIL,11,527.40,"start/end, disconnected"
9b4f3b36495c1615,3,FAIL,15,460.47,None
1b62c846b90e5d1d,3,FAIL,13,469.60,None
934d99322aa22dff,1,FAIL,15,429.04,None
cd5b6b24c51fb69a,2,FAIL,19,526.09,None
bb9d7db6f55f1f1e,4,FAIL,20,444.61,"disconnected, rules"
d1e03bb313e747a9,1,FAIL,20,396.41,None
e1b6f8b19d2f4176,2,FAIL,19,444.64,None
c09ea70a605760d3,1,PASS,21,491.10,None
58a0f5bca3ff514c,5,FAIL,19,456.04,rules
625730bf3883005c,4,FAIL,21,515.67,None
8211b75bfb0c714d,1,PASS,12,345.90,None
12adf37a767b56ea,2,FAIL,5,427.96,None
4582b19904d9a029,1,FAIL,14,455.27,None
62035ff8ad16cb71,2,FAIL,27,423.97,disconnected
5c3f4379847796c4,4,FAIL,21,538.75,None
bc71d833fad658fb,1,PASS,18,515.03,None
77da6edaa689f44a,2,FAIL,23,445.38,None
7326259652efbc9d,4,FAIL,21,568.62,None
85f95e3fbcd76abb,3,FAIL,54,638.11,"intersecting, rules"
bb667cb09578b4a3,5,FAIL,41,417.46,rules
ad8f394763490f26,3,FAIL,8,397.38,None
3d1c8a00f582892,3,FAIL,17,507.12,rules
b10c07139b1aa490,1,PASS,11,386.64,None
5d259263ec5a5c9e,4,FAIL,12,572.32,None
62d5ef592f8f91fc,3,FAIL,25,634.03,"intersecting, rules"
be49f0eca3cd4c32,1,PASS,24,461.77,None
220246750ec56ccb,2,FAIL,49,506.62,"disconnected, intersecting, rules"
f425a63fc423ced0,3,FAIL,7,503.40,None
b3e3c52cd5223942,5,FAIL,28,617.26,None
ce576f59fcd8e5b5,4,FAIL,24,479.64,rules
d71204c97803d9a,4,FAIL,31,457.75,rules
cc4ff7682e293a1b,2,PASS,12,425.34,None
b25e33c50909fc03,2,FAIL,18,458.68,disconnected
f271fc95525040b1,5,FAIL,18,543.64,None
9390c84b6360b4bb,1,PASS,17,264.34,None
a454bd9c3ad0168a,5,FAIL,55,499.58,"disconnected, intersecting, rules"
db130c08db23e907,1,FAIL,22,581.01,None
5c59a67541d92c71,5,FAIL,39,433.41,"intersecting, rules"
745deea1055373eb,3,FAIL,17,576.85,None
440d97e917325fb0,3,PASS,7,505.48,None
dbd181183bb9f775,4,FAIL,18,547.86,None
fef8e390bd7a2a7a,5,FAIL,27,499.01,None
3987c3fc8d33089e,3,FAIL,22,526.11,None
851365be4fc5c5e,2,FAIL,22,542.69,None
e20e6b6a00158bdc,5,FAIL,38,326.75,"intersecting, rules"
841b2d97bb365b8b,4,FAIL,36,446.55,"intersecting, rules"
b4d66071dc728f44,2,FAIL,16,582.56,None
1e7c5367fa438e3b,5,FAIL,22,373.33,None
b8eb6f7dd1cc9b86,1,PASS,14,321.86,None
1796837aa68c2b76,3,FAIL,32,528.28,"disconnected, intersecting, rules"
598f03a76e659bbd,3,FAIL,20,529.64,None
a8ea92dd47f4186b,2,FAIL,16,552.67,None
a305fe218d16e612,4,FAIL,20,537.89,rules
d58e426a05bbebe0,4,FAIL,31,860.37,"start/end, intersecting, rules"
95baf8b98ab6874,5,FAIL,13,817.12,rules
d72e6e1a7317b676,4,FAIL,6,507.81,None
b2888d9633744522,3,FAIL,17,504.52,"intersecting, rules"
fb69acc1bff1c7b5,2,PASS,17,575.02,None
1b23ec5dcd81c575,2,FAIL,9,388.38,None
dedb9695c830d9a1,5,FAIL,19,475.45,None
94e6829bc5fe599b,4,FAIL,29,515.44,rules
7f61e30cde11dfd2,5,FAIL,22,436.89,None
ac07176ade6d4fcc,2,FAIL,11,472.93,rules
aecb916b87a88a32,3,FAIL,24,492.51,None
6a3a112c0f2e831b,5,FAIL,11,414.75,None
e836ae53a1a6b880,5,FAIL,24,362.49,rules
58d9c6f1f97d78c1,2,FAIL,21,434.16,rules
10bea253035c791c,2,FAIL,13,741.45,None
5569f16359d15a33,5,FAIL,41,574.84,rules
d4af13ed1d455209,1,FAIL,53,698.11,"start/end, intersecting, rules"
4efa50053369c63c,3,FAIL,46,503.56,"intersecting, rules"
4088920d22fbc15a,2,FAIL,15,544.00,None
9ecc1e98360e6c0d,3,FAIL,27,403.39,None
8b47902d43ed5c7,3,FAIL,15,533.93,rules
6911f7c1419318bb,4,FAIL,11,434.08,None
ed62498f9a7cf7a5,4,FAIL,14,523.50,None
4b518615758126ef,3,FAIL,15,490.67,None
a2a967199664a80,4,FAIL,6,433.16,None
93c544fa7b73dc1a,4,FAIL,27,423.40,"intersecting, rules"
b54da7bdff2713e1,2,FAIL,21,396.83,None
2c5ddc804e5b35ba,1,PASS,17,590.10,None
241a28965ab741d,1,FAIL,18,531.49,disconnected
4a5c32111bf61aae,5,FAIL,47,493.86,None
65171c970b77339e,2,FAIL,4,492.99,None
70c971586d6ab721,1,FAIL,11,1595.04,None
dd196820fff0f585,2,FAIL,16,575.69,None
683d3d2b64d8d1fb,4,FAIL,24,448.45,rules
3ca9fa7e19e2188c,4,PASS,21,473.37,None
581706995f65f93d,5,FAIL,38,409.33,rules
8f5dd8ca7b23f826,4,FAIL,32,418.95,None
4c6a9d610b717d17,3,FAIL,17,411.11,None
f701ba6827f8ceff,2,FAIL,28,636.57,disconnected
24dd9a735b612dc1,3,FAIL,11,485.84,None
138e21433d2e6a52,2,PASS,17,319.33,None
72a1fec5c73b6560,4,FAIL,13,405.08,None
86c16115d5cda6a0,5,FAIL,51,427.41,"start/end, intersecting, rules"
2790e863a5831db9,3,FAIL,30,404.15,rules
ab298046d34718be,5,FAIL,26,413.26,rules
ad8274727f965b1c,1,PASS,21,410.81,None
a722e79130881da0,2,FAIL,17,447.07,rules
9435f4bc2b1cf34d,1,PASS,21,283.19,None
2e4b26ec1c401cbe,4,FAIL,20,397.84,"start/end, rules"
8b308dfba88e4ac,3,FAIL,38,529.59,rules
701d6d1daff25a25,2,FAIL,9,618.01,None
f42b8d86bfb89096,1,PASS,26,576.24,None
c4341ab9fd5c439c,1,FAIL,13,470.39,rules
97be11048bb04a30,3,FAIL,16,527.56,None
7f403db698db059f,1,PASS,10,361.65,None
9e892fbdd6f4c4a9,2,FAIL,16,406.64,None
b7672ba95aff4ff6,5,FAIL,27,474.03,"disconnected, rules"
e0e6857dd441101b,2,FAIL,19,487.97,None
a12c7a055e6395a2,2,FAIL,5,512.07,None
e8f814f726cb4612,5,FAIL,38,560.79,"intersecting, rules"
fc19c4a5e89d29f4,4,FAIL,13,546.82,rules
4ec9d16a5a573d4e,2,FAIL,20,471.16,None
8bbb1046d8c49095,1,FAIL,7,505.11,None
8e231f18dc7d476f,5,FAIL,32,483.63,rules
50ed62dcb0f1bce3,4,FAIL,19,467.98,None
154515f7b4e4fe2b,2,PASS,3,398.32,None
1a43bd0f8e35bd1d,2,FAIL,23,463.73,rules
