Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,27,3972.25,No,Yes
ebc9c10093a1255a,3,FAIL,17,2274.66,No,Yes
ed40414d615431d6,3,FAIL,5,979.67,Yes,No
dce20e150e7fcced,5,FAIL,27,4059.92,No,Yes
3fe8a85b768ae5b7,1,FAIL,26,3639.62,No,Yes
1284a7249a4fa10f,3,FAIL,8,1363.80,Yes,No
cbeb87b359947c42,3,FAIL,13,1810.81,Yes,No
c80d64b5c5e39d7b,5,FAIL,27,3481.88,Yes,No
24e8876585456ee5,5,FAIL,31,4221.68,No,Yes
196a88635b1c83b4,4,FAIL,13,1705.48,Yes,No
e82bd665d710bb75,2,FAIL,14,2387.05,Yes,No
c6739963a7308111,3,FAIL,8,1301.30,Yes,No
953c10f2e4d6fd6,2,FAIL,15,2223.62,Yes,No
d91761f3ba340d,4,FAIL,13,1440.56,Yes,No
bc66c2e18fd6231b,3,FAIL,14,1689.93,No,Yes
4b236c53ea5fbbdf,3,FAIL,16,2382.05,No,Yes
5f9a92945a4ab62e,1,FAIL,9,1303.91,No,Yes
860fbc1cfd446f7c,3,FAIL,23,3210.82,No,Yes
5b5d43da944a752d,4,PASS,9,1327.23,Yes,No
971ad9f45d1bd53b,5,FAIL,23,3151.05,No,Yes
5b3d4d35ac301050,2,PASS,11,1238.60,Yes,No
69a08c785ce5fcac,1,PASS,6,845.56,Yes,No
a814bed4f6905ba4,5,FAIL,14,1773.51,Yes,No
f32fe4e5b37fedaa,5,FAIL,29,3815.70,No,Yes
3ba7fc567dd14312,3,FAIL,20,2110.82,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,2181.08,Yes,No
8635ff1b1bcf0c2e,5,FAIL,21,2511.85,Yes,No
21df75919e7080e4,3,PASS,8,1379.58,Yes,No
daa2db8c01da0bfa,5,FAIL,10,1693.39,Yes,No
6443d25f8c289548,3,FAIL,5,691.64,Yes,No
91158b440e1d1942,5,FAIL,11,1698.54,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,17,1759.35,Yes,No
de0f40e0c4c5852a,4,FAIL,7,821.99,Yes,No
7c2cc9e25acdc10f,4,FAIL,11,1707.26,Yes,No
146a216115846f70,5,FAIL,23,2930.93,Yes,No
704931925890a56c,2,FAIL,17,1910.45,No,Yes
22c41f4911d10461,3,FAIL,33,3852.96,No,Yes
75761871763e88e3,2,FAIL,11,1563.39,No,Yes
fee7fa98ecbf4534,1,PASS,6,617.78,Yes,No
3abef01e5d890e13,4,FAIL,23,2870.41,Yes,No
a71c3513799bf094,2,FAIL,26,3012.04,Yes,No
3b229c1d0453a603,3,FAIL,10,1173.67,Yes,No
ba867d9c182c1124,1,FAIL,9,1407.22,Yes,No
22ee8177bb6b927d,4,FAIL,21,2369.75,Yes,No
200a2fdec77f69b6,1,FAIL,8,1327.84,No,Yes
4c7b5bd02c9270d,3,FAIL,8,1248.14,Yes,No
efb560f2141edf82,1,FAIL,7,1054.25,Yes,No
b7b817f9033f188,5,FAIL,11,1731.47,Yes,No
4cc3d963aecb0aec,3,FAIL,15,2058.91,No,Yes
6a4a59d9017e80e2,4,FAIL,12,1912.56,No,Yes
a483b2ad65b79823,4,FAIL,18,2393.66,No,Yes
c611d73335c05ea3,3,FAIL,17,2116.86,Yes,No
9fc7d6795a3be635,2,FAIL,11,1612.12,No,Yes
9b4f3b36495c1615,3,FAIL,20,2141.48,Yes,No
1b62c846b90e5d1d,3,FAIL,19,1996.14,No,Yes
934d99322aa22dff,1,FAIL,14,1435.96,Yes,No
cd5b6b24c51fb69a,2,FAIL,18,2188.28,Yes,No
bb9d7db6f55f1f1e,4,FAIL,37,5148.15,No,Yes
d1e03bb313e747a9,1,FAIL,15,1487.16,No,Yes
e1b6f8b19d2f4176,2,FAIL,11,1557.73,No,Yes
c09ea70a605760d3,1,PASS,20,2258.35,Yes,No
58a0f5bca3ff514c,5,FAIL,11,1380.75,No,Yes
625730bf3883005c,4,FAIL,12,1390.04,Yes,No
8211b75bfb0c714d,1,PASS,11,932.36,Yes,No
12adf37a767b56ea,2,FAIL,4,984.12,Yes,No
4582b19904d9a029,1,PASS,9,1373.74,Yes,No
62035ff8ad16cb71,2,FAIL,17,2174.08,No,Yes
5c3f4379847796c4,4,FAIL,8,1159.89,Yes,No
bc71d833fad658fb,1,FAIL,15,2363.41,Yes,No
77da6edaa689f44a,2,FAIL,11,1606.86,No,Yes
7326259652efbc9d,4,FAIL,26,3029.34,No,Yes
85f95e3fbcd76abb,3,FAIL,24,2910.01,No,Yes
bb667cb09578b4a3,5,FAIL,16,2384.99,Yes,No
ad8f394763490f26,3,FAIL,7,809.54,Yes,No
3d1c8a00f582892,3,FAIL,12,1610.27,Yes,No
b10c07139b1aa490,1,FAIL,16,2411.35,Yes,No
5d259263ec5a5c9e,4,FAIL,11,1624.56,No,Yes
62d5ef592f8f91fc,3,FAIL,11,1199.01,No,Yes
be49f0eca3cd4c32,1,FAIL,14,1678.07,No,Yes
220246750ec56ccb,2,FAIL,3,512.91,Yes,No
f425a63fc423ced0,3,FAIL,6,1081.51,Yes,No
b3e3c52cd5223942,5,FAIL,25,3532.90,No,Yes
ce576f59fcd8e5b5,4,FAIL,11,1857.53,Yes,No
d71204c97803d9a,4,FAIL,22,3131.03,Yes,No
cc4ff7682e293a1b,2,FAIL,17,1765.89,Yes,No
b25e33c50909fc03,2,FAIL,11,1601.53,Yes,No
f271fc95525040b1,5,FAIL,19,2198.54,No,Yes
9390c84b6360b4bb,1,PASS,16,1037.53,Yes,No
a454bd9c3ad0168a,5,FAIL,25,4084.10,No,Yes
db130c08db23e907,1,PASS,19,2330.43,Yes,No
5c59a67541d92c71,5,FAIL,38,4991.57,Yes,No
745deea1055373eb,3,FAIL,24,2722.77,Yes,No
440d97e917325fb0,3,FAIL,6,984.60,Yes,No
