Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,57,11.4%
Failed,443,88.6%
,,
Fully Valid Paths,267,53.4%
Connected Paths,430,86.0%
Correct Start/End,486,97.2%
Non-Intersecting,435,87.0%
No Rule Violations,315,63.0%
,,
Avg Path Length,20.0 steps,
Min Path Length,1 steps,
Max Path Length,82 steps,
,,
Difficulty 1 Solved,39/86,45.3%
Difficulty 2 Solved,9/118,7.6%
Difficulty 3 Solved,6/121,5.0%
Difficulty 4 Solved,2/86,2.3%
Difficulty 5 Solved,1/89,1.1%
,,
Total Time,255932.4 seconds,
Avg Time per Puzzle,511.86 seconds,
Puzzles per Minute,0.1,
