Internal Name,Display Name,File Type,Difficulty,Avg Tokens,Num Puzzles
Qwen_Qwen3-0.6B,Qwen 3 0.6B,sparc,3,5996.454545454545,121
Qwen_Qwen3-0.6B,Qwen 3 0.6B,sparc,5,5809.112359550561,89
Qwen_Qwen3-0.6B,Qwen 3 0.6B,sparc,1,5986.7441860465115,86
Qwen_Qwen3-0.6B,Qwen 3 0.6B,sparc,4,5890.430232558139,86
Qwen_Qwen3-0.6B,Qwen 3 0.6B,sparc,2,5992.983050847458,118
Qwen_Qwen3-0.6B,Qwen 3 0.6B,gym,3,39698.398305084746,118
Qwen_Qwen3-0.6B,Qwen 3 0.6B,gym,1,30106.0,81
Qwen_Qwen3-0.6B,Qwen 3 0.6B,gym,5,53397.2183908046,87
Qwen_Qwen3-0.6B,Qwen 3 0.6B,gym,4,46249.70731707317,82
Qwen_Qwen3-0.6B,Qwen 3 0.6B,gym,2,37085.495652173915,115
Qwen_Qwen3-0.6B,Qwen 3 0.6B,traceback,1,37549.458333333336,48
Qwen_Qwen3-0.6B,Qwen 3 0.6B,traceback,3,61127.433333333334,60
Qwen_Qwen3-0.6B,Qwen 3 0.6B,traceback,5,102779.325,40
Qwen_Qwen3-0.6B,Qwen 3 0.6B,traceback,4,111969.77777777778,45
Qwen_Qwen3-0.6B,Qwen 3 0.6B,traceback,2,54588.703125,64
Qwen_Qwen3-32B,Qwen 3 32B,sparc,3,15041.198347107438,121
Qwen_Qwen3-32B,Qwen 3 32B,sparc,5,16456.56179775281,89
Qwen_Qwen3-32B,Qwen 3 32B,sparc,1,12990.43023255814,86
Qwen_Qwen3-32B,Qwen 3 32B,sparc,4,16254.918604651162,86
Qwen_Qwen3-32B,Qwen 3 32B,sparc,2,15084.57627118644,118
Qwen_Qwen3-32B,Qwen 3 32B,gym,3,50104.09917355372,121
Qwen_Qwen3-32B,Qwen 3 32B,gym,5,74781.25842696629,89
Qwen_Qwen3-32B,Qwen 3 32B,gym,1,43096.476744186046,86
Qwen_Qwen3-32B,Qwen 3 32B,gym,4,57287.151162790695,86
Qwen_Qwen3-32B,Qwen 3 32B,gym,2,48532.36440677966,118
Qwen_Qwen3-32B,Qwen 3 32B,traceback,3,105487.23140495867,121
Qwen_Qwen3-32B,Qwen 3 32B,traceback,5,150653.21348314607,89
Qwen_Qwen3-32B,Qwen 3 32B,traceback,1,140026.43023255814,86
Qwen_Qwen3-32B,Qwen 3 32B,traceback,4,138910.72093023255,86
Qwen_Qwen3-32B,Qwen 3 32B,traceback,2,115757.89830508475,118
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,sparc,3,18116.14049586777,121
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,sparc,5,18946.6404494382,89
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,sparc,1,16232.348837209302,86
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,sparc,4,18302.267441860466,86
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,sparc,2,17465.898305084746,118
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,gym,3,72958.95867768595,121
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,gym,5,100945.68539325842,89
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,gym,1,67952.18604651163,86
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,gym,4,78146.8488372093,86
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,gym,2,67303.88983050847,118
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,traceback,3,147162.32231404958,121
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,traceback,5,178717.33707865168,89
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,traceback,1,180352.9534883721,86
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,traceback,4,162749.40697674418,86
allenai_Olmo-3.1-32B-Think,OLMo 3.1 32B,traceback,2,153537.0593220339,118
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,sparc,3,9101.322314049587,121
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,sparc,5,8880.719101123595,89
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,sparc,1,7827.162790697675,86
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,sparc,4,9153.860465116279,86
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,sparc,2,9040.669491525423,118
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,gym,3,33022.67768595041,121
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,gym,5,39326.426966292136,89
