Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,33,121.48,No,Yes
ebc9c10093a1255a,3,FAIL,32,104.40,No,Yes
ed40414d615431d6,3,FAIL,40,115.22,No,Yes
dce20e150e7fcced,5,FAIL,32,119.13,No,Yes
3fe8a85b768ae5b7,1,FAIL,24,91.75,No,Yes
1284a7249a4fa10f,3,FAIL,33,104.06,Yes,No
cbeb87b359947c42,3,FAIL,28,95.58,No,Yes
c80d64b5c5e39d7b,5,FAIL,24,319.96,No,Yes
24e8876585456ee5,5,FAIL,29,474.74,No,Yes
196a88635b1c83b4,4,FAIL,18,62.30,No,Yes
e82bd665d710bb75,2,FAIL,20,60.36,Yes,No
c6739963a7308111,3,PASS,10,282.91,Yes,No
953c10f2e4d6fd6,2,FAIL,23,61.66,No,Yes
d91761f3ba340d,4,FAIL,13,44.87,No,Yes
bc66c2e18fd6231b,3,FAIL,30,80.86,No,Yes
4b236c53ea5fbbdf,3,FAIL,16,35.29,No,Yes
5f9a92945a4ab62e,1,FAIL,11,31.66,Yes,No
860fbc1cfd446f7c,3,FAIL,25,51.04,No,Yes
5b5d43da944a752d,4,FAIL,14,34.47,No,Yes
971ad9f45d1bd53b,5,FAIL,26,75.09,No,Yes
5b3d4d35ac301050,2,FAIL,22,101.16,No,Yes
69a08c785ce5fcac,1,PASS,29,101.38,Yes,No
a814bed4f6905ba4,5,FAIL,31,129.38,No,Yes
f32fe4e5b37fedaa,5,FAIL,21,82.47,No,Yes
3ba7fc567dd14312,3,FAIL,14,70.55,Yes,No
7ce0b04c1a28cca6,1,FAIL,4,46.95,No,Yes
8635ff1b1bcf0c2e,5,FAIL,12,65.48,Yes,No
21df75919e7080e4,3,FAIL,9,47.18,Yes,No
daa2db8c01da0bfa,5,FAIL,14,59.46,No,Yes
6443d25f8c289548,3,FAIL,10,46.76,Yes,No
91158b440e1d1942,5,FAIL,12,58.24,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,29,77.64,No,Yes
de0f40e0c4c5852a,4,FAIL,22,68.01,No,Yes
7c2cc9e25acdc10f,4,FAIL,47,122.06,No,Yes
146a216115846f70,5,FAIL,31,67.38,No,Yes
704931925890a56c,2,FAIL,4,18.08,Yes,No
22c41f4911d10461,3,FAIL,24,54.31,No,Yes
75761871763e88e3,2,FAIL,33,280.06,Yes,No
fee7fa98ecbf4534,1,FAIL,8,238.41,Yes,No
3abef01e5d890e13,4,FAIL,32,76.05,No,Yes
a71c3513799bf094,2,FAIL,10,320.75,Yes,No
3b229c1d0453a603,3,FAIL,2,56.00,Yes,No
ba867d9c182c1124,1,FAIL,12,81.83,No,Yes
22ee8177bb6b927d,4,FAIL,17,82.22,No,Yes
200a2fdec77f69b6,1,PASS,15,80.19,Yes,No
4c7b5bd02c9270d,3,FAIL,1,42.14,No,Yes
efb560f2141edf82,1,PASS,3,43.48,Yes,No
b7b817f9033f188,5,FAIL,40,103.08,No,Yes
4cc3d963aecb0aec,3,PASS,46,137.99,Yes,No
6a4a59d9017e80e2,4,FAIL,11,55.96,No,Yes
a483b2ad65b79823,4,FAIL,12,59.15,No,Yes
c611d73335c05ea3,3,FAIL,11,324.96,Yes,No
9fc7d6795a3be635,2,PASS,20,72.92,Yes,No
9b4f3b36495c1615,3,FAIL,17,50.86,No,Yes
1b62c846b90e5d1d,3,FAIL,27,347.40,No,Yes
934d99322aa22dff,1,FAIL,2,17.54,Yes,No
cd5b6b24c51fb69a,2,FAIL,10,24.46,No,Yes
bb9d7db6f55f1f1e,4,FAIL,23,318.57,No,Yes
d1e03bb313e747a9,1,FAIL,9,24.69,Yes,No
e1b6f8b19d2f4176,2,FAIL,25,334.64,No,Yes
c09ea70a605760d3,1,FAIL,10,82.30,Yes,No
58a0f5bca3ff514c,5,FAIL,28,120.81,No,Yes
625730bf3883005c,4,FAIL,26,108.05,No,Yes
8211b75bfb0c714d,1,FAIL,12,76.31,No,Yes
12adf37a767b56ea,2,FAIL,7,61.64,Yes,No
4582b19904d9a029,1,FAIL,19,301.91,No,Yes
62035ff8ad16cb71,2,FAIL,29,101.85,No,Yes
5c3f4379847796c4,4,FAIL,17,114.23,No,Yes
bc71d833fad658fb,1,FAIL,23,66.37,Yes,No
77da6edaa689f44a,2,FAIL,9,44.50,Yes,No
7326259652efbc9d,4,FAIL,25,84.00,No,Yes
85f95e3fbcd76abb,3,FAIL,1,25.71,Yes,No
bb667cb09578b4a3,5,FAIL,23,261.64,No,Yes
ad8f394763490f26,3,FAIL,14,63.48,No,Yes
3d1c8a00f582892,3,FAIL,22,66.67,No,Yes
b10c07139b1aa490,1,FAIL,13,40.43,No,Yes
5d259263ec5a5c9e,4,FAIL,19,49.89,Yes,No
62d5ef592f8f91fc,3,FAIL,20,40.89,Yes,No
be49f0eca3cd4c32,1,FAIL,22,51.20,No,Yes
220246750ec56ccb,2,FAIL,8,25.03,No,Yes
f425a63fc423ced0,3,FAIL,15,75.94,No,Yes
b3e3c52cd5223942,5,FAIL,31,125.56,No,Yes
ce576f59fcd8e5b5,4,FAIL,19,381.48,Yes,No
d71204c97803d9a,4,FAIL,23,90.16,No,Yes
cc4ff7682e293a1b,2,FAIL,18,88.87,No,Yes
b25e33c50909fc03,2,FAIL,8,51.69,Yes,No
f271fc95525040b1,5,FAIL,8,50.96,No,Yes
9390c84b6360b4bb,1,PASS,39,106.20,Yes,No
a454bd9c3ad0168a,5,FAIL,40,136.24,No,Yes
db130c08db23e907,1,FAIL,18,348.76,Yes,No
5c59a67541d92c71,5,FAIL,13,57.72,No,Yes
745deea1055373eb,3,FAIL,14,50.79,No,Yes
440d97e917325fb0,3,PASS,14,48.97,Yes,No
dbd181183bb9f775,4,FAIL,45,393.50,No,Yes
fef8e390bd7a2a7a,5,FAIL,20,323.97,No,Yes
3987c3fc8d33089e,3,FAIL,25,63.59,No,Yes
851365be4fc5c5e,2,PASS,1,11.43,Yes,No
e20e6b6a00158bdc,5,FAIL,20,484.56,No,Yes
841b2d97bb365b8b,4,FAIL,37,95.60,No,Yes
b4d66071dc728f44,2,FAIL,20,56.26,No,Yes
1e7c5367fa438e3b,5,FAIL,38,129.16,No,Yes
b8eb6f7dd1cc9b86,1,PASS,26,90.98,Yes,No
1796837aa68c2b76,3,FAIL,36,110.43,No,Yes
598f03a76e659bbd,3,FAIL,20,289.29,No,Yes
a8ea92dd47f4186b,2,FAIL,26,87.94,No,Yes
a305fe218d16e612,4,FAIL,8,59.93,No,Yes
d58e426a05bbebe0,4,FAIL,30,94.81,No,Yes
95baf8b98ab6874,5,FAIL,11,69.74,Yes,No
d72e6e1a7317b676,4,FAIL,9,48.86,Yes,No
b2888d9633744522,3,FAIL,19,65.00,No,Yes
fb69acc1bff1c7b5,2,FAIL,1,32.20,No,Yes
1b23ec5dcd81c575,2,FAIL,12,45.32,No,Yes
dedb9695c830d9a1,5,FAIL,15,49.22,No,Yes
94e6829bc5fe599b,4,FAIL,17,55.32,No,Yes
7f61e30cde11dfd2,5,FAIL,29,71.93,No,Yes
ac07176ade6d4fcc,2,FAIL,10,39.37,Yes,No
aecb916b87a88a32,3,FAIL,1,13.32,Yes,No
6a3a112c0f2e831b,5,FAIL,15,41.16,No,Yes
e836ae53a1a6b880,5,FAIL,27,50.29,No,Yes
58d9c6f1f97d78c1,2,FAIL,17,37.34,Yes,No
10bea253035c791c,2,FAIL,20,88.06,No,Yes
5569f16359d15a33,5,FAIL,43,149.36,Yes,No
d4af13ed1d455209,1,FAIL,19,81.46,No,Yes
4efa50053369c63c,3,FAIL,22,109.50,No,Yes
4088920d22fbc15a,2,FAIL,43,109.90,No,Yes
9ecc1e98360e6c0d,3,FAIL,22,83.57,No,Yes
8b47902d43ed5c7,3,FAIL,22,82.87,No,Yes
6911f7c1419318bb,4,FAIL,10,65.61,No,Yes
ed62498f9a7cf7a5,4,FAIL,43,112.46,No,Yes
4b518615758126ef,3,FAIL,15,59.61,No,Yes
a2a967199664a80,4,FAIL,18,71.47,No,Yes
93c544fa7b73dc1a,4,FAIL,15,302.37,No,Yes
b54da7bdff2713e1,2,FAIL,35,78.58,No,Yes
2c5ddc804e5b35ba,1,FAIL,18,49.62,Yes,No
241a28965ab741d,1,FAIL,51,93.09,Yes,No
4a5c32111bf61aae,5,FAIL,2,16.15,Yes,No
65171c970b77339e,2,FAIL,21,47.99,No,Yes
70c971586d6ab721,1,FAIL,1,11.13,No,Yes
dd196820fff0f585,2,FAIL,27,44.91,No,Yes
683d3d2b64d8d1fb,4,FAIL,16,283.13,No,Yes
3ca9fa7e19e2188c,4,FAIL,35,114.31,Yes,No
581706995f65f93d,5,FAIL,2,59.10,Yes,No
8f5dd8ca7b23f826,4,FAIL,14,89.27,No,Yes
4c6a9d610b717d17,3,FAIL,21,84.49,No,Yes
f701ba6827f8ceff,2,FAIL,1,44.25,Yes,No
24dd9a735b612dc1,3,FAIL,18,74.68,No,Yes
138e21433d2e6a52,2,FAIL,16,68.76,No,Yes
72a1fec5c73b6560,4,FAIL,37,319.95,No,Yes
86c16115d5cda6a0,5,FAIL,30,101.56,No,Yes
2790e863a5831db9,3,FAIL,26,77.86,No,Yes
ab298046d34718be,5,FAIL,17,314.94,No,Yes
ad8274727f965b1c,1,FAIL,31,80.08,No,Yes
a722e79130881da0,2,FAIL,27,67.56,No,Yes
9435f4bc2b1cf34d,1,FAIL,41,75.85,Yes,No
2e4b26ec1c401cbe,4,FAIL,20,290.23,No,Yes
8b308dfba88e4ac,3,FAIL,11,36.77,No,Yes
701d6d1daff25a25,2,FAIL,14,38.69,Yes,No
f42b8d86bfb89096,1,FAIL,3,11.14,Yes,No
c4341ab9fd5c439c,1,FAIL,2,9.27,No,Yes
97be11048bb04a30,3,FAIL,20,45.55,No,Yes
7f403db698db059f,1,FAIL,14,77.89,No,Yes
9e892fbdd6f4c4a9,2,FAIL,25,86.18,No,Yes
b7672ba95aff4ff6,5,FAIL,32,109.58,No,Yes
e0e6857dd441101b,2,FAIL,27,96.66,No,Yes
a12c7a055e6395a2,2,FAIL,8,59.63,No,Yes
e8f814f726cb4612,5,FAIL,15,77.48,No,Yes
fc19c4a5e89d29f4,4,FAIL,21,86.05,Yes,No
4ec9d16a5a573d4e,2,FAIL,12,91.45,No,Yes
8bbb1046d8c49095,1,FAIL,18,71.28,No,Yes
8e231f18dc7d476f,5,FAIL,8,68.33,No,Yes
50ed62dcb0f1bce3,4,FAIL,7,40.55,No,Yes
154515f7b4e4fe2b,2,PASS,2,25.95,Yes,No
1a43bd0f8e35bd1d,2,FAIL,25,70.39,No,Yes
281ee792644831c5,2,FAIL,21,53.41,No,Yes
c881c033239a38de,3,FAIL,11,36.23,Yes,No
a92cdc81d7a94775,5,FAIL,21,58.86,No,Yes
9283bfdf68bc92a8,2,FAIL,12,35.32,No,Yes
b7cbcba402c57078,2,FAIL,10,24.48,No,Yes
11846421c28ce2aa,4,FAIL,26,58.22,No,Yes
2a0e2b1240764998,4,FAIL,21,46.57,No,Yes
577d6771b88eca36,3,FAIL,21,332.81,No,Yes
9c31840855436adc,5,FAIL,9,70.52,No,Yes
495da6f2a1c1f750,5,FAIL,11,66.38,No,Yes
544628c3b3077982,5,FAIL,19,78.93,No,Yes
95bd7bebb5849554,2,FAIL,24,81.22,Yes,No
5daa7098e5e15b8a,3,FAIL,41,342.82,Yes,No
2d360e53c1cbf48e,2,FAIL,21,81.16,No,Yes
ad210a7535f9228a,3,PASS,1,35.25,Yes,No
4d1f8e4f341d8ba,2,FAIL,11,51.12,Yes,No
c0bf87685a69078a,2,FAIL,4,33.66,Yes,No
e155b38ad467ae03,5,FAIL,10,51.86,No,Yes
525f7011d139f68e,1,FAIL,5,37.60,Yes,No
