Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,24,124.99,No,Yes
ebc9c10093a1255a,3,FAIL,28,98.86,No,Yes
ed40414d615431d6,3,FAIL,17,276.57,Yes,No
dce20e150e7fcced,5,FAIL,19,83.72,No,Yes
3fe8a85b768ae5b7,1,FAIL,37,123.66,No,Yes
1284a7249a4fa10f,3,FAIL,6,48.39,Yes,No
cbeb87b359947c42,3,FAIL,21,81.12,No,Yes
c80d64b5c5e39d7b,5,FAIL,9,49.66,Yes,No
24e8876585456ee5,5,FAIL,22,75.78,No,Yes
196a88635b1c83b4,4,FAIL,21,72.80,Yes,No
e82bd665d710bb75,2,FAIL,18,285.54,Yes,No
c6739963a7308111,3,FAIL,19,59.47,Yes,No
953c10f2e4d6fd6,2,PASS,2,24.35,Yes,No
d91761f3ba340d,4,FAIL,12,32.19,No,Yes
bc66c2e18fd6231b,3,FAIL,27,69.12,No,Yes
4b236c53ea5fbbdf,3,FAIL,13,33.43,No,Yes
5f9a92945a4ab62e,1,FAIL,15,46.97,No,Yes
860fbc1cfd446f7c,3,FAIL,27,58.75,No,Yes
5b5d43da944a752d,4,FAIL,20,48.53,No,Yes
971ad9f45d1bd53b,5,FAIL,28,267.64,No,Yes
5b3d4d35ac301050,2,FAIL,28,317.80,No,Yes
69a08c785ce5fcac,1,FAIL,29,333.53,No,Yes
a814bed4f6905ba4,5,FAIL,35,111.49,Yes,No
f32fe4e5b37fedaa,5,FAIL,24,82.46,No,Yes
3ba7fc567dd14312,3,FAIL,10,57.22,No,Yes
7ce0b04c1a28cca6,1,FAIL,9,52.84,Yes,No
8635ff1b1bcf0c2e,5,FAIL,10,55.24,No,Yes
21df75919e7080e4,3,PASS,10,48.21,Yes,No
daa2db8c01da0bfa,5,FAIL,18,61.99,No,Yes
6443d25f8c289548,3,FAIL,26,77.10,Yes,No
91158b440e1d1942,5,FAIL,18,54.39,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,12,54.93,No,Yes
de0f40e0c4c5852a,4,FAIL,23,62.71,No,Yes
7c2cc9e25acdc10f,4,FAIL,19,75.99,No,Yes
146a216115846f70,5,FAIL,25,274.90,Yes,No
704931925890a56c,2,FAIL,3,17.57,Yes,No
22c41f4911d10461,3,FAIL,14,31.92,No,Yes
75761871763e88e3,2,FAIL,22,77.58,No,Yes
fee7fa98ecbf4534,1,FAIL,30,54.43,No,Yes
3abef01e5d890e13,4,FAIL,32,58.44,No,Yes
a71c3513799bf094,2,FAIL,4,268.68,Yes,No
3b229c1d0453a603,3,FAIL,2,50.47,Yes,No
ba867d9c182c1124,1,FAIL,25,79.16,No,Yes
22ee8177bb6b927d,4,FAIL,25,290.98,No,Yes
200a2fdec77f69b6,1,FAIL,16,70.88,No,Yes
4c7b5bd02c9270d,3,FAIL,19,80.08,Yes,No
efb560f2141edf82,1,FAIL,31,82.65,No,Yes
b7b817f9033f188,5,FAIL,16,69.91,No,Yes
4cc3d963aecb0aec,3,PASS,48,119.09,Yes,No
6a4a59d9017e80e2,4,FAIL,50,139.97,No,Yes
a483b2ad65b79823,4,FAIL,40,86.43,No,Yes
c611d73335c05ea3,3,FAIL,33,83.11,No,Yes
9fc7d6795a3be635,2,PASS,14,46.37,Yes,No
9b4f3b36495c1615,3,FAIL,14,46.17,No,Yes
1b62c846b90e5d1d,3,FAIL,20,436.85,No,Yes
934d99322aa22dff,1,FAIL,3,17.26,Yes,No
cd5b6b24c51fb69a,2,FAIL,7,26.06,No,Yes
bb9d7db6f55f1f1e,4,FAIL,29,58.21,No,Yes
d1e03bb313e747a9,1,FAIL,14,31.13,Yes,No
e1b6f8b19d2f4176,2,FAIL,30,74.36,No,Yes
c09ea70a605760d3,1,FAIL,6,284.62,Yes,No
58a0f5bca3ff514c,5,FAIL,15,80.02,No,Yes
625730bf3883005c,4,FAIL,19,83.75,No,Yes
8211b75bfb0c714d,1,FAIL,15,65.15,No,Yes
12adf37a767b56ea,2,FAIL,21,73.57,No,Yes
4582b19904d9a029,1,PASS,11,50.81,Yes,No
62035ff8ad16cb71,2,FAIL,20,272.73,No,Yes
5c3f4379847796c4,4,FAIL,12,56.94,Yes,No
bc71d833fad658fb,1,FAIL,4,36.55,Yes,No
77da6edaa689f44a,2,FAIL,15,51.96,No,Yes
7326259652efbc9d,4,FAIL,1,44.18,No,Yes
85f95e3fbcd76abb,3,FAIL,68,358.06,Yes,No
bb667cb09578b4a3,5,FAIL,23,79.51,No,Yes
ad8f394763490f26,3,FAIL,17,45.72,No,Yes
3d1c8a00f582892,3,FAIL,18,52.01,No,Yes
b10c07139b1aa490,1,FAIL,11,29.53,No,Yes
5d259263ec5a5c9e,4,FAIL,22,59.35,Yes,No
62d5ef592f8f91fc,3,FAIL,21,42.09,No,Yes
be49f0eca3cd4c32,1,FAIL,33,56.13,Yes,No
220246750ec56ccb,2,FAIL,6,20.14,Yes,No
f425a63fc423ced0,3,FAIL,10,64.40,Yes,No
b3e3c52cd5223942,5,FAIL,32,132.24,No,Yes
ce576f59fcd8e5b5,4,FAIL,30,101.46,No,Yes
d71204c97803d9a,4,FAIL,13,76.66,No,Yes
cc4ff7682e293a1b,2,FAIL,19,76.25,No,Yes
b25e33c50909fc03,2,FAIL,18,97.76,Yes,No
f271fc95525040b1,5,FAIL,21,79.44,No,Yes
9390c84b6360b4bb,1,PASS,53,122.35,Yes,No
a454bd9c3ad0168a,5,FAIL,15,65.04,No,Yes
db130c08db23e907,1,FAIL,19,50.20,No,Yes
5c59a67541d92c71,5,FAIL,12,53.12,No,Yes
745deea1055373eb,3,FAIL,26,65.22,Yes,No
440d97e917325fb0,3,FAIL,19,56.29,Yes,No
dbd181183bb9f775,4,FAIL,21,63.11,No,Yes
fef8e390bd7a2a7a,5,FAIL,25,253.02,No,Yes
3987c3fc8d33089e,3,FAIL,12,235.15,No,Yes
851365be4fc5c5e,2,PASS,1,10.37,Yes,No
e20e6b6a00158bdc,5,FAIL,13,37.07,No,Yes
841b2d97bb365b8b,4,FAIL,34,87.14,No,Yes
b4d66071dc728f44,2,FAIL,42,72.16,No,Yes
1e7c5367fa438e3b,5,FAIL,28,105.02,Yes,No
b8eb6f7dd1cc9b86,1,FAIL,9,59.62,No,Yes
1796837aa68c2b76,3,FAIL,27,112.68,No,Yes
598f03a76e659bbd,3,FAIL,22,79.48,No,Yes
a8ea92dd47f4186b,2,FAIL,26,78.83,No,Yes
a305fe218d16e612,4,FAIL,9,54.14,No,Yes
d58e426a05bbebe0,4,FAIL,25,83.10,Yes,No
95baf8b98ab6874,5,FAIL,24,71.94,No,Yes
d72e6e1a7317b676,4,FAIL,16,62.61,No,Yes
b2888d9633744522,3,FAIL,34,83.47,No,Yes
fb69acc1bff1c7b5,2,FAIL,2,35.95,No,Yes
1b23ec5dcd81c575,2,FAIL,11,40.53,No,Yes
dedb9695c830d9a1,5,FAIL,20,54.13,No,Yes
94e6829bc5fe599b,4,FAIL,33,85.86,No,Yes
7f61e30cde11dfd2,5,FAIL,8,221.26,No,Yes
ac07176ade6d4fcc,2,FAIL,27,63.83,Yes,No
aecb916b87a88a32,3,FAIL,1,11.04,Yes,No
6a3a112c0f2e831b,5,FAIL,23,258.47,No,Yes
e836ae53a1a6b880,5,FAIL,24,50.44,Yes,No
58d9c6f1f97d78c1,2,FAIL,16,32.29,No,Yes
10bea253035c791c,2,FAIL,19,292.76,No,Yes
5569f16359d15a33,5,FAIL,32,126.33,No,Yes
d4af13ed1d455209,1,FAIL,18,74.62,No,Yes
4efa50053369c63c,3,FAIL,21,76.65,Yes,No
4088920d22fbc15a,2,FAIL,16,64.98,Yes,No
9ecc1e98360e6c0d,3,FAIL,35,95.30,No,Yes
8b47902d43ed5c7,3,FAIL,25,76.67,No,Yes
6911f7c1419318bb,4,FAIL,20,271.53,No,Yes
ed62498f9a7cf7a5,4,FAIL,13,63.79,No,Yes
4b518615758126ef,3,FAIL,14,49.20,No,Yes
a2a967199664a80,4,FAIL,18,267.48,Yes,No
93c544fa7b73dc1a,4,FAIL,33,100.47,No,Yes
b54da7bdff2713e1,2,FAIL,15,59.38,Yes,No
2c5ddc804e5b35ba,1,FAIL,15,40.73,No,Yes
241a28965ab741d,1,FAIL,5,24.74,Yes,No
4a5c32111bf61aae,5,FAIL,53,126.76,No,Yes
65171c970b77339e,2,FAIL,14,31.77,No,Yes
70c971586d6ab721,1,FAIL,1,8.46,No,Yes
dd196820fff0f585,2,FAIL,8,24.02,Yes,No
683d3d2b64d8d1fb,4,FAIL,25,47.42,Yes,No
3ca9fa7e19e2188c,4,FAIL,22,315.33,No,Yes
581706995f65f93d,5,FAIL,1,48.56,Yes,No
8f5dd8ca7b23f826,4,FAIL,1,46.05,Yes,No
4c6a9d610b717d17,3,FAIL,28,87.48,No,Yes
f701ba6827f8ceff,2,FAIL,5,55.49,Yes,No
