Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,18,89.14,No,Yes
ebc9c10093a1255a,3,FAIL,29,118.05,No,Yes
ed40414d615431d6,3,FAIL,18,71.92,No,Yes
dce20e150e7fcced,5,FAIL,28,296.83,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,43.03,Yes,No
1284a7249a4fa10f,3,FAIL,8,55.06,Yes,No
cbeb87b359947c42,3,FAIL,15,79.42,Yes,No
c80d64b5c5e39d7b,5,FAIL,86,387.52,No,Yes
24e8876585456ee5,5,FAIL,27,86.95,Yes,No
196a88635b1c83b4,4,FAIL,8,49.21,No,Yes
e82bd665d710bb75,2,FAIL,21,63.47,No,Yes
c6739963a7308111,3,FAIL,9,42.54,Yes,No
953c10f2e4d6fd6,2,PASS,1,22.06,Yes,No
d91761f3ba340d,4,FAIL,29,85.51,No,Yes
bc66c2e18fd6231b,3,FAIL,41,95.73,No,Yes
4b236c53ea5fbbdf,3,FAIL,12,33.35,No,Yes
5f9a92945a4ab62e,1,FAIL,23,66.20,No,Yes
860fbc1cfd446f7c,3,FAIL,36,98.30,No,Yes
5b5d43da944a752d,4,FAIL,31,79.79,Yes,No
971ad9f45d1bd53b,5,FAIL,32,66.91,No,Yes
5b3d4d35ac301050,2,FAIL,19,329.24,No,Yes
69a08c785ce5fcac,1,FAIL,3,60.71,Yes,No
a814bed4f6905ba4,5,FAIL,27,105.51,Yes,No
f32fe4e5b37fedaa,5,FAIL,11,73.94,Yes,No
3ba7fc567dd14312,3,FAIL,20,311.05,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,49.64,No,Yes
8635ff1b1bcf0c2e,5,FAIL,14,68.98,Yes,No
21df75919e7080e4,3,PASS,12,58.96,Yes,No
daa2db8c01da0bfa,5,FAIL,41,118.91,No,Yes
6443d25f8c289548,3,FAIL,12,54.25,No,Yes
91158b440e1d1942,5,FAIL,24,80.12,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,26,86.66,No,Yes
de0f40e0c4c5852a,4,FAIL,36,103.39,No,Yes
7c2cc9e25acdc10f,4,FAIL,15,53.23,Yes,No
146a216115846f70,5,FAIL,35,92.98,No,Yes
704931925890a56c,2,FAIL,6,24.14,Yes,No
22c41f4911d10461,3,FAIL,10,254.05,No,Yes
75761871763e88e3,2,FAIL,29,79.44,No,Yes
fee7fa98ecbf4534,1,FAIL,11,26.56,No,Yes
3abef01e5d890e13,4,FAIL,30,61.21,No,Yes
a71c3513799bf094,2,FAIL,33,110.25,No,Yes
3b229c1d0453a603,3,FAIL,2,48.82,Yes,No
ba867d9c182c1124,1,FAIL,11,68.43,No,Yes
22ee8177bb6b927d,4,FAIL,33,117.06,No,Yes
200a2fdec77f69b6,1,FAIL,13,63.05,No,Yes
4c7b5bd02c9270d,3,FAIL,26,99.08,Yes,No
efb560f2141edf82,1,FAIL,16,64.93,No,Yes
b7b817f9033f188,5,FAIL,13,72.27,No,Yes
4cc3d963aecb0aec,3,FAIL,11,49.21,No,Yes
6a4a59d9017e80e2,4,FAIL,55,143.89,No,Yes
a483b2ad65b79823,4,FAIL,27,102.04,No,Yes
c611d73335c05ea3,3,FAIL,16,49.93,No,Yes
9fc7d6795a3be635,2,FAIL,24,56.03,No,Yes
9b4f3b36495c1615,3,FAIL,22,69.12,No,Yes
1b62c846b90e5d1d,3,FAIL,20,55.98,No,Yes
934d99322aa22dff,1,FAIL,4,26.67,Yes,No
cd5b6b24c51fb69a,2,FAIL,16,46.27,No,Yes
bb9d7db6f55f1f1e,4,FAIL,42,103.97,No,Yes
d1e03bb313e747a9,1,FAIL,19,43.32,Yes,No
e1b6f8b19d2f4176,2,FAIL,37,252.09,No,Yes
c09ea70a605760d3,1,FAIL,10,64.88,Yes,No
58a0f5bca3ff514c,5,FAIL,30,120.96,No,Yes
625730bf3883005c,4,FAIL,38,127.02,No,Yes
8211b75bfb0c714d,1,PASS,23,88.66,Yes,No
12adf37a767b56ea,2,FAIL,8,59.30,No,Yes
4582b19904d9a029,1,FAIL,36,111.25,Yes,No
62035ff8ad16cb71,2,FAIL,8,49.24,No,Yes
5c3f4379847796c4,4,FAIL,21,72.82,No,Yes
bc71d833fad658fb,1,FAIL,26,79.11,No,Yes
77da6edaa689f44a,2,FAIL,11,56.09,Yes,No
7326259652efbc9d,4,FAIL,22,63.22,No,Yes
85f95e3fbcd76abb,3,FAIL,12,252.86,No,Yes
bb667cb09578b4a3,5,FAIL,42,320.19,No,Yes
ad8f394763490f26,3,FAIL,3,22.17,Yes,No
