Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,28,112.65,Yes,No
ebc9c10093a1255a,3,FAIL,16,375.90,No,Yes
ed40414d615431d6,3,FAIL,11,78.93,No,Yes
dce20e150e7fcced,5,FAIL,31,123.22,No,Yes
3fe8a85b768ae5b7,1,FAIL,48,408.19,No,Yes
1284a7249a4fa10f,3,FAIL,5,59.35,Yes,No
cbeb87b359947c42,3,FAIL,16,78.82,Yes,No
c80d64b5c5e39d7b,5,FAIL,21,332.43,Yes,No
24e8876585456ee5,5,FAIL,5,51.41,Yes,No
196a88635b1c83b4,4,FAIL,21,510.90,Yes,No
e82bd665d710bb75,2,FAIL,22,88.64,Yes,No
c6739963a7308111,3,FAIL,18,65.17,No,Yes
953c10f2e4d6fd6,2,FAIL,21,73.27,Yes,No
d91761f3ba340d,4,FAIL,41,118.07,No,Yes
bc66c2e18fd6231b,3,FAIL,38,106.95,No,Yes
4b236c53ea5fbbdf,3,FAIL,17,367.33,No,Yes
5f9a92945a4ab62e,1,FAIL,11,45.58,No,Yes
860fbc1cfd446f7c,3,FAIL,8,26.23,No,Yes
5b5d43da944a752d,4,FAIL,19,46.48,Yes,No
971ad9f45d1bd53b,5,FAIL,15,329.12,Yes,No
5b3d4d35ac301050,2,FAIL,43,154.03,No,Yes
69a08c785ce5fcac,1,FAIL,24,90.93,No,Yes
a814bed4f6905ba4,5,FAIL,46,147.92,No,Yes
f32fe4e5b37fedaa,5,FAIL,21,84.33,No,Yes
3ba7fc567dd14312,3,FAIL,18,78.45,Yes,No
7ce0b04c1a28cca6,1,FAIL,60,154.74,No,Yes
8635ff1b1bcf0c2e,5,FAIL,16,67.99,No,Yes
21df75919e7080e4,3,FAIL,15,59.81,No,Yes
daa2db8c01da0bfa,5,FAIL,29,92.87,No,Yes
6443d25f8c289548,3,FAIL,14,235.63,No,Yes
91158b440e1d1942,5,FAIL,35,101.40,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,37,101.28,No,Yes
de0f40e0c4c5852a,4,FAIL,41,120.57,No,Yes
7c2cc9e25acdc10f,4,FAIL,18,50.84,No,Yes
146a216115846f70,5,FAIL,14,47.37,No,Yes
704931925890a56c,2,FAIL,6,22.36,Yes,No
22c41f4911d10461,3,FAIL,17,52.34,No,Yes
75761871763e88e3,2,FAIL,38,91.91,No,Yes
fee7fa98ecbf4534,1,PASS,6,18.56,Yes,No
3abef01e5d890e13,4,FAIL,18,49.10,No,Yes
a71c3513799bf094,2,FAIL,3,55.78,Yes,No
3b229c1d0453a603,3,FAIL,2,48.99,Yes,No
ba867d9c182c1124,1,FAIL,13,66.26,No,Yes
22ee8177bb6b927d,4,FAIL,11,62.49,Yes,No
200a2fdec77f69b6,1,PASS,29,87.08,Yes,No
4c7b5bd02c9270d,3,FAIL,1,37.60,No,Yes
efb560f2141edf82,1,FAIL,10,50.10,Yes,No
b7b817f9033f188,5,FAIL,32,84.32,No,Yes
4cc3d963aecb0aec,3,FAIL,14,50.66,Yes,No
6a4a59d9017e80e2,4,FAIL,38,111.59,No,Yes
a483b2ad65b79823,4,FAIL,32,469.60,No,Yes
c611d73335c05ea3,3,FAIL,39,339.31,No,Yes
9fc7d6795a3be635,2,PASS,14,43.13,Yes,No
9b4f3b36495c1615,3,FAIL,13,49.62,No,Yes
1b62c846b90e5d1d,3,FAIL,26,64.77,No,Yes
934d99322aa22dff,1,FAIL,3,20.28,Yes,No
cd5b6b24c51fb69a,2,FAIL,15,305.61,No,Yes
bb9d7db6f55f1f1e,4,FAIL,20,46.41,No,Yes
d1e03bb313e747a9,1,FAIL,19,37.47,Yes,No
e1b6f8b19d2f4176,2,FAIL,28,68.42,Yes,No
c09ea70a605760d3,1,FAIL,5,56.70,Yes,No
58a0f5bca3ff514c,5,FAIL,31,109.94,No,Yes
625730bf3883005c,4,FAIL,32,121.76,No,Yes
8211b75bfb0c714d,1,PASS,17,83.51,Yes,No
12adf37a767b56ea,2,FAIL,12,70.80,Yes,No
4582b19904d9a029,1,FAIL,23,78.87,Yes,No
62035ff8ad16cb71,2,FAIL,30,106.91,No,Yes
5c3f4379847796c4,4,FAIL,30,98.78,Yes,No
bc71d833fad658fb,1,FAIL,35,88.63,No,Yes
77da6edaa689f44a,2,FAIL,16,52.79,Yes,No
7326259652efbc9d,4,FAIL,1,26.26,No,Yes
85f95e3fbcd76abb,3,FAIL,1,23.30,Yes,No
bb667cb09578b4a3,5,FAIL,17,252.69,No,Yes
ad8f394763490f26,3,FAIL,22,53.76,No,Yes
3d1c8a00f582892,3,FAIL,37,78.90,No,Yes
b10c07139b1aa490,1,FAIL,20,57.38,No,Yes
5d259263ec5a5c9e,4,FAIL,16,36.43,No,Yes
62d5ef592f8f91fc,3,FAIL,32,79.57,No,Yes
be49f0eca3cd4c32,1,FAIL,18,66.93,No,Yes
220246750ec56ccb,2,FAIL,40,83.32,No,Yes
f425a63fc423ced0,3,FAIL,16,79.17,No,Yes
b3e3c52cd5223942,5,FAIL,21,97.45,No,Yes
ce576f59fcd8e5b5,4,FAIL,49,163.49,No,Yes
d71204c97803d9a,4,FAIL,47,137.24,No,Yes
cc4ff7682e293a1b,2,FAIL,10,58.32,No,Yes
b25e33c50909fc03,2,FAIL,20,292.20,No,Yes
f271fc95525040b1,5,FAIL,17,67.49,No,Yes
9390c84b6360b4bb,1,PASS,45,329.48,Yes,No
a454bd9c3ad0168a,5,FAIL,23,74.42,No,Yes
db130c08db23e907,1,FAIL,19,72.87,No,Yes
5c59a67541d92c71,5,FAIL,21,73.34,No,Yes
745deea1055373eb,3,FAIL,9,46.84,No,Yes
440d97e917325fb0,3,FAIL,8,35.07,No,Yes
dbd181183bb9f775,4,FAIL,5,41.47,No,Yes
fef8e390bd7a2a7a,5,FAIL,51,129.24,No,Yes
3987c3fc8d33089e,3,FAIL,33,502.95,No,Yes
851365be4fc5c5e,2,FAIL,18,47.43,Yes,No
