Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,21,102.53,No,Yes
ebc9c10093a1255a,3,FAIL,18,90.61,No,Yes
ed40414d615431d6,3,FAIL,10,67.95,No,Yes
dce20e150e7fcced,5,FAIL,20,99.62,No,Yes
3fe8a85b768ae5b7,1,FAIL,12,64.50,No,Yes
1284a7249a4fa10f,3,FAIL,5,51.25,Yes,No
cbeb87b359947c42,3,FAIL,17,72.92,No,Yes
c80d64b5c5e39d7b,5,FAIL,17,98.38,Yes,No
24e8876585456ee5,5,FAIL,12,60.63,Yes,No
196a88635b1c83b4,4,FAIL,17,78.01,No,Yes
e82bd665d710bb75,2,FAIL,31,95.60,No,Yes
c6739963a7308111,3,FAIL,8,39.17,Yes,No
953c10f2e4d6fd6,2,FAIL,16,228.54,No,Yes
d91761f3ba340d,4,FAIL,12,45.55,No,Yes
bc66c2e18fd6231b,3,FAIL,16,73.97,No,Yes
4b236c53ea5fbbdf,3,FAIL,5,28.03,Yes,No
5f9a92945a4ab62e,1,FAIL,10,38.00,No,Yes
860fbc1cfd446f7c,3,FAIL,19,52.12,No,Yes
5b5d43da944a752d,4,FAIL,17,46.20,Yes,No
971ad9f45d1bd53b,5,FAIL,12,38.36,No,Yes
5b3d4d35ac301050,2,FAIL,10,83.01,No,Yes
69a08c785ce5fcac,1,FAIL,15,103.84,No,Yes
a814bed4f6905ba4,5,FAIL,15,76.00,No,Yes
f32fe4e5b37fedaa,5,FAIL,7,55.08,Yes,No
3ba7fc567dd14312,3,FAIL,22,87.48,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,40.42,No,Yes
8635ff1b1bcf0c2e,5,FAIL,12,61.25,No,Yes
21df75919e7080e4,3,PASS,8,45.79,Yes,No
daa2db8c01da0bfa,5,FAIL,10,48.91,No,Yes
6443d25f8c289548,3,FAIL,4,33.04,Yes,No
91158b440e1d1942,5,FAIL,13,59.95,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,11,288.31,No,Yes
de0f40e0c4c5852a,4,FAIL,33,93.58,No,Yes
7c2cc9e25acdc10f,4,FAIL,13,55.65,No,Yes
146a216115846f70,5,FAIL,21,83.96,No,Yes
704931925890a56c,2,FAIL,11,44.95,No,Yes
22c41f4911d10461,3,FAIL,16,43.02,No,Yes
75761871763e88e3,2,FAIL,15,42.65,No,Yes
fee7fa98ecbf4534,1,FAIL,7,17.86,Yes,No
3abef01e5d890e13,4,FAIL,7,16.93,No,Yes
a71c3513799bf094,2,FAIL,2,55.77,Yes,No
3b229c1d0453a603,3,FAIL,2,51.03,Yes,No
ba867d9c182c1124,1,FAIL,11,61.98,No,Yes
22ee8177bb6b927d,4,FAIL,21,84.32,No,Yes
200a2fdec77f69b6,1,FAIL,7,53.81,Yes,No
4c7b5bd02c9270d,3,FAIL,13,71.10,No,Yes
efb560f2141edf82,1,FAIL,7,49.69,Yes,No
b7b817f9033f188,5,FAIL,12,63.69,No,Yes
4cc3d963aecb0aec,3,FAIL,7,303.76,No,Yes
6a4a59d9017e80e2,4,FAIL,18,62.04,No,Yes
a483b2ad65b79823,4,FAIL,23,80.82,No,Yes
c611d73335c05ea3,3,FAIL,12,50.09,Yes,No
9fc7d6795a3be635,2,FAIL,14,50.18,No,Yes
9b4f3b36495c1615,3,FAIL,25,78.39,No,Yes
1b62c846b90e5d1d,3,FAIL,21,62.60,Yes,No
934d99322aa22dff,1,FAIL,14,35.45,No,Yes
cd5b6b24c51fb69a,2,FAIL,10,33.03,Yes,No
bb9d7db6f55f1f1e,4,FAIL,10,199.27,Yes,No
d1e03bb313e747a9,1,FAIL,12,34.69,No,Yes
e1b6f8b19d2f4176,2,FAIL,24,56.32,No,Yes
c09ea70a605760d3,1,FAIL,20,86.28,No,Yes
58a0f5bca3ff514c,5,FAIL,20,92.44,Yes,No
625730bf3883005c,4,FAIL,13,458.73,No,Yes
8211b75bfb0c714d,1,FAIL,8,53.59,No,Yes
12adf37a767b56ea,2,FAIL,5,49.90,Yes,No
4582b19904d9a029,1,PASS,9,64.54,Yes,No
62035ff8ad16cb71,2,FAIL,7,48.68,No,Yes
5c3f4379847796c4,4,FAIL,12,63.36,No,Yes
bc71d833fad658fb,1,FAIL,9,39.26,Yes,No
77da6edaa689f44a,2,FAIL,8,46.70,No,Yes
7326259652efbc9d,4,FAIL,2,61.46,No,Yes
85f95e3fbcd76abb,3,FAIL,7,37.86,Yes,No
bb667cb09578b4a3,5,FAIL,26,71.14,No,Yes
ad8f394763490f26,3,FAIL,14,44.73,Yes,No
3d1c8a00f582892,3,FAIL,12,50.49,Yes,No
b10c07139b1aa490,1,FAIL,10,31.76,No,Yes
5d259263ec5a5c9e,4,FAIL,14,47.68,Yes,No
62d5ef592f8f91fc,3,FAIL,9,28.57,No,Yes
be49f0eca3cd4c32,1,FAIL,14,33.08,No,Yes
220246750ec56ccb,2,FAIL,3,11.35,Yes,No
f425a63fc423ced0,3,FAIL,13,73.15,No,Yes
b3e3c52cd5223942,5,FAIL,15,87.09,No,Yes
ce576f59fcd8e5b5,4,FAIL,11,65.82,Yes,No
d71204c97803d9a,4,FAIL,16,81.59,Yes,No
cc4ff7682e293a1b,2,FAIL,11,60.53,No,Yes
b25e33c50909fc03,2,FAIL,12,360.40,No,Yes
f271fc95525040b1,5,FAIL,17,67.15,No,Yes
9390c84b6360b4bb,1,PASS,18,550.82,Yes,No
a454bd9c3ad0168a,5,FAIL,21,93.82,No,Yes
db130c08db23e907,1,FAIL,26,114.38,No,Yes
5c59a67541d92c71,5,FAIL,18,67.35,No,Yes
745deea1055373eb,3,FAIL,12,42.99,Yes,No
440d97e917325fb0,3,PASS,7,30.79,Yes,No
dbd181183bb9f775,4,FAIL,19,129.30,Yes,No
fef8e390bd7a2a7a,5,FAIL,22,70.21,No,Yes
3987c3fc8d33089e,3,FAIL,19,200.06,Yes,No
